79c416aca8aad1803276c098ff94fc29359b91772561ef8e87b29a6b71b36ab8,e3bb2fffd0f1a4ba518b5ebe8b4cd4a187ff7f5e547bbf6d77018e9162ce69ea,ef47081233b0167c5ab4d3d970a3fa634e0d3bd28b6942b62a5d22281396c951,d819d9b21aa0d96ecb0b06ae376ca2e9639e515bc015ab42f1535081ae45842d,33c4a87c7590f134dedbdf494ea785be7eb45318b58a417c135dbc9ddc8a69a4,04d458672ca120cacc4dd61aa65ff5ee1ac249c8f8606197700b81385bb09c6c
"1","99001001","11001001","15","1001","1"
"10","99001001","91002","8","0","2"
"1","99001002","11001002","15","1001","3"
"10","99001002","91002","8","0","4"
"1","99001003","11001003","15","1002","5"
"20","99001003","91002","8","0","6"
"1","99001004","11001004","15","1003","7"
"30","99001004","91002","8","0","8"
"1","99001005","11001005","15","1001","9"
"10","99001005","91002","8","0","10"
"1","99001006","11001006","15","1001","11"
"10","99001006","91002","8","0","12"
"1","99001007","11001007","15","1002","13"
"20","99001007","91002","8","0","14"
"1","99001008","11001008","15","1003","15"
"30","99001008","91002","8","0","16"
"1","99001009","11001009","15","1001","17"
"10","99001009","91002","8","0","18"
"1","99001010","11001010","15","1001","19"
"10","99001010","91002","8","0","20"
"1","99001011","11001011","15","1002","21"
"20","99001011","91002","8","0","22"
"1","99001012","11001012","15","1003","23"
"30","99001012","91002","8","0","24"
"1","99001017","11001017","15","1001","33"
"30","99001017","91002","8","0","34"
"1","99001018","11001018","15","1001","35"
"30","99001018","91002","8","0","36"
"1","99001019","11001019","15","1002","37"
"30","99001019","91002","8","0","38"
"1","99001020","11001020","15","1003","39"
"30","99001020","91002","8","0","40"
"0","99001021","11001021","15","1001","41"
"0","99001022","11001022","15","1002","42"
"1","99001023","11001023","15","1001","43"
"30","99001023","91002","8","0","44"
"1","99001024","11001024","15","1001","45"
"30","99001024","91002","8","0","46"
"1","99001025","11001025","15","1002","47"
"30","99001025","91002","8","0","48"
"1","99001026","11001026","15","1003","49"
"30","99001026","91002","8","0","50"
"1","99001027","11001027","15","1001","51"
"30","99001027","91002","8","0","52"
"1","99001028","11001028","15","1001","53"
"30","99001028","91002","8","0","54"
"1","99001029","11001029","15","1002","55"
"30","99001029","91002","8","0","56"
"1","99001030","11001030","15","1003","57"
"30","99001030","91002","8","0","58"
"1","99001031","11001031","15","1001","59"
"30","99001031","91002","8","0","60"
"1","99001032","11001032","15","1001","61"
"30","99001032","91002","8","0","62"
"1","99001033","11001033","15","1002","63"
"30","99001033","91002","8","0","64"
"1","99001034","11001034","15","1003","65"
"30","99001034","91002","8","0","66"
"0","99001039","11001039","15","1001","75"
"0","99001040","11001040","15","1002","76"
"0","99001041","11001041","15","1003","77"
"1","99001042","11001042","15","1001","78"
"30","99001042","91002","8","0","79"
"1","99001043","11001043","15","1001","80"
"30","99001043","91002","8","0","81"
"1","99001044","11001044","15","1002","82"
"30","99001044","91002","8","0","83"
"1","99001045","11001045","15","1003","84"
"30","99001045","91002","8","0","85"
"1","99001046","11001046","15","1001","86"
"1","99001046","11001050","15","1001","87"
"30","99001046","91002","8","0","88"
"1","99001047","11001047","15","1001","89"
"30","99001047","91002","8","0","90"
"1","99001048","11001048","15","1002","91"
"30","99001048","91002","8","0","92"
"1","99001049","11001049","15","1003","93"
"30","99001049","91002","8","0","94"
"1","99001051","11001051","15","1001","95"
"30","99001051","91002","8","0","96"
"1","99001052","11001052","15","1001","97"
"30","99001052","91002","8","0","98"
"1","99001053","11001053","15","1002","99"
"30","99001053","91002","8","0","100"
"1","99001054","11001054","15","1003","101"
"30","99001054","91002","8","0","102"
"1","99001055","11001055","15","1001","103"
"30","99001055","91002","8","0","104"
"1","99001056","11001056","15","1001","105"
"30","99001056","91002","8","0","106"
"1","99001057","11001057","15","1002","107"
"30","99001057","91002","8","0","108"
"1","99001058","11001058","15","1003","109"
"30","99001058","91002","8","0","110"
"1","99001059","11001059","15","1001","111"
"30","99001059","91002","8","0","112"
"1","99001060","11001060","15","1001","113"
"30","99001060","91002","8","0","114"
"1","99001061","11001061","15","1002","115"
"30","99001061","91002","8","0","116"
"1","99001062","11001062","15","1003","117"
"30","99001062","91002","8","0","118"
"1","99001063","11001063","15","1001","119"
"30","99001063","91002","8","0","120"
"1","99001064","11001064","15","1001","121"
"30","99001064","91002","8","0","122"
"1","99001065","11001065","15","1002","123"
"30","99001065","91002","8","0","124"
"1","99001066","11001066","15","1003","125"
"30","99001066","91002","8","0","126"
"1","99001067","11001067","15","1001","127"
"30","99001067","91002","8","0","128"
"1","99001068","11001068","15","1001","129"
"30","99001068","91002","8","0","130"
"1","99001069","11001069","15","1002","131"
"30","99001069","91002","8","0","132"
"1","99001070","11001070","15","1003","133"
"30","99001070","91002","8","0","134"
"0","99001071","11001071","15","1001","135"
"0","99001072","11001072","15","1002","136"
"0","99001073","11001073","15","1003","137"
"1","99001074","11001074","15","1001","138"
"30","99001074","91002","8","0","139"
"1","99001075","11001075","15","1001","140"
"30","99001075","91002","8","0","141"
"1","99001076","11001076","15","1002","142"
"30","99001076","91002","8","0","143"
"1","99001077","11001077","15","1003","144"
"30","99001077","91002","8","0","145"
"1","99001078","11001078","15","1001","146"
"30","99001078","91002","8","0","147"
"1","99001079","11001079","15","1001","148"
"30","99001079","91002","8","0","149"
"1","99001080","11001080","15","1002","150"
"30","99001080","91002","8","0","151"
"1","99001081","11001081","15","1003","152"
"30","99001081","91002","8","0","153"
"1","99001082","11001082","15","1001","154"
"30","99001082","91002","8","0","155"
"1","99001083","11001083","15","1001","156"
"30","99001083","91002","8","0","157"
"1","99001084","11001084","15","1002","158"
"30","99001084","91002","8","0","159"
"1","99001085","11001085","15","1003","160"
"30","99001085","91002","8","0","161"
"0","99001086","11001086","15","1001","162"
"0","99001087","11001087","15","1002","163"
"0","99001088","11001088","15","1002","164"
"0","99001089","11001089","15","1002","165"
"0","99001090","11001090","15","1003","166"
"1","99001091","11001091","15","1001","167"
"30","99001091","91002","8","0","168"
"1","99001092","11001092","15","1001","169"
"30","99001092","91002","8","0","170"
"1","99001093","11001093","15","1002","171"
"30","99001093","91002","8","0","172"
"1","99001094","11001094","15","1003","173"
"30","99001094","91002","8","0","174"
"1","99001095","11001095","15","1001","175"
"30","99001095","91002","8","0","176"
"1","99001096","11001096","15","1001","177"
"30","99001096","91002","8","0","178"
"1","99001097","11001097","15","1002","179"
"30","99001097","91002","8","0","180"
"1","99001098","11001098","15","1003","181"
"30","99001098","91002","8","0","182"
"1","99001099","11001099","15","1001","183"
"30","99001099","91002","8","0","184"
"1","99001100","11001100","15","1001","185"
"30","99001100","91002","8","0","186"
"1","99001101","11001101","15","1002","187"
"30","99001101","91002","8","0","188"
"1","99001102","11001102","15","1003","189"
"30","99001102","91002","8","0","190"
"1","99001103","11001103","15","1001","191"
"30","99001103","91002","8","0","192"
"1","99001104","11001104","15","1001","193"
"30","99001104","91002","8","0","194"
"1","99001105","11001105","15","1002","195"
"30","99001105","91002","8","0","196"
"1","99001106","11001106","15","1003","197"
"30","99001106","91002","8","0","198"
"1","99001107","11001107","15","1001","199"
"30","99001107","91002","8","0","200"
"1","99001108","11001108","15","1001","201"
"30","99001108","91002","8","0","202"
"1","99001109","11001109","15","1002","203"
"30","99001109","91002","8","0","204"
"1","99001110","11001110","15","1003","205"
"30","99001110","91002","8","0","206"
"1","99001111","11001111","15","1001","207"
"30","99001111","91002","8","0","208"
"1","99001112","11001112","15","1001","209"
"30","99001112","91002","8","0","210"
"1","99001113","11001113","15","1002","211"
"30","99001113","91002","8","0","212"
"1","99001114","11001114","15","1003","213"
"30","99001114","91002","8","0","214"
"1","99001115","11001115","15","1001","215"
"30","99001115","91002","8","0","216"
"1","99001116","11001116","15","1001","217"
"30","99001116","91002","8","0","218"
"1","99001117","11001117","15","1002","219"
"30","99001117","91002","8","0","220"
"1","99001118","11001118","15","1003","221"
"30","99001118","91002","8","0","222"
"1","99001119","11001119","15","1001","223"
"30","99001119","91002","8","0","224"
"1","99001120","11001120","15","1001","225"
"30","99001120","91002","8","0","226"
"1","99001121","11001121","15","1002","227"
"30","99001121","91002","8","0","228"
"1","99001122","11001122","15","1003","229"
"30","99001122","91002","8","0","230"
"1","99001123","11001123","15","1001","231"
"30","99001123","91002","8","0","232"
"1","99001124","11001124","15","1001","233"
"30","99001124","91002","8","0","234"
"1","99001125","11001125","15","1002","235"
"30","99001125","91002","8","0","236"
"1","99001126","11001126","15","1003","237"
"30","99001126","91002","8","0","238"
"1","99001127","11001127","15","1001","239"
"30","99001127","91002","8","0","240"
"1","99001128","11001128","15","1001","241"
"30","99001128","91002","8","0","242"
"1","99001129","11001129","15","1002","243"
"30","99001129","91002","8","0","244"
"1","99001130","11001130","15","1003","245"
"30","99001130","91002","8","0","246"
"1","99001131","11001131","15","1003","247"
"1","99001132","11001132","15","1001","248"
"30","99001132","91002","8","0","249"
"1","99001133","11001133","15","1001","250"
"30","99001133","91002","8","0","251"
"1","99001134","11001134","15","1002","252"
"30","99001134","91002","8","0","253"
"1","99001135","11001135","15","1003","254"
"30","99001135","91002","8","0","255"
"1","99001136","11001136","15","1001","256"
"30","99001136","91002","8","0","257"
"1","99001137","11001137","15","1001","258"
"30","99001137","91002","8","0","259"
"1","99001138","11001138","15","1002","260"
"30","99001138","91002","8","0","261"
"1","99001139","11001139","15","1003","262"
"30","99001139","91002","8","0","263"
"1","99001140","11001140","15","1003","264"
"1","99001142","11001142","15","1001","265"
"30","99001142","91002","8","0","266"
"1","99001143","11001143","15","1001","267"
"30","99001143","91002","8","0","268"
"1","99001144","11001144","15","1002","269"
"30","99001144","91002","8","0","270"
"1","99001145","11001145","15","1003","271"
"30","99001145","91002","8","0","272"
"0","99001146","11001146","15","1001","273"
"0","99001147","11001147","15","1002","274"
"1","99001148","11001148","15","1001","275"
"30","99001148","91002","8","0","276"
"1","99001149","11001149","15","1001","277"
"30","99001149","91002","8","0","278"
"1","99001150","11001150","15","1002","279"
"30","99001150","91002","8","0","280"
"1","99001151","11001151","15","1003","281"
"30","99001151","91002","8","0","282"
"1","99001152","11001152","15","1001","283"
"30","99001152","91002","8","0","284"
"1","99001153","11001153","15","1001","285"
"30","99001153","91002","8","0","286"
"1","99001154","11001154","15","1002","287"
"30","99001154","91002","8","0","288"
"1","99001155","11001155","15","1003","289"
"30","99001155","91002","8","0","290"
"1","99001156","11001156","15","1001","291"
"30","99001156","91002","8","0","292"
"1","99001157","11001157","15","1001","293"
"30","99001157","91002","8","0","294"
"1","99001158","11001158","15","1002","295"
"30","99001158","91002","8","0","296"
"1","99001159","11001159","15","1003","297"
"30","99001159","91002","8","0","298"
"1","99001160","11001160","15","1001","299"
"30","99001160","91002","8","0","300"
"1","99001161","11001161","15","1001","301"
"30","99001161","91002","8","0","302"
"1","99001162","11001162","15","1002","303"
"30","99001162","91002","8","0","304"
"1","99001163","11001163","15","1003","305"
"30","99001163","91002","8","0","306"
"1","99001164","11001164","15","1002","307"
"1","99001165","11001165","15","1003","308"
"1","99001166","11001166","15","1001","309"
"30","99001166","91002","8","0","310"
"1","99001167","11001167","15","1001","311"
"30","99001167","91002","8","0","312"
"1","99001168","11001168","15","1002","313"
"30","99001168","91002","8","0","314"
"1","99001169","11001169","15","1003","315"
"30","99001169","91002","8","0","316"
"1","99001170","11001170","15","1001","317"
"30","99001170","91002","8","0","318"
"1","99001171","11001171","15","1001","319"
"30","99001171","91002","8","0","320"
"1","99001172","11001172","15","1002","321"
"30","99001172","91002","8","0","322"
"1","99001173","11001173","15","1003","323"
"30","99001173","91002","8","0","324"
