8296503cb4dc787dca27cb6354f5a7142459bbf3cdfa7d67eb51b09f78a22afd,8b349654e5632e0715459815df70ed85f0db9c46e423520533a3764e6bd86522,b7c7c8045a9e85c08a3e9ebc49c15c8461ab6e3111de818875c446b5d0717ec7,189836b612b95c58374d981e9877bf7b4ff8fcb1b79f131688260fe542013f8d,244892b3725b0b918675c96f8126365cbac6ba079a5bff0b240080ad4d36c657,f33626a05c6667381e87d17fb97ad01ca825e4421ce96014ecc8a7495a3cbc44,84275b47d4e28ba2af3e052d5fd9b9aa378c740db454ad90016194486218b3d8,437ccd3910723c7edc516fdab40b87ff81a82487be37ccd81410adfe1721816b,c6ce44cfbd31356e1be6515a8f097aff1e7f2a05dd0e5835d7e6f5ab285ccb16,f92af8a29a4d4a34693df09d26ac6b83f6eceb083ef9cb035e1233d035d3a5ac,58a913dea310756ddc10f4d171175e7eb43ddc61ffca97628ff4c2d95ec6a246
"svd_idle_normal","113511","-750","2","100","5","1007001","0","1007001001","-300","2.08"
"svd_idle_normal","113411","750","1","100","5","1007001","1","1007001002","-300","2.08"
"svd_white_loop","333","0","3","0","5","1007001","0","1007001003","0","1"
"","1","1","333","1","6","1007001","0","1007001004","0","0"
"","2","0","113511","0","7","1007001","","1007001005","",""
"","-750","0.5","113511","-300","2","1007001","","1007001006","0",""
"","1","1","113411","1","6","1007001","0","1007001007","0","0"
"","11","-40","1","-140","31","1007001","","1007001008","0.8","0"
"","2","0","11","0","34","1007001","","1007001009","",""
"","6","0","113411","0","7","1007001","","1007001010","",""
"","750","0.5","113411","-300","2","1007001","","1007001011","0",""
"","14","-40","4","-250","31","1007001","","1007001012","1","0"
"","15","-40","5","250","31","1007001","","1007001013","1","0"
"","","","1","","93","1007001","","1007001014","",""
"","1","1","333","1","6","1007001","0","1007001015","0.4","0.8"
"","svd_idle_see_pre","svd_idle_see","113511","0","3","1007001","0","1007001016","1","0.2"
"","640","1.1","113411","-300","2","1007001","","1007001017","0",""
"","-600","1.1","113511","-300","2","1007001","","1007001018","0",""
"","","","1","","93","1007001","","1007001019","",""
"","1","","11","","32","1007001","","1007001020","",""
"","","","0","","91","1007001","","1007001021","",""
"","240","0","113511","260","94","1007001","","1007001022","80",""
"","0","","11","","32","1007001","","1007001023","",""
"","svd_run","","113511","1","3","1007001","","1007001024","","0.2"
"","0","0","113511","1.2","7","1007001","","1007001025","",""
"","-250","1.2","113511","-300","2","1007001","","1007001026","0",""
"","svd_run","","113411","1","3","1007001","","1007001027","","0.2"
"","0","0","113411","1.2","7","1007001","","1007001028","",""
"","250","1.2","113411","-300","2","1007001","","1007001029","0",""
"","1","1","113411","1","6","1007001","0","1007001030","1","0.2"
"","","","1.2","","93","1007001","","1007001031","",""
"","","","0","","91","1007001","","1007001032","",""
"","svd_kime_eriko","","113511","0","3","1007001","","1007001033","","0.2"
"","svd_kime_shizuru","","113411","0","3","1007001","","1007001034","","0.2"
"","","","1.4","","93","1007001","","1007001035","",""
"","1","","14","","32","1007001","","1007001036","",""
"","1","","15","","32","1007001","","1007001037","",""
"","","","0.6","","93","1007001","","1007001038","",""
"","svd_idle_joy1","","113411","1","3","1007001","","1007001039","","0.2"
"","svd_talk_wish","","113511","1","3","1007001","","1007001040","","0.2"
"","vo_svd_0121","0","vo_svd","0","21","1007001","","1007001041","",""
"1","あなた様のため…必ずや\n忘れられない最高の夏休みを\nお贈りいたしますわ…","0","113511","6","11","1007001","0","1007001042","0","0"
"","","","0","","91","1007001","","1007001043","",""
"","svd_idle_wish","","113511","1","3","1007001","","1007001044","","0.2"
"","svd_talk_joy1","","113411","1","3","1007001","","1007001045","","0.2"
"","vo_svd_0122","0","vo_svd","0","21","1007001","","1007001046","",""
"1","夏が来たら私たちのことを\n思い出しちゃうすっごい\nプロデュースをしちゃおうね！","0","113411","8","11","1007001","0","1007001047","0","0"
"","","","0","","91","1007001","","1007001048","",""
"","svd_idle_joy1","","113411","1","3","1007001","","1007001049","","0.2"
"","svd_talk_thinking","","113511","1","3","1007001","","1007001050","","0.2"
"","vo_svd_0123","0","vo_svd","0","21","1007001","","1007001051","",""
"1","はて…？　私は来年の夏も\n一緒に過ごすので思い出して\nいただく必要はないのですが…","0","113511","6","11","1007001","0","1007001052","0","0"
"","","","0","","91","1007001","","1007001053","",""
"","svd_idle_thinking","","113511","1","3","1007001","","1007001054","","0.2"
"","svd_surprise","svd_talk_anger","113411","0","3","1007001","0.2","1007001055","1","0.2"
"","vo_svd_0124","0","vo_svd","0","21","1007001","","1007001056","",""
"1","あ！　ズルいよエリコちゃん！\nお姉ちゃんだってずっとずっと\n永遠に一緒だよ！","0","113411","8","11","1007001","0","1007001057","0","0"
"","","","3","","93","1007001","","1007001058","",""
"","svd_jump","svd_talk_joy1","113411","0","3","1007001","0.4","1007001059","1","0.2"
"","","","1007001057","","91","1007001","","1007001060","",""
"","svd_idle_joy1","","113411","1","3","1007001","","1007001061","","0.2"
"","","","","","102","1007001","","1007001062","",""
"","0","","14","","32","1007001","","1007001063","",""
"","0","","15","","32","1007001","","1007001064","",""
"","","","1","","93","1007001","","1007001065","",""
"","7","","113511","1","12","1007001","0","1007001066","","0"
"","svd_talk_normal","","113511","1","3","1007001","","1007001067","","0.2"
"","","","3","","93","1007001","","1007001068","",""
"","svd_idle_normal","","113511","1","3","1007001","","1007001069","","0.2"
"","10","","113411","1","12","1007001","0","1007001070","","0"
"","svd_talk_normal","","113411","1","3","1007001","","1007001071","1","0.2"
"","","","3","","93","1007001","","1007001072","",""
"","svd_idle_normal","","113411","1","3","1007001","","1007001073","1","0.2"
"","7","","113511","1","12","1007001","0","1007001074","","0"
"","svd_talk_memory","","113511","1","3","1007001","","1007001075","","0.2"
"","","","3","","93","1007001","","1007001076","",""
"","svd_idle_memory","","113511","1","3","1007001","","1007001077","","0.2"
"","10","","113411","1","12","1007001","0","1007001078","","0"
"","svd_talk_memory","","113411","1","3","1007001","","1007001079","1","0.2"
"","","","3","","93","1007001","","1007001080","",""
"","svd_idle_memory","","113411","1","3","1007001","","1007001081","1","0.2"
"","","","1007001066","","101","1007001","","1007001082","",""
"","1","1","333","1","6","1007001","0","1007001083","0","1"
"","1","","113511","","4","1007001","","1007001084","",""
"","svd_run","","113511","1","3","1007001","","1007001085","","0.2"
"","-750","0.8","113511","-300","2","1007001","","1007001086","0",""
"","0","","113411","","4","1007001","","1007001087","",""
"","svd_run","","113411","1","3","1007001","","1007001088","","0.2"
"","750","0.8","113411","-300","2","1007001","","1007001089","0",""
"","","","0.6","","93","1007001","","1007001090","",""
"","1","1","113511","1","6","1007001","0","1007001091","0","0.2"
"","1","1","113411","1","6","1007001","0","1007001092","0","0.2"
"","","","0","","91","1007001","","1007001093","",""
"svd_idle_normal","113511","-650","2","100","5","1007002","0","1007002001","-300","2.08"
"svd_idle_normal","113411","650","1","100","5","1007002","1","1007002002","-300","2.08"
"svd_white_loop","333","0","3","0","5","1007002","0","1007002003","0","1"
"","1","1","333","1","6","1007002","0","1007002004","0","0"
"","1","1","113511","1","6","1007002","0","1007002005","0","0"
"","1","1","113411","1","6","1007002","0","1007002006","0","0"
"","","","1","","93","1007002","","1007002007","",""
"","1","1","333","1","6","1007002","0","1007002008","0.4","0.8"
"","svd_run","","113511","1","3","1007002","","1007002009","","0.2"
"","-250","1.2","113511","-300","2","1007002","","1007002010","0",""
"","1","1","113511","1","6","1007002","0","1007002011","1","0.4"
"","","","1.2","","93","1007002","","1007002012","",""
"","","","0","","91","1007002","","1007002013","",""
"","svd_idle_normal","","113511","1","3","1007002","","1007002014","","0.1"
"","","","0.6","","93","1007002","","1007002015","",""
"","svd_talk_memory","","113511","1","3","1007002","","1007002016","","0.2"
"","vo_svd_0221","0","vo_svd","0","21","1007002","","1007002017","",""
"1","あなた様の泳ぐ姿…この目に\nしかと焼き付けさせて\n頂きました。","0","113511","6","11","1007002","0","1007002018","0","0"
"","","","0","","91","1007002","","1007002019","",""
"","svd_idle_memory","","113511","1","3","1007002","","1007002020","","0.2"
"","svd_run","","113411","1","3","1007002","","1007002021","","0.2"
"","250","1.2","113411","-300","2","1007002","","1007002022","0",""
"","1","1","113411","1","6","1007002","0","1007002023","1","0.4"
"","","","1.2","","93","1007002","","1007002024","",""
"","svd_idle_joy1","","113411","1","3","1007002","","1007002025","","0.1"
"","","","0.3","","93","1007002","","1007002026","",""
"","svd_talk_memory","","113411","1","3","1007002","","1007002027","","0.2"
"","vo_svd_0222","0","vo_svd","0","21","1007002","","1007002028","",""
"1","弟くんが一生懸命動かす手足…\nかわいかったなぁ…","0","113411","6","11","1007002","0","1007002029","0","0"
"","","","0","","91","1007002","","1007002030","",""
"","svd_idle_memory","","113411","1","3","1007002","","1007002031","","0.2"
"","svd_talk_memory","","113511","1","3","1007002","","1007002032","","0.2"
"","vo_svd_0223","0","vo_svd","0","21","1007002","","1007002033","",""
"1","あなた様が上げる水しぶきは\nどんな秘薬よりも優れた霊薬\nになりそうですわ…","0","113511","6","11","1007002","0","1007002034","0","0"
"","","","0","","91","1007002","","1007002035","",""
"","svd_idle_memory","","113511","1","3","1007002","","1007002036","","0.2"
"","svd_talk_worry","","113411","1","3","1007002","","1007002037","","0.2"
"","vo_svd_0224","0","vo_svd","0","21","1007002","","1007002038","",""
"1","エリコちゃん…\nそれはさすがにちょっと…","0","113411","6","11","1007002","0","1007002039","0","0"
"","","","0","","91","1007002","","1007002040","",""
"","svd_idle_worry","","113411","1","3","1007002","","1007002041","","0.2"
"","svd_talk_thinking","","113511","1","3","1007002","","1007002042","","0.2"
"","vo_svd_0225","0","vo_svd","0","21","1007002","","1007002043","",""
"1","シズルさんには\n必要ないのですね。\nそれならば私がすべて…","0","113511","6","11","1007002","0","1007002044","0","0"
"","","","0","","91","1007002","","1007002045","",""
"","svd_idle_thinking","","113511","1","3","1007002","","1007002046","","0.2"
"","4","","113411","0","12","1007002","0","1007002047","","0"
"","svd_surprise","","113411","0","3","1007002","","1007002048","","0.2"
"","","","1","","93","1007002","","1007002049","",""
"","svd_talk_joy2","","113411","1","3","1007002","","1007002050","","0.2"
"","vo_svd_0226","0","vo_svd","0","21","1007002","","1007002051","",""
"1","ほしい！\n奇麗な小瓶に集めちゃう！","0","113411","8","11","1007002","0","1007002052","0","0"
"","","","0","","91","1007002","","1007002053","",""
"","svd_idle_joy1","","113411","1","3","1007002","","1007002054","","0.2"
"","","","","","102","1007002","","1007002055","",""
"","","","1","","93","1007002","","1007002056","",""
"","8","","113511","1","12","1007002","0","1007002057","","0"
"","svd_talk_memory","","113511","1","3","1007002","","1007002058","","0.2"
"","","","3","","93","1007002","","1007002059","",""
"","svd_idle_memory","","113511","1","3","1007002","","1007002060","","0.2"
"","1","","113411","1","12","1007002","0","1007002061","","0"
