fbd08fbd131c53bd6bc4a47726c0422d53a75811b4d5e6ab8f0532d19e90d3ef,1e157d5b60e7787851a8f1475b9f37776c246f4155db7c8bf538e3d3b1518148,d7e5ff578e43ad24e4b93d5f3d85adf37daaf8b3445088330ee7b07f11740f2b,e68649706fc1f52dafc9f4062e081142ca7235f929f8f214eb0b6bae71d626ba,e4a43179ad8199ae844295ee758982fc54253111cf261d486e473e64c62af9e6,04eda3e918765801145e7cb3b77b58a302f694f8ee1ddd02ea1e584da748abd8,6357d224f4f6755178ec05d527bd28dde42f972f3825d72d48387a70ec6d65e9,c8bf22b4653c4c675002d3e199530c243b1edc5a3f7e88aa7c81101b7060be30,a9c0b96577774e69998ca3ae84bb160c5d6a29809e4b5189408a816ad9dca480,c5e85270b7c9d9a40b5eab2ad48f790b66e6b3fada214ae2da26091da91ade4b,f061a068dba2a16ff34aeea98484b294f18a6b7bdc726e5624bd7edfe1681ea0,42c93f49eebfdba83bbc511c1c0ebd238da8c1c02c690afd98e1bcbcc960bdd6,df8fa3743b06dd3d12ced6f31494f9095472b6de3afa91ab7c85f1097d27f7ed,bb15508b3757b246eed8c148643d30a64691028540da6eba86fe91102c492393,198fb29821686d21aa63e7794e89497ea3b0032bba7e56b00f9baadb272c7b1b
"11","0","2816","1","1","112","111","2022/02/15 5:00:00","100","0","540","0","113","0","0"
"21","0","2816","2","1","212","211","2022/02/16 5:00:00","100","0","493","0","213","0","0"
"31","0","2816","3","1","312","311","2022/02/17 5:00:00","100","0","458","0","313","0","0"
"41","0","2816","4","1","412","411","2022/02/18 5:00:00","100","0","420","0","413","0","0"
"51","0","2816","5","1","512","511","2022/02/19 5:00:00","100","0","380","0","513","0","0"
"61","0","2816","6","1","612","611","2022/02/20 5:00:00","100","0","340","0","613","0","0"
"71","0","2816","7","1","712","711","2022/02/21 5:00:00","100","0","430","0","713","1","0"
"81","0","2816","8","1","812","811","2022/02/22 5:00:00","100","0","402","0","813","1","0"
"91","0","2816","9","1","912","911","2022/02/23 5:00:00","100","0","302","0","913","1","0"
"101","0","2816","10","1","1012","1011","2022/02/24 5:00:00","100","0","264","0","1013","1","0"
"111","0","2816","11","1","1112","1111","2022/02/25 5:00:00","100","0","225","0","1113","1","0"
"121","0","2816","12","1","1212","1211","2022/02/26 5:00:00","100","0","328","0","1213","1","0"
"131","0","2816","13","1","1312","1311","2022/02/27 5:00:00","100","0","280","0","1313","1","0"
"141","0","2816","14","1","1412","1411","2022/02/28 5:00:00","100","0","269","0","1413","1","0"
"151","0","2816","15","1","1512","1511","2022/03/01 5:00:00","100","0","180","0","1513","1","0"
"161","0","2816","16","1","1612","1611","2022/03/02 5:00:00","100","0","138","0","1613","1","0"
"171","0","2816","17","1","1712","1711","2022/03/03 5:00:00","100","0","97","0","1713","1","0"
"181","0","2816","18","1","1812","1811","2022/03/04 5:00:00","100","0","56","0","1813","1","0"
"191","0","2816","19","1","1912","1911","2022/03/05 5:00:00","100","0","150","0","1913","1","0"
"201","0","2816","20","1","2012","2011","2022/03/06 5:00:00","100","0","100","0","2013","1","0"
"211","0","2816","21","1","2112","2111","2022/03/07 5:00:00","100","0","15","0","2113","1","0"
"221","0","2816","22","1","2212","2211","2022/03/08 5:00:00","100","0","-25","0","2213","1","0"
"231","0","2816","23","1","2312","2311","2022/03/09 5:00:00","100","0","-66","0","2313","1","0"
"241","0","2816","24","1","2412","2411","2022/03/10 5:00:00","100","0","-107","0","2413","1","0"
"251","0","2816","25","1","2512","2511","2022/03/11 5:00:00","100","0","-149","0","2513","1","0"
"261","0","2816","26","1","2612","2611","2022/03/12 5:00:00","100","0","-188","0","2613","1","0"
"271","0","2816","27","1","2712","2711","2022/03/13 5:00:00","100","0","-96","0","2713","1","0"
"281","0","2816","28","1","2812","2811","2022/03/14 5:00:00","100","0","-133","0","2813","1","0"
"291","0","2816","29","1","2912","2911","2022/03/15 5:00:00","100","0","-174","0","2913","1","0"
"301","0","2816","30","1","3012","3011","2022/03/16 5:00:00","100","0","-230","0","3013","1","0"
"311","0","2816","31","1","3112","3111","2022/03/17 5:00:00","100","0","-272","0","3113","1","0"
"321","0","2816","32","1","3212","3211","2022/03/18 5:00:00","100","0","-313","0","3213","1","0"
"331","0","2816","33","1","3312","3311","2022/03/19 5:00:00","100","0","-240","0","3313","1","0"
"341","0","2816","34","1","3412","3411","2022/03/20 5:00:00","100","0","-260","0","3413","1","0"
"351","0","2816","35","1","3512","3511","2022/03/21 5:00:00","100","0","-280","0","3513","1","0"
"361","0","2816","36","1","3612","3611","2022/03/22 5:00:00","100","0","-354","0","3613","1","0"
"371","0","2816","37","1","3712","3711","2022/03/23 5:00:00","100","0","-395","0","3713","1","0"
"381","0","2816","38","1","3812","3811","2022/03/24 5:00:00","100","0","-436","0","3813","1","0"
"391","0","2816","39","1","3912","3911","2022/03/25 5:00:00","100","0","-477","0","3913","1","0"
"401","0","2816","40","1","4012","4011","2022/03/26 5:00:00","100","0","-400","0","4013","1","0"
"411","0","2816","41","1","4112","4111","2022/03/27 5:00:00","100","0","-438","0","4113","1","0"
"421","0","2816","42","1","4212","4211","2022/03/28 5:00:00","100","0","0","0","4213","1","0"
"431","0","2816","43","2","4312","4311","2022/03/29 5:00:00","200","0","371","0","4313","2","0"
"441","0","2816","44","2","4412","4411","2022/03/30 5:00:00","200","0","343","0","4413","2","0"
"451","0","2816","45","2","4512","4511","2022/03/31 5:00:00","200","0","260","105801","4513","2","9105803"
"461","0","2816","46","2","4612","4611","2022/04/01 5:00:00","200","0","313","0","4613","2","0"
"471","0","2816","47","2","4712","4711","2022/04/02 5:00:00","200","0","285","0","4713","2","0"
"481","0","2816","48","2","4812","4811","2022/04/03 5:00:00","200","0","260","102001","4813","2","9102003"
"491","0","2816","49","2","4912","4911","2022/04/04 5:00:00","200","0","257","0","4913","2","0"
"501","0","2816","50","2","5012","5011","2022/04/05 5:00:00","200","0","173","100201","5013","2","9100203"
"511","0","2816","51","2","5112","5111","2022/04/06 5:00:00","200","0","227","0","5113","2","0"
"521","0","2816","52","2","5212","5211","2022/04/07 5:00:00","200","0","57","105501","5213","2","9105503"
"531","0","2816","53","2","5312","5311","2022/04/08 5:00:00","200","0","197","0","5313","2","0"
"541","0","2816","54","2","5412","5411","2022/04/09 5:00:00","200","0","169","0","5413","2","0"
"551","0","2816","55","2","5512","5511","2022/04/10 5:00:00","200","0","-55","101601","5513","2","9101603"
"561","0","2816","56","2","5612","5611","2022/04/11 5:00:00","200","0","141","0","5613","2","0"
"571","0","2816","57","2","5712","5711","2022/04/12 5:00:00","200","0","111","0","5713","2","0"
"581","0","2816","58","2","5812","5811","2022/04/13 5:00:00","200","0","81","0","5813","2","0"
