12ca2eb070e75d48fb1c859584f1470fddcc51f5e893070b481920f693511fb3,39a3adc4026d0c68f00578a44388db237d680744692c8cdbb9a07ec3bb797f6b,f5d38ad44f40b74bf75f9f297a2ef343c0f9e28357bacd39cdb5462040116f66,cbb07e44fb9da54905086ba99e703fbe5893a061364596dc440b93f7550768e9,0c27753d69845106044ba9326aac74beacd379fac909e3dac4a9e9c824c62fdc,6ca17c4e7338756b251671f30c1ba1afbc3758ae81b9386706cb0565bfafb0a9,761287ce8e8969f224d07fac805bb5340c90b0ede24c720d854a4f610e97de0c,1cf2a47de48333233a188db264b7ff72dc27121526c3cba7a1fecd995b35e33d,d250e0955d1da916d2e26f70d8573e3a14303c949389636eff10505a46c94188,1b890f93d47d49e1b61b51d4af1e75149c8a209a8c24d141ac6b626caf98f854,ceaa33602f05933fbc504c8490f1ddc88ca04acea425f55d659f74e4bfef8081
"0","10116111","1","1","イワアライグマの生態メモ①","0","0","10116","207300","0","20062115"
"0","10116112","1","2","イワアライグマの生態メモ②","0","0","10116","207300","0","0"
"0","10116113","1","3","イワアライグマの生態メモ③","0","0","10116","207300","0","0"
"0","10116114","1","4","イワアライグマの生態メモ④","0","0","10116","207300","0","0"
"75","10116115","1","5","洗い物のお師匠さま","8","91002","10116","207300","1","0"
"0","10116121","1","1","ワッパダヌキの生態メモ①","0","0","10116","207000","0","0"
"0","10116122","1","2","ワッパダヌキの生態メモ②","0","0","10116","207000","0","0"
"0","10116123","1","3","ワッパダヌキの生態メモ③","0","0","10116","207000","0","0"
"0","10116124","1","4","ワッパダヌキの生態メモ④","0","0","10116","207000","0","0"
"75","10116125","1","5","小さな再会と一化かし","8","91002","10116","207000","1","0"
"0","10116131","1","1","ゴブリングレートの生態メモ①","0","0","10116","305700","0","0"
"0","10116132","1","2","ゴブリングレートの生態メモ②","0","0","10116","305700","0","0"
"0","10116133","1","3","ゴブリングレートの生態メモ③","0","0","10116","305700","0","0"
"0","10116134","1","4","ゴブリングレートの生態メモ④","0","0","10116","305700","0","0"
"75","10116135","1","5","学びはまず形から","8","91002","10116","305700","1","0"
"0","10116211","2","1","スリーピィオウルの生態メモ①","0","0","10116","206900","0","20062115"
"0","10116212","2","2","スリーピィオウルの生態メモ②","0","0","10116","206900","0","0"
"0","10116213","2","3","スリーピィオウルの生態メモ③","0","0","10116","206900","0","0"
"0","10116214","2","4","スリーピィオウルの生態メモ④","0","0","10116","206900","0","0"
"75","10116215","2","5","天にも昇る寝心地","8","91002","10116","206900","1","0"
"0","10116221","2","1","ライライの生態メモ①","0","0","10116","304600","0","0"
"0","10116222","2","2","ライライの生態メモ②","0","0","10116","304600","0","0"
"0","10116223","2","3","ライライの生態メモ③","0","0","10116","304600","0","0"
"0","10116224","2","4","ライライの生態メモ④","0","0","10116","304600","0","0"
"75","10116225","2","5","それぞれの在り方を大切に","8","91002","10116","304600","1","0"
"0","10116231","2","1","ニャットの生態メモ①","0","0","10116","215300","0","0"
"0","10116232","2","2","ニャットの生態メモ②","0","0","10116","215300","0","0"
"0","10116233","2","3","ニャットの生態メモ③","0","0","10116","215300","0","0"
"0","10116234","2","4","ニャットの生態メモ④","0","0","10116","215300","0","0"
"75","10116235","2","5","あなたが教えてくれたこと","8","91002","10116","215300","1","0"
