28fd4138c9f4dab5359fadba061658f78b181f430356ef9555e95d27afd975b6,f087b0c9e8be1cd07f0f5e4558859f8964d9be857f6e03972ba93bcdee137d2b,f81d867fc3b503076f211069aefce1c84574e8a43e56b242915d9ecd1fdd3fbb,602ce96632db12c09192524e87240911f4cd1f20667112a5bd57054a7369bbe5,4e89690ddf22448817e0ca3c9fc59df25a5072c39beb0c5c91adc49889b6339f,26528869680d6fced01e6bd01a94f61681e04cc7e43409f033c876a3ddc35c1d
"1","11101","vo_caravan_105801_start_001","vo_caravan","1","1"
"1","11102","vo_caravan_105801_start_002","vo_caravan","1","1"
"1","12101","vo_caravan_105901_start_001","vo_caravan","1","2"
"1","12102","vo_caravan_105901_start_002","vo_caravan","1","2"
"1","13101","vo_caravan_106001_start_001","vo_caravan","1","3"
"1","13102","vo_caravan_106001_start_002","vo_caravan","1","3"
"1","14101","vo_caravan_106401_start_001","vo_caravan","1","4"
"1","14102","vo_caravan_106401_start_002","vo_caravan","1","4"
"1","21101","vo_caravan_105801_dice_001","vo_caravan","2","1"
"1","21102","vo_caravan_105801_dice_002","vo_caravan","2","1"
"1","22101","vo_caravan_105901_dice_001","vo_caravan","2","2"
"1","22102","vo_caravan_105901_dice_002","vo_caravan","2","2"
"1","23101","vo_caravan_106001_dice_001","vo_caravan","2","3"
"1","23102","vo_caravan_106001_dice_002","vo_caravan","2","3"
"1","24101","vo_caravan_106401_dice_001","vo_caravan","2","4"
"1","24102","vo_caravan_106401_dice_002","vo_caravan","2","4"
"1","31101","vo_caravan_105801_slot_001","vo_caravan","3","1"
"1","32101","vo_caravan_105901_slot_001","vo_caravan","3","2"
"1","33101","vo_caravan_106001_slot_001","vo_caravan","3","3"
"1","34101","vo_caravan_106401_slot_001","vo_caravan","3","4"
"1","41101","vo_caravan_105801_dish_001","vo_caravan","4","1"
"1","41102","vo_caravan_105801_dish_002","vo_caravan","4","1"
"1","42101","vo_caravan_105901_dish_001","vo_caravan","4","2"
"1","42102","vo_caravan_105901_dish_002","vo_caravan","4","2"
"2","42201","se_caravan_food_peko","se_caravan","4","1"
"2","42202","se_caravan_food_coccoro","se_caravan","4","2"
"2","42203","se_caravan_food_kyaru","se_caravan","4","3"
"2","42204","se_caravan_food_coccoro","se_caravan","4","4"
"2","42205","se_caravan_food_onigiri","se_caravan","4","100"
"1","43101","vo_caravan_106001_dish_001","vo_caravan","4","3"
"1","43102","vo_caravan_106001_dish_002","vo_caravan","4","3"
"1","44101","vo_caravan_106401_dish_001","vo_caravan","4","4"
"1","44102","vo_caravan_106401_dish_002","vo_caravan","4","4"
"1","45101","vo_caravan_onigiri_dish_001","vo_caravan","4","100"
"1","61101","vo_caravan_105801_goal_001","vo_caravan","6","0"
"1","61201","vo_caravan_105801_win_001","vo_caravan","61","0"
"1","61301","vo_caravan_105801_lose_001","vo_caravan","62","0"
"1","62101","vo_caravan_105901_goal_001","vo_caravan","6","0"
"1","62201","vo_caravan_105901_win_001","vo_caravan","61","0"
"1","62301","vo_caravan_105901_lose_001","vo_caravan","62","0"
"1","63101","vo_caravan_106001_goal_001","vo_caravan","6","0"
"1","63201","vo_caravan_106001_win_001","vo_caravan","61","0"
"1","63301","vo_caravan_106001_lose_001","vo_caravan","62","0"
"1","64101","vo_caravan_118501_goal_001","vo_caravan","6","0"
"1","65101","vo_caravan_106401_goal_001","vo_caravan","6","0"
"1","65201","vo_caravan_106401_win_001","vo_caravan","61","0"
"1","65301","vo_caravan_106401_lose_001","vo_caravan","62","0"
"1","71101","vo_caravan_105801_appraise_001","vo_caravan","7","0"
"1","72101","vo_caravan_105901_appraise_001","vo_caravan","7","0"
"1","73101","vo_caravan_106001_appraise_001","vo_caravan","7","0"
"1","74101","vo_caravan_106401_appraise_001","vo_caravan","7","0"
"1","81101","vo_caravan_105801_result_001","vo_caravan","8","0"
"1","82101","vo_caravan_105901_result_001","vo_caravan","8","0"
"1","83101","vo_caravan_106001_result_001","vo_caravan","8","0"
"1","84101","vo_caravan_106401_result_001","vo_caravan","8","0"
"1","211101","vo_caravan_319700_dice_001","vo_caravan","2","11"
"1","211102","vo_caravan_319700_dice_002","vo_caravan","2","11"
"1","212101","vo_caravan_319800_dice_001","vo_caravan","2","12"
"1","212102","vo_caravan_319800_dice_002","vo_caravan","2","12"
"1","213101","vo_caravan_319900_dice_001","vo_caravan","2","13"
"1","213102","vo_caravan_319900_dice_002","vo_caravan","2","13"
