20a9cfebe82fe474b6ae7187fa19e17a37c071fdf21390037705ece1f7907e94,ee57be173570118dcc2c35ff3cee0a959ef747c001e35d38d21665b43ede2a6e,90ece3166d36ea2672e25b0bb75b186bccdac8387b90795e7a7201dc82c06f24,5075d3e17059eba606e6d175ba4c1d769463e1934d4fdb21ea393ae5dccff8d2,3e50e83561c66053ce2ce5c7e744eae242f5170c2ba962b2e7490bffe7edc6c6,277b721f49b4943c73391c67b623f42ac50a958cb5ade82fc2dc89d03e5473f6,cadfbc8c457ce5b788723448b0af5cebde0aefeba82bd83fe9ef9508327cc162
"50","0","0","9999999","1","50","1"
"80","0","0","9999999","2","20","2"
"30","0","0","2000","3","70","3"
"40","30","0","5000","3","30","4"
"40","40","20","10000","3","0","5"
"30","40","30","15000","3","0","6"
"25","40","35","20000","3","0","7"
"20","40","40","25000","3","0","8"
"15","40","45","30000","3","0","9"
"10","40","50","35000","3","0","10"
"10","35","55","40000","3","0","11"
"5","35","60","45000","3","0","12"
"5","30","65","50000","3","0","13"
"0","30","70","55000","3","0","14"
"0","25","75","60000","3","0","15"
"0","20","80","65000","3","0","16"
"0","15","85","70000","3","0","17"
"0","10","90","75000","3","0","18"
"0","5","95","80000","3","0","19"
"0","0","100","9999999","3","0","20"
