36ef08a027390d5e155906d3d0140bab417e48b72827e49317bf0da7b11efcb7,cc8ccad92944f9b8c73b61431ec45c1db8ea1333ec26cf5c060b419cb1d4cf54,ec06cb49e0d44ad13a37783b647d6c7489b3c0319c62db15e88e3075dae29b69,b0a3e8005c533b3c209cfec90b0a033a1424004a0a688dc5759fedc923873a37,210b89da7e555dee8948423a10c304bae5105619e0acddcafc84463f64964453
"100101","3000000","12","94002","1"
"100101","300","2","20004","2"
"100102","1000","2","90008","3"
"100103","6","2","25001","4"
"100104","1000000","12","94002","5"
"100104","300","2","20004","6"
"100105","1000","2","90008","7"
"100106","6","2","25001","8"
"100107","40","8","91002","9"
"100107","1000000","12","94002","10"
"100107","300","2","20004","11"
"100108","1000","2","90008","12"
"100109","1","2","41000","13"
"100109","7","2","25001","14"
"100110","1000000","12","94002","15"
"100110","400","2","20004","16"
"100111","1500","2","90008","17"
"100112","40","8","91002","18"
"100112","7","2","25001","19"
"100113","1000000","12","94002","20"
"100113","400","2","20004","21"
"100114","1500","2","90008","22"
"100115","1","2","41000","23"
"100115","7","2","25001","24"
"100116","1000000","12","94002","25"
"100116","500","2","20004","26"
"100117","40","8","91002","27"
"100117","1500","2","90008","28"
"100118","2000000","12","94002","29"
"100118","8","2","25001","30"
"100118","2000","2","90008","31"
"100201","3000000","12","94002","32"
"100201","300","2","20004","33"
"100202","1000","2","90008","34"
"100203","12","2","25001","35"
"100204","1000000","12","94002","36"
"100204","300","2","20004","37"
"100205","1000","2","90008","38"
"100206","10","2","25001","39"
"100207","40","8","91002","40"
"100207","1000000","12","94002","41"
"100207","300","2","20004","42"
"100208","1000","2","90008","43"
"100209","1","2","41000","44"
"100209","10","2","25001","45"
"100210","1000000","12","94002","46"
"100210","400","2","20004","47"
"100211","1500","2","90008","48"
"100212","40","8","91002","49"
"100212","9","2","25001","50"
"100213","1000000","12","94002","51"
"100213","400","2","20004","52"
"100214","1500","2","90008","53"
"100215","1","2","41000","54"
"100216","1000000","12","94002","55"
"100216","500","2","20004","56"
"100217","40","8","91002","57"
"100217","1500","2","90008","58"
"100218","2000000","12","94002","59"
"100218","2000","2","90008","60"
"100301","3000000","12","94002","61"
"100301","300","2","20004","62"
"100302","1000","2","90008","63"
"100303","12","2","25001","64"
"100304","1000000","12","94002","65"
"100304","300","2","20004","66"
"100305","1000","2","90008","67"
"100306","10","2","25001","68"
"100307","40","8","91002","69"
"100307","1000000","12","94002","70"
"100307","300","2","20004","71"
"100308","1000","2","90008","72"
"100309","1","2","41000","73"
"100309","10","2","25001","74"
"100310","1000000","12","94002","75"
"100310","400","2","20004","76"
"100311","1500","2","90008","77"
"100312","40","8","91002","78"
"100312","9","2","25001","79"
"100313","1000000","12","94002","80"
"100313","400","2","20004","81"
"100314","1500","2","90008","82"
"100315","1","2","41000","83"
"100316","1000000","12","94002","84"
"100316","500","2","20004","85"
"100317","40","8","91002","86"
"100317","1500","2","90008","87"
"100318","2000000","12","94002","88"
"100318","2000","2","90008","89"
"100401","3000000","12","94002","90"
"100401","300","2","20004","91"
"100402","1000","2","90008","92"
"100403","12","2","25001","93"
"100404","1000000","12","94002","94"
"100404","300","2","20004","95"
"100405","1000","2","90008","96"
"100406","10","2","25001","97"
"100407","40","8","91002","98"
"100407","1000000","12","94002","99"
"100407","300","2","20004","100"
"100408","1000","2","90008","101"
"100409","1","2","41000","102"
"100409","10","2","25001","103"
"100410","1000000","12","94002","104"
"100410","400","2","20004","105"
"100411","1500","2","90008","106"
"100412","40","8","91002","107"
"100412","9","2","25001","108"
"100413","1000000","12","94002","109"
"100413","400","2","20004","110"
"100414","1500","2","90008","111"
"100415","1","2","41000","112"
"100416","1000000","12","94002","113"
"100416","500","2","20004","114"
"100417","40","8","91002","115"
"100417","1500","2","90008","116"
"100418","2000000","12","94002","117"
"100418","2000","2","90008","118"
"100501","3000000","12","94002","119"
"100501","300","2","20004","120"
"100502","1000","2","90008","121"
"100503","12","2","25001","122"
"100504","1000000","12","94002","123"
"100504","300","2","20004","124"
"100505","1000","2","90008","125"
"100506","10","2","25001","126"
"100507","40","8","91002","127"
"100507","1000000","12","94002","128"
"100507","300","2","20004","129"
"100508","1000","2","90008","130"
"100509","1","2","41000","131"
"100509","10","2","25001","132"
"100510","1000000","12","94002","133"
"100510","400","2","20004","134"
"100511","1500","2","90008","135"
"100512","40","8","91002","136"
"100512","9","2","25001","137"
"100513","1000000","12","94002","138"
"100513","400","2","20004","139"
"100514","1500","2","90008","140"
"100515","1","2","41000","141"
"100516","1000000","12","94002","142"
"100516","500","2","20004","143"
"100517","40","8","91002","144"
"100517","1500","2","90008","145"
"100518","2000000","12","94002","146"
"100518","2000","2","90008","147"
"100601","3000000","12","94002","148"
"100601","300","2","20004","149"
"100602","1000","2","90008","150"
"100603","12","2","25001","151"
"100604","1000000","12","94002","152"
"100604","300","2","20004","153"
"100605","1000","2","90008","154"
"100606","10","2","25001","155"
"100607","40","8","91002","156"
"100607","1000000","12","94002","157"
"100607","300","2","20004","158"
"100608","1000","2","90008","159"
"100609","1","2","41000","160"
"100609","10","2","25001","161"
"100610","1000000","12","94002","162"
"100610","400","2","20004","163"
"100611","1500","2","90008","164"
"100612","40","8","91002","165"
"100612","9","2","25001","166"
"100613","1000000","12","94002","167"
"100613","400","2","20004","168"
"100614","1500","2","90008","169"
"100615","1","2","41000","170"
"100616","1000000","12","94002","171"
"100616","500","2","20004","172"
"100617","40","8","91002","173"
"100617","1500","2","90008","174"
"100618","2000000","12","94002","175"
"100618","2000","2","90008","176"
"100701","3000000","12","94002","177"
"100701","300","2","20004","178"
"100702","1000","2","90008","179"
"100703","12","2","25001","180"
"100704","1000000","12","94002","181"
"100704","300","2","20004","182"
"100705","1000","2","90008","183"
"100706","10","2","25001","184"
"100707","40","8","91002","185"
"100707","1000000","12","94002","186"
"100707","300","2","20004","187"
"100708","1000","2","90008","188"
"100709","1","2","41000","189"
"100709","10","2","25001","190"
"100710","1000000","12","94002","191"
"100710","400","2","20004","192"
"100711","1500","2","90008","193"
"100712","40","8","91002","194"
"100712","9","2","25001","195"
"100713","1000000","12","94002","196"
"100713","400","2","20004","197"
"100714","1500","2","90008","198"
"100715","1","2","41000","199"
"100716","1000000","12","94002","200"
"100716","500","2","20004","201"
"100717","40","8","91002","202"
"100717","1500","2","90008","203"
"100718","2000000","12","94002","204"
"100718","2000","2","90008","205"
"100801","3000000","12","94002","206"
"100801","300","2","20004","207"
"100802","1000","2","90008","208"
"100803","12","2","25001","209"
"100804","1000000","12","94002","210"
"100804","300","2","20004","211"
"100805","1000","2","90008","212"
"100806","10","2","25001","213"
"100807","40","8","91002","214"
"100807","1000000","12","94002","215"
"100807","300","2","20004","216"
"100808","1000","2","90008","217"
"100809","1","2","41000","218"
"100809","10","2","25001","219"
"100810","1000000","12","94002","220"
"100810","400","2","20004","221"
"100811","1500","2","90008","222"
"100812","40","8","91002","223"
"100812","9","2","25001","224"
"100813","1000000","12","94002","225"
"100813","400","2","20004","226"
"100814","1500","2","90008","227"
"100815","1","2","41000","228"
"100816","1000000","12","94002","229"
"100816","500","2","20004","230"
"100817","40","8","91002","231"
"100817","1500","2","90008","232"
"100818","2000000","12","94002","233"
"100818","2000","2","90008","234"
"100901","3000000","12","94002","235"
"100901","300","2","20004","236"
"100902","1000","2","90008","237"
"100902","150","2","23003","238"
"100903","12","2","25001","239"
"100904","1000000","12","94002","240"
"100904","300","2","20004","241"
"100905","1000","2","90008","242"
"100905","150","2","23003","243"
"100906","10","2","25001","244"
"100907","40","8","91002","245"
"100907","1000000","12","94002","246"
"100907","300","2","20004","247"
"100908","1000","2","90008","248"
"100908","200","2","23003","249"
"100909","1","2","41000","250"
"100909","10","2","25001","251"
"100910","1000000","12","94002","252"
"100910","400","2","20004","253"
"100911","1500","2","90008","254"
"100912","40","8","91002","255"
"100912","9","2","25001","256"
"100913","1000000","12","94002","257"
"100913","400","2","20004","258"
"100914","1500","2","90008","259"
"100915","1","2","41000","260"
"100916","1000000","12","94002","261"
"100916","500","2","20004","262"
"100917","40","8","91002","263"
"100917","1500","2","90008","264"
"100918","2000000","12","94002","265"
"100918","2000","2","90008","266"
"101001","3000000","12","94002","267"
"101001","300","2","20004","268"
"101002","1000","2","90008","269"
