1c69d267955132c2b0546941a334103d476367ce319279744977421434b343bc,4733f82829ca1f7cdd08caa5ed98050886bdd2dfe30c63a82db3f371ef884b46,a7f3979505d27e317346b750d99dfc4cfeaafb85551d34338e4cc44de7f1d473,ab69261a5a939cc8d01949dde7e015dcef0371edaf48a0bd5f428746360b1412,1b6ed102baae31e14255c636493feb24fec8e1035445558c6a5fe5f7e0700f88,2f93bc5e3dc4c5fa198d5c05f87a8984a767399488ca869ea3c99cd9c5529827,87681f9785e13ad4a3b8d18c78e052116309923835348208a3197925316b919d,1970cda6a1b3dd37add5dbfcaf3b93ad3b3be91ae6dbcdae0b15f84d67103f19,3bc914a3df967f6d34c96773ce846d8cfc875ff10764d61f95456bfd207ffeea,ee47fa88154e173bd8f73baaf1dd9a8ebdfc67024d8b7a7b30587ae3e843d99d,71e618b414380a20cf83b5aced276c37a9a023a0721b611ebd7b8e15bd56ff69,2b82ab017b34fdb0e64bccb23d7eb3a75f4fb8848e973a3a8f19fe6a686ded5a
"0","1","1","0","0.8","4","0","0","10116115","0","0","1011611501"
"vo_won_10116115_01","2","0","vo_won","0","2","0","0","10116115","0","0","1011611502"
"0","3","0","0","0","1","2.68","395","10116115","1","0","1011611503"
"0","4","1","0","3.17","4","0","0","10116115","0","0","1011611504"
"0","5","0","0","0","1","3.51","430","10116115","2","0","1011611505"
"0","6","1","0","4.03","4","0","0","10116115","0","0","1011611506"
"0","7","0","0","0","1","1.92","280","10116115","3","0","1011611507"
"0","8","1","0","2.42","4","0","0","10116115","0","0","1011611508"
"0","9","0","0","0","1","1.09","430","10116115","3","280","1011611509"
"0","10","1","0","1.09","4","0","0","10116115","0","0","1011611510"
"0","11","0","0","0","1","1.88","210","10116115","4","0","1011611511"
"0","12","1","0","2.47","4","0","0","10116115","0","0","1011611512"
"0","13","0","0","0","1","1.88","440","10116115","4","210","1011611513"
"0","14","1","0","1.88","4","0","0","10116115","0","0","1011611514"
"0","15","0","0","0","1","0.588999999999999","70","10116115","5","0","1011611515"
"0","16","1","0","0.965999999999999","4","0","0","10116115","0","0","1011611516"
"0","17","0","0","0","1","1.423","270","10116115","5","70","1011611517"
"0","18","1","0","2.673","4","0","0","10116115","0","0","1011611518"
"vo_won_10116115_02","19","0","vo_won","0","2","0","0","10116115","0","0","1011611519"
"0","20","0","0","0","1","1.699","213","10116115","6","0","1011611520"
"0","21","1","0","2.495","4","0","0","10116115","0","0","1011611521"
"0","22","0","0","0","1","1.636","450","10116115","6","213","1011611522"
"0","23","1","0","2.4","4","0","0","10116115","0","0","1011611523"
"0","24","0","0","0","1","2.853","430","10116115","7","0","1011611524"
"0","25","1","0","4.428","4","0","0","10116115","0","0","1011611525"
"vo_won_10116115_03","26","0","vo_won","0","2","0","0","10116115","0","0","1011611526"
"0","27","0","0","0","1","1.261","195","10116115","8","0","1011611527"
"0","28","1","0","1.715","4","0","0","10116115","0","0","1011611528"
"0","29","0","0","0","1","2.245","450","10116115","8","195","1011611529"
"0","30","1","0","2.759","4","0","0","10116115","0","0","1011611530"
"0","31","0","0","0","1","3.212","450","10116115","9","0","1011611531"
"0","32","1","0","3.212","4","0","0","10116115","0","0","1011611532"
"0","33","0","0","0","1","0.499","90","10116115","10","0","1011611533"
"0","34","1","0","2.042","4","0","0","10116115","0","0","1011611534"
"vo_won_10116115_04","35","0","vo_won","0","2","0","0","10116115","0","0","1011611535"
"0","36","0","0","0","1","0.717","75","10116115","11","0","1011611536"
