7071a6d11c5921d5c65bc503c9da71266ec80f518dc8dc7cfe79489fac704e46,6e8c8fe33e49e5190981791c2ad7c68d6df4ba4e2aff8009da93205417844018,8a6fa5b1739d3f984bc5dca6d07418ee526abd481727ae9a9858734511a87c6d,64603be95d666cd63634965afaa4ffaa49a5d38caaa9be7bb790b3acb453979a,b1fb77fd3cdb65c53d46b24d01cc5ee28eb19832f1e52d30af6b0ba86dca4b32,72ed4f09762d9d254ff6fb53df17fd8f7e76a43d318e89cd1153536939dc941c,cb2fed18bfbf3716f35169130487782260649b2d51ae864cf1e565265e26fd84,d07e89175518e64ecabe04f84488f0b18015ef882d5de68200a74497d00f4d13,a1321d11ee092ea8d70f66123026062c3e070d9292b64e971180ea5cce07e593
"2","21600","1","","23001","","2","1","1"
"3","19800","2","","23001","","2","1","1"
"3","18000","3","","23001","","2","1","1"
"3","16200","4","","23001","","2","1","1"
"4","14400","5","","23001","","2","1","1"
"4","12960","6","","23001","","2","1","1"
"5","11520","7","","23001","","2","1","1"
"6","10080","8","","23001","","2","1","1"
"7","8640","9","","23001","","2","1","1"
"8","7200","10","","23001","","2","1","1"
"10","5760","11","","23001","","2","1","1"
"12","5040","12","","23001","","2","1","1"
"14","4320","13","","23001","","2","1","1"
"16","7200","14","","23001","","2","1","2"
"18","5400","15","","23001","","2","1","2"
"18","5040","16","","23001","","2","1","2"
"18","4800","17","","23001","","2","1","2"
"20","4500","18","","23001","","2","1","2"
"20","4320","19","","23001","","2","1","2"
"24","6000","20","","23001","","2","1","3"
"48","5700","21","","23001","","2","1","3"
"48","5400","22","","23001","","2","1","3"
"51","5220","23","","23001","","2","1","3"
"54","4980","24","","23001","","2","1","3"
"54","4800","25","","23001","","2","1","3"
"60","4500","26","","23001","","2","1","3"
"60","4320","27","","23001","","2","1","3"
"63","4200","28","","23001","","2","1","3"
"64","5400","29","","23001","","2","1","4"
"68","5220","30","","23001","","2","1","4"
"72","5040","31","","23001","","2","1","4"
"72","4920","32","","23001","","2","1","4"
"72","4800","33","","23001","","2","1","4"
"76","4680","34","","23001","","2","1","4"
"80","21600","1","","93001","","6","2","20"
"96","21600","2","","93001","","6","2","24"
"112","21600","3","","93001","","6","2","28"
"120","21600","4","","93001","","6","2","30"
"128","21600","5","","93001","","6","2","32"
"136","21600","6","","93001","","6","2","34"
"144","21600","7","","93001","","6","2","36"
"152","21600","8","","93001","","6","2","38"
"160","21600","9","","93001","","6","2","40"
"168","21600","10","","93001","","6","2","42"
"176","21600","11","","93001","","6","2","44"
"184","21600","12","","93001","","6","2","46"
"192","21600","13","","93001","","6","2","48"
"200","21600","14","","93001","","6","2","50"
"208","21600","15","","93001","","6","2","52"
"216","21600","16","","93001","","6","2","54"
"224","21600","17","","93001","","6","2","56"
"232","21600","18","","93001","","6","2","58"
"240","21600","19","","93001","","6","2","60"
"248","21600","20","","93001","","6","2","62"
"256","21600","21","","93001","","6","2","64"
"264","21600","22","","93001","","6","2","66"
"272","21600","23","","93001","","6","2","68"
"280","21600","24","","93001","","6","2","70"
"288","21600","25","","93001","","6","2","72"
"296","21600","26","","93001","","6","2","74"
"304","21600","27","","93001","","6","2","76"
"312","21600","28","","93001","","6","2","78"
"320","21600","29","","93001","","6","2","80"
"328","21600","30","","93001","","6","2","82"
"336","21600","31","","93001","","6","2","84"
"340","21600","32","","93001","","6","2","85"
"344","21600","33","","93001","","6","2","86"
"348","21600","34","","93001","","6","2","87"
"3","14400","1","","20001","","2","3","1"
"5","9600","2","","20001","","2","3","1"
"7","7200","3","","20001","","2","3","1"
"10","5400","4","","20001","","2","3","1"
"15","3600","5","","20001","","2","3","1"
"6","9600","6","","20002","","2","3","1"
"8","7200","7","","20002","","2","3","1"
"12","4800","8","","20002","","2","3","1"
"16","3600","9","","20002","","2","3","1"
"20","2700","10","","20002","","2","3","1"
"6","10800","11","","20003","","2","3","1"
"8","9000","12","","20003","","2","3","1"
"12","7200","13","","20003","","2","3","1"
"16","5400","14","","20003","","2","3","1"
"20","3600","15","","20003","","2","3","1"
"30","2880","16","","20003","","2","3","1"
"7","12600","17","","20004","","2","3","1"
"8","11400","18","","20004","","2","3","1"
"9","10200","19","","20004","","2","3","1"
"10","9300","20","","20004","","2","3","1"
"10","8700","21","","20004","","2","3","1"
"13","6600","22","","20004","","2","3","1"
"14","6300","23","","20004","","2","3","1"
"15","6000","24","","20004","","2","3","1"
"15","5700","25","","20004","","2","3","1"
"16","5400","26","","20004","","2","3","1"
"17","5100","27","","20004","","2","3","1"
"18","4860","28","","20004","","2","3","1"
"19","4620","29","","20004","","2","3","1"
"20","4440","30","","20004","","2","3","1"
"21","4260","31","","20004","","2","3","1"
"22","4080","32","","20004","","2","3","1"
"22","3960","33","","20004","","2","3","1"
"23","3840","34","","20004","","2","3","1"
"12000","21600","1","","94002","","12","4","3000"
"18000","21600","2","","94002","","12","4","4500"
"24000","21600","3","","94002","","12","4","6000"
"30000","21600","4","","94002","","12","4","7500"
"42000","21600","5","","94002","","12","4","10500"
"54000","21600","6","","94002","","12","4","13500"
"66000","21600","7","","94002","","12","4","16500"
"84000","21600","8","","94002","","12","4","21000"
"102000","21600","9","","94002","","12","4","25500"
"120000","21600","10","","94002","","12","4","30000"
"144000","21600","11","","94002","","12","4","36000"
"168000","21600","12","","94002","","12","4","42000"
"192000","21600","13","","94002","","12","4","48000"
"222000","21600","14","","94002","","12","4","55500"
"252000","21600","15","","94002","","12","4","63000"
"282000","21600","16","","94002","","12","4","70500"
"318000","21600","17","","94002","","12","4","79500"
"354000","21600","18","","94002","","12","4","88500"
"390000","21600","19","","94002","","12","4","97500"
"432000","21600","20","","94002","","12","4","108000"
"474000","21600","21","","94002","","12","4","118500"
"516000","21600","22","","94002","","12","4","129000"
"562000","21600","23","","94002","","12","4","140500"
"600000","21600","24","","94002","","12","4","150000"
"642000","21600","25","","94002","","12","4","160500"
"684000","21600","26","","94002","","12","4","171000"
"726000","21600","27","","94002","","12","4","181500"
"768000","21600","28","","94002","","12","4","192000"
"810000","21600","29","","94002","","12","4","202500"
"852000","21600","30","","94002","","12","4","213000"
"894000","21600","31","","94002","","12","4","223500"
"920000","21600","32","","94002","","12","4","230000"
"940000","21600","33","","94002","","12","4","235000"
"960000","21600","34","","94002","","12","4","240000"
"48","21600","1","","93001","","6","5","12"
"48","21600","1","","93001","","6","6","12"
"48","21600","1","","93001","","6","7","12"
"48","21600","1","","93001","","6","8","12"
"48","21600","1","","93001","","6","11","12"
"48","21600","1","","93001","","6","12","12"
"48","21600","1","","93001","","6","19","12"
"0","0","0","4999999999","0","14999999999","0","23","1"
"48","21600","1","","93001","","6","25","12"
"48","21600","1","","93001","","6","28","12"
"48","21600","1","","93001","","6","30","12"
