561a63b55a85e1bf32bc38fa5407c4a485b0e66f0bbc2aac5bcb682d5cedf910,ba34a57b92ee2d2b8ee254dad3fe1508af5a87bb65d478c8808df06272825d4f,33ec32f4d743881ed3fc6973027602b4e8b92d3ec32979ebf92e7b72cc7344c7,d417154f8dcc4d084631ca19f12b7eec40dd509142050dbd8dd19d018ea227fd,bcf4ff2d72c00b30ad96d1492a611dceb71d0bae01855d9c99bc7bef89a37629,49b6b028bd300bf607b31552713cb598e4605438cfe0a56fcc7706483aa48318,d6d988cdf8e33aef1b5d51624eee7332519d119b0b658c938a761b165badbf37,cb31d55783139904b6e1590b87e784ba2c8d3b5f9bfd786bf8386af12a17c502,6584f5221bebd5349a1f894163af0753f996b1e4135b186c23566209f8cd65c4,931b9be1e1183295d04ca2091d3a9a07e2511cd1d5bae9645de529ba0529939b,d0d935590f2962bc672b8a900730e8edaa01f42fe0c6a54cec7a9d4972b11f73,babd37bd61ca21e45fa7cbbbd91cddd45003e1e264ec19127bca299d74938c40,2179b5a2e1949bc88a653577abb040c310069553fc87bf80cd79e5eaaf3f2f72,b1ccd1cd5ae49fbadf86a468994a5563de8dd2e982735b1873e36b6ae1a79e80,88f45e9175462ff91acb8a7d48449da930c3371ed56f82476e67bfd67a3f71fb
"ユイ、レイ、ヒヨリのシャドウを倒そう","81010001","0","6011","0","0","9001","10010","3","601","2018/12/31 12:00:00","2019/01/18 14:59:59","103","0","81010001"
"ボンノウを36個討滅しよう","81010002","0","6011","0","0","9014","10010","36","601","2018/12/31 12:00:00","2019/01/18 14:59:59","104","0","81010002"
"ボンノウを72個討滅しよう","81010003","0","6011","0","0","9014","10010","72","601","2018/12/31 12:00:00","2019/01/18 14:59:59","105","0","81010003"
"ボンノウを108個討滅しよう","81010004","0","6011","0","0","9014","10010","108","601","2018/12/31 12:00:00","2019/01/18 14:59:59","106","0","81010004"
"スペシャルバトルのボスのHPを1080000まで減らそう","81010005","0","6011","0","0","9013","10010","500000","601","2018/12/31 12:00:00","2019/01/18 14:59:59","111","0","81010005"
"スペシャルバトルのボスのHPを540000まで減らそう","81010006","0","6011","0","0","9013","10010","1040000","601","2018/12/31 12:00:00","2019/01/18 14:59:59","113","0","81010006"
"スペシャルバトルのボスを討滅しよう","81010007","0","6011","0","0","9013","10010","1580000","601","2018/12/31 12:00:00","2019/01/18 14:59:59","115","0","81010007"
"スペシャルバトルのボスのHPを5000000まで減らそう","81011001","0","6011","0","0","9013","10011","500000","601","2019/01/31 12:00:00","2019/02/18 14:59:59","103","0","81011001"
"スペシャルバトルのボスのHPを4000000まで減らそう","81011002","0","6011","0","0","9013","10011","1500000","601","2019/01/31 12:00:00","2019/02/18 14:59:59","104","0","81011002"
"スペシャルバトルのモード1をクリアしよう","81011003","0","6011","0","0","9013","10011","1650000","601","2019/01/31 12:00:00","2019/02/18 14:59:59","105","0","81011003"
"スペシャルバトルのボスのHPを2000000まで減らそう","81011004","0","6011","0","0","9013","10011","3500000","601","2019/01/31 12:00:00","2019/02/18 14:59:59","106","0","81011004"
