1b73ca2273048864b9babf0231afc73dd6e6b1e68db4f75a0f9ce04654c28212,0117f083296d29952b93315273fb4f87b3c362a41559e12f0685bcd35c3824db,e9dcec0cda9cb6082ae78db941b61da37e289f33d627bf46f595e6eda2089970,14513edf9effe7f289e327b2f374758a47708039bdb62a38e6a3a8e10f2aaab8,c9a9e0a15250884cb3462c76f952f6c07504af1a5ee073081c9fb3131c0bdc1b,79cad8a1402a31219faa8fc4ea2dd9874bb5da16f16c904ec94f14d4fff42ede,b69cc183daca0f4c5acce366fabca3bcedabe25ee74c4b6af798c1787be04a85,ad0057a686b6bb81db814bfb5edbfd40afd98ee83345643d00b41958b9043df3,e9409eaab104ea4ff71c7f0c581291ce1f05eb6b91a9c1dff479f8265e8118f1,79997360c691485cd6ef34839053a4f1ab2d4d986780f846f3a82d089ac07ada,3cadf618ea07702a21f60d6e324c37a87c4deafd89540cc27991976b2b141b75
"se_travel","","23","111","0","","","101110001","","se_travel_start_1pt",""
"10010","","31","111","0","1","0","101110002","1","10010",""
"10011","","31","111","0","1","0","101110003","1","10011",""
"10020","","31","111","0","0","0","101110004","1","10020",""
"2","0","1","111","62","0.68","-150","101110005","-150","1001001","<weapon>_idle"
"2","0","1","111","61","0.68","-250","101110006","-75","1001002","<weapon>_idle"
"2","0","1","111","63","0.68","-350","101110007","-180","1001003","<weapon>_idle"
"2","0","1","111","61","0.68","-450","101110008","-75","1001004","<weapon>_idle"
"2","0","1","111","62","0.68","-550","101110009","-150","1001005","<weapon>_idle"
"10012","0","31","111","-150","1","-150","101110010","0.68","1001001",""
"10012","0","31","111","-250","1","-75","101110011","0.68","1001002",""
"10012","0","31","111","-350","1","-180","101110012","0.68","1001003",""
"10012","0","31","111","-450","1","-75","101110013","0.68","1001004",""
"10012","0","31","111","-550","1","-150","101110014","0.68","1001005",""
"10030","","31","111","0","0","0","101110015","1","10030",""
"10031","","31","111","0","0","0","101110016","1","10031",""
"","","91","111","","","","101110017","","0",""
"10030","","32","111","","","","101110018","","1",""
"0","","91","111","","","","101110019","","0",""
"1001001","","3","111","1","0","","101110020","0","<weapon>_run",""
"1001002","","3","111","1","0","","101110021","0","<weapon>_run",""
"1001003","","3","111","1","0","","101110022","0","<weapon>_run",""
"1001004","","3","111","1","0","","101110023","0","<weapon>_run",""
"1001005","","3","111","1","0","","101110024","0","<weapon>_run",""
"1001001","","2","111","-150","","3","101110025","0","800",""
"1001002","","2","111","-75","","3","101110026","0","700",""
"1001003","","2","111","-180","","3","101110027","0","600",""
"1001004","","2","111","-75","","3","101110028","0","500",""
"1001005","","2","111","-150","","3","101110029","0","400",""
"1001001","","33","111","-150","","3","101110030","0","800",""
"1001002","","33","111","-75","","3","101110031","0","700",""
"1001003","","33","111","-180","","3","101110032","0","600",""
"1001004","","33","111","-75","","3","101110033","0","500",""
