3b54e4cafe2099cca8180ff7f8237f6b05b0889487666b2127ffa9328018e1e0,599b48f5f0f89b069bc1e7a9986b5dff614cb5eb018f4bd88208173b9bc88d5f,48943d337ca0127371ffb72b91f3538725fc51ce379c88ecb780d5a5351725e7,6de8ee51b047e3f8390690e7ef033b3851fc2869a231e344c269ff0cd8d3d53f,6c9cec5d5792603a8766f7053e29e32280c50a4f651591574fd6eef4c19448b2,55c7b058ce1470167bd63137b0004d30d5f8e8b1b1e4392d217dce553124b63d,820dd9064b58bcd0c877fd1f2daf782d1f058bc10dd6a4006660f7a6be37ebc2,d3c4b3ce8bd1861368e03bae419d018c5888bd1c4449d7274c34973821d51de6,1911b6adc04eb1801a0c8b13b5ce315334ba24e0f8875bfb44bf2581b807f477
"3","1","2","2","6","1","2","3","100101"
"2","2","1","1","5","3","1","3","100201"
"3","3","2","1","7","1","3","2","100301"
"3","3","2","2","13","1","2","2","100401"
"1","2","3","2","18","2","2","3","100501"
"2","2","3","1","25","1","2","3","100601"
"2","2","1","2","26","3","3","3","100701"
"1","3","1","2","40","3","3","2","100801"
"3","2","3","1","34","1","3","2","100901"
"2","2","1","1","8","3","1","3","101001"
"2","2","1","3","56","2","2","3","101101"
"3","2","2","3","43","1","2","1","101201"
"1","3","3","1","33","1","2","3","101301"
"1","2","2","1","11","3","1","2","101401"
"2","3","1","1","42","3","1","2","101501"
"1","3","1","3","46","2","2","3","101601"
"1","2","2","3","10","1","2","3","101701"
"1","3","2","1","45","3","1","2","101801"
"3","1","2","2","12","2","1","3","102001"
"2","3","2","1","30","1","1","3","102101"
"2","3","2","3","24","1","1","1","102201"
"3","1","3","2","31","1","2","3","102301"
"1","2","1","3","29","3","1","2","102501"
"2","1","1","2","51","3","1","3","102601"
"3","3","1","2","36","2","3","1","102701"
"1","3","1","2","28","2","1","2","102801"
"2","2","1","2","52","2","1","3","102901"
"1","3","2","1","39","2","2","3","103001"
"3","1","1","2","27","3","3","2","103101"
"3","2","1","2","19","3","2","1","103201"
"3","1","2","1","48","2","2","3","103301"
"2","2","3","2","20","2","1","1","103401"
"1","2","3","2","14","3","3","1","103601"
"1","3","3","2","17","1","3","2","103701"
"2","1","3","1","49","3","3","2","103801"
"2","1","3","3","44","2","1","1","104001"
"1","2","2","2","53","3","3","2","104201"
"3","2","1","3","9","1","3","2","104301"
"3","1","2","1","23","3","3","2","104401"
"2","2","3","1","38","2","1","2","104501"
"2","1","1","3","21","3","2","2","104601"
"1","2","3","3","15","1","3","2","104701"
"2","3","2","3","22","1","3","1","104801"
"3","2","1","2","55","2","1","2","104901"
"1","2","2","3","47","2","1","3","105001"
"1","1","2","3","35","3","3","1","105101"
"2","2","1","2","50","2","2","3","105201"
"3","3","1","2","37","1","3","2","105301"
"2","1","1","3","54","2","2","3","105401"
"3","1","3","1","41","2","1","2","105501"
"2","2","1","3","32","1","3","3","105601"
"2","2","2","2","67","1","1","3","105701"
"2","2","1","2","1","2","2","3","105801"
"2","2","2","1","2","3","1","2","105901"
"1","1","3","3","3","2","3","2","106001"
"3","2","2","2","58","1","2","3","106101"
"3","1","2","2","68","1","1","3","106301"
"2","2","3","2","4","1","1","3","106401"
"1","2","3","2","61","1","3","3","106501"
"1","1","3","2","62","3","2","3","106601"
"1","2","2","1","60","2","3","2","106701"
"1","2","3","2","57","1","1","1","106801"
"2","1","2","1","59","3","3","1","107001"
"2","3","2","2","16","1","3","1","107101"
"2","2","2","1","70","2","1","2","109201"
"2","2","1","3","72","2","2","3","109301"
"1","3","2","3","71","1","3","2","109401"
"2","2","2","3","64","1","1","2","110801"
"1","3","1","2","65","2","2","2","110901"
"1","1","2","1","63","3","3","3","111001"
"2","1","3","3","69","2","2","2","111401"
"1","2","2","3","66","3","2","1","118001"
