30e547b997bfd5bc6a9f2072a19982cfc12f5adedd9d14639bfda0193cd42218,32e2eee6427e47f47d7fe6222d397e3bec4a20c4387544880b8b1ae5cc4cc846,a9c27e36763f772c960544e293a23c84b235e85fbb66daecbb40e485a8fac096,5922f36b9a6b4e82d52dc8e2e65cd5182533e31ffabbc3685657d86d6d3d606a,a74869b38ed6186a9e44ef6b70f2e819bf602d91b75da252158fc1249448d21f,0786917deedc605d3b9bb50d35bd9c9b866eed2329b5b30702fc9ba0375095ad
"10201","5201087","1","1","301","102013011"
"10201","5201081","1","1","402","102014021"
"10201","5201082","101","0","402","102014022"
"10201","5201066","1","1","501","102015011"
"10201","5201067","1","2","501","102015012"
"10201","5201068","1","3","501","102015013"
"10201","5201069","1","4","501","102015014"
"10201","5201070","1","5","501","102015015"
"10201","5201071","1","6","501","102015016"
"10201","5201072","1","7","501","102015017"
"10201","5201073","1","8","501","102015018"
