8fe8ec31d431e9e0ae53d059b7dc9b1cce190f63293187721d4419660564139e,634b96027dbed6f18cf98f40ae5f9b6d74465989cf07e6ca48e73c920d3a027c,d32e5b75d28426268cfa0a32be43aa15910fe45b46b7e0d5f76748483a8fb33d,f0039489196c7978e48c313487f6e09d77f81ab0542991065fe1d8696536e520,b14c3eff44c35814ea0b372edf66ff3f5da367a9beb56e1aafdcb7d841adb69d
"50001","美食殿","1","105801","1"
"50002","トゥインクル\nウィッシュ","2","100101","2"
"50003","サレンディア救護院","7","102801","3"
"50004","王宮騎士団\n（NIGHTMARE）","11","104701","4"
"50005","ラビリンス","15","106801","5"
"50006","カルミナ","3","102901","6"
"50007","悪魔偽王国軍\n（ディアボロス）","5","104401","7"
"50008","牧場\n（エリザベスパーク）","4","103301","8"
"50009","メルクリウス財団","13","103201","9"
"50010","トワイライト\nキャラバン","9","105601","10"
