2705a2f11cac4308b1fa6a5f41fc34e8cb7af6c27fef4664a8824946481fce2b,503b2b1d0a72e2d5d7d3b2d8292a413d4ce65218d3f14393dc14c090c6c92cf7,7d3e17af8e299f524585dd1e706434d400e697d7ad5e8058eee2700045f6b5db,26f1107f3fe9017c93d94723a9cb652bfd31928d8dba7c342e8f1df979c64511,69c82ee25bd62614a815d392c4b5a4b6be46e2d59ce4a4bf54abc1fbb9b63ec4,40ac4222ef4556b0998b21b977f33d0ad8bb5934ba09a522fb7539f0ad2bbb80,3b9eee7dd6e5ab69fb0bc96c08e118392873a45ceb6687d32fed4b282d140853
"0.8","300900","0.8","0","-10","31001","100721"
"0.7","302300","0.7","0","-40","31002","100722"
"0.8","302400","0.8","0","-40","31003","100261"
"0.9","302500","0.9","0","-20","31004","100283"
"0.9","301700","0.9","0","-10","31005","101611"
"0.7","310100","0.7","0","-40","31006","102174"
"0.3","399800","0.3","-80","-60","31007","102751"
"0.9","314901","0.9","-20","20","31008","103001"
"0.7","318405","0.7","30","-110","31009","103232"
"1","320100","1","0","-10","31010","103371"
