10e768d3157caff8911049817cc3a4fec0f032f1880512c6c6defc1c1248fd89,43a11b67ef1c7fec0dba118b702d03e6c1ec67a3c89f75d1925f9ed8635ccfb2,51c3448e8160de2797003fd4ae20e88b4eed591ac95152b9fece54646d59898b,ba78cb117cf126ffc2191f2f9112f036090a389a4c337c39712c5db5f6abb5ad,4965869fbec9d4fca61405540e902a8b85b14195e89e689a1708e3fa38884f9a,5476860a9fbaf08888a8c6709b8b1bcecc8cd91a428c444d4f599a8c74925ffd,d051dea709ea7393551d7f38f7785859b371a841b8ee4a2a4f52d0b876ec926a,a1095fbc16bffabddfdf74ac9d11a2515e61d2afa5b70bce54a00c48a382f313,ed099c808a76cc49c7b59e817fd89cdd4cfab76f64fe6a7f45af510720a7948c,40b6b07d0c60f6b0db5af4a5c2d8d893bb555c79bffbd0e30e6f225dc732dfbb,667da9b69c424093e94e24f7f884097263c996c82d6487934d4ce22cc26e5cdb,37f997da6815ccaa0da1e7df2a3978d6438f0b4d5bb80d16514b79b55aef3d10,55129787d571f5d6c59fd6c88dc1195b26d761a54091fc5a44680e4760d88f86
"いのしし","1","0","0","1","3110001","おおかみ","0","いぬ","0","0","0","ぶた"
"二","1","0","0","1","3110002","一","0","四","0","0","0","三"
"九","1","0","0","1","3110003","十","0","七","0","0","1","八"
"要","1","0","0","1","3110004","花","0","也","0","0","0","亭"
"ぱかぱか","1","0","0","1","3110006","めそめそ","0","もぐもぐ","0","0","0","がつがつ"
"ものがへこむ","1","0","0","1","3110007","犬の鳴き声","0","批判をする","0","0","0","針で縫う"
"十","1","0","0","0","3110009","田","0","口","0","0","1","木"
"だが","1","0","0","1","3110010","しかし","0","よって","0","0","0","それで"
"身長な行動","1","0","0","1","3110011","服を身長する","0","身長が伸びる","0","0","0","身長をはかる"
"鼻血（はなじ）","1","0","0","1","3110012","身近（みじか）","0","自信（じしん）","0","0","0","地面（じめん）"
"ば","1","0","0","1","3110013","ま","0","さ","0","0","0","た"
"金","1","0","0","1","3110015","土","0","火","0","0","0","月"
"ストライク","1","0","0","1","3111001","プリンセス","0","クイーン","0","0","0","ブレイド"
"オール","1","0","0","1","3111002","ヒール","0","エクスプロージョン","0","0","0","アタック"
"G","0","0","1","1","3120001","F","0","J","0","0","0","H"
"めおと","1","0","0","1","3120002","ふうふ","0","ふじん","0","0","0","ふさい"
"礼","1","0","0","1","3120006","無","0","酒","0","0","1","講"
"王","1","0","0","1","3120007","天","0","四","0","0","1","山"
"空","1","0","0","1","3120008","絵","0","想","0","0","1","事"
"トマト","1","0","0","1","3120010","ナス","0","カボチャ","0","0","0","アスパラガス"
"盆","0","0","1","1","3120011","新年","0","夏","0","0","1","春"
"西","1","0","0","1","3120012","瓜","0","南","0","0","0","東"
"豚に真珠","1","0","0","1","3120013","猫に小判","0","鬼に金棒","0","0","1","馬の耳に念仏"
"半","0","0","0","1","3120014","自","0","全","0","0","1","傍"
"る","1","0","1","0","3120015","しい","0","ろす","0","0","1","がる"
"いらっしゃる","0","0","0","1","3120016","存じ上げる","0","なさる","0","0","1","申し上げる"
"クソ猫","1","0","0","1","3121001","ロリババア","0","クソ眼鏡","0","0","0","クソエルフ"
