5cd952b1abfc467cd13b33bc43b4be4a9b2c106bfcf95017c857c60034affd6a,f484d84f0fb19590015273ff0152c7f231b6501a60eb4afd0de01bae026a4c0b,b03fa5ef03464b0c6ac87b222de2a77678d02f7b3fe5dd528042bf1cea84434f,9ba88eb9adf994716f1cf3a241e58ad8ecd3069eb49af98ee0dd599514df5f76,3f32c4a3758f2d93ebe839da2cc60393aeb5f025433d4b0f01d1671466d9c1bb,b13a3b73fe8373a3dddd75746c6a5271c4d954d5ae389077af0a820b310b1f9e,1f19421f1cd8b437d4d41b021e906ddf7991eeee8ff2f3e6d229e728d39d812d,dd5d3f94662fb39d4d1ca438b15137afde23f5c373d2ae125513fa4ed22470c5,a40e97832a8264326179122e0eba18e5d7d5aa442e26ea85397854999404d050,f7efa83da2f488ce67bbe11cba42eaa6d84d3d6561741aaeca0a21a3604a259b,8acc2cc925b8edc9053441046302e298f861445c265bdebf354f0b8f10d1a18a
"se_travel","23","","","111","","","","se_travel_start_1pt","101110001","0"
"10010","31","0","","111","1","","1","10010","101110002","0"
"10011","31","0","","111","1","","1","10011","101110003","0"
"10020","31","0","","111","1","","0","10020","101110004","0"
"2","1","-150","<weapon>_idle","111","-150","0","0.68","1001001","101110005","62"
"2","1","-250","<weapon>_idle","111","-75","0","0.68","1001002","101110006","61"
"2","1","-350","<weapon>_idle","111","-180","0","0.68","1001003","101110007","63"
"2","1","-450","<weapon>_idle","111","-75","0","0.68","1001004","101110008","61"
"2","1","-550","<weapon>_idle","111","-150","0","0.68","1001005","101110009","62"
"10012","31","-150","","111","0.68","0","1","1001001","101110010","-150"
"10012","31","-75","","111","0.68","0","1","1001002","101110011","-250"
"10012","31","-180","","111","0.68","0","1","1001003","101110012","-350"
"10012","31","-75","","111","0.68","0","1","1001004","101110013","-450"
"10012","31","-150","","111","0.68","0","1","1001005","101110014","-550"
"10030","31","0","","111","1","","0","10030","101110015","0"
"10031","31","0","","111","1","","0","10031","101110016","0"
"","91","","","111","","","","0","101110017",""
"10030","32","","","111","","","","1","101110018",""
"0","91","","","111","","","","0","101110019",""
"1001001","3","","","111","0","","0","<weapon>_run","101110020","1"
"1001002","3","","","111","0","","0","<weapon>_run","101110021","1"
"1001003","3","","","111","0","","0","<weapon>_run","101110022","1"
"1001004","3","","","111","0","","0","<weapon>_run","101110023","1"
"1001005","3","","","111","0","","0","<weapon>_run","101110024","1"
"1001001","2","3","","111","0","","","800","101110025","-150"
"1001002","2","3","","111","0","","","700","101110026","-75"
"1001003","2","3","","111","0","","","600","101110027","-180"
"1001004","2","3","","111","0","","","500","101110028","-75"
"1001005","2","3","","111","0","","","400","101110029","-150"
"1001001","33","3","","111","0","","","800","101110030","-150"
"1001002","33","3","","111","0","","","700","101110031","-75"
"1001003","33","3","","111","0","","","600","101110032","-180"
"1001004","33","3","","111","0","","","500","101110033","-75"
"1001005","33","3","","111","0","","","400","101110034","-150"
"10020","32","","","111","","","","1","101110035",""
"2.5","93","","","111","","","","0","101110036",""
"10031","32","","","111","","","","1","101110037",""
"0.4","93","","","111","","","","0","101110038",""
"0","91","","","111","","","","0","101110039",""
"se_travel","23","","","211","","","","se_travel_start_2pt","102110001","0"
"10010","31","0","","211","1","","1","10010","102110002","0"
"10011","31","0","","211","1","","1","10011","102110003","0"
"10020","31","0","","211","1","","0","10020","102110004","0"
"2","1","-100","<weapon>_idle","211","-90","0","0.68","1001001","102110005","62"
"2","1","-170","<weapon>_idle","211","-15","0","0.68","1001002","102110006","61"
"2","1","-240","<weapon>_idle","211","-105","0","0.68","1001003","102110007","63"
"2","1","-310","<weapon>_idle","211","-15","0","0.68","1001004","102110008","61"
"2","1","-380","<weapon>_idle","211","-90","0","0.68","1001005","102110009","62"
"10012","31","-90","","211","0.68","0","1","1001001","102110010","-100"
"10012","31","-15","","211","0.68","0","1","1001002","102110011","-170"
"10012","31","-105","","211","0.68","0","1","1001003","102110012","-240"
"10012","31","-15","","211","0.68","0","1","1001004","102110013","-310"
"10012","31","-90","","211","0.68","0","1","1001005","102110014","-380"
"2","1","-500","<weapon>_idle","211","-240","0","0.68","1002001","102110015","52"
"2","1","-570","<weapon>_idle","211","-165","0","0.68","1002002","102110016","51"
"2","1","-640","<weapon>_idle","211","-255","0","0.68","1002003","102110017","53"
"2","1","-710","<weapon>_idle","211","-165","0","0.68","1002004","102110018","51"
"2","1","-780","<weapon>_idle","211","-240","0","0.68","1002005","102110019","52"
"10012","31","-240","","211","0.68","0","1","1002001","102110020","-500"
"10012","31","-165","","211","0.68","0","1","1002002","102110021","-570"
"10012","31","-255","","211","0.68","0","1","1002003","102110022","-640"
"10012","31","-165","","211","0.68","0","1","1002004","102110023","-710"
"10012","31","-240","","211","0.68","0","1","1002005","102110024","-780"
"10030","31","0","","211","1","","0","10030","102110025","0"
"10031","31","0","","211","1","","0","10031","102110026","0"
"","91","","","211","","","","0","102110027",""
"10030","32","","","211","","","","1","102110028",""
"0","91","","","211","","","","0","102110029",""
"1001001","3","","","211","0","","0","<weapon>_run","102110030","1"
"1001002","3","","","211","0","","0","<weapon>_run","102110031","1"
"1001003","3","","","211","0","","0","<weapon>_run","102110032","1"
"1001004","3","","","211","0","","0","<weapon>_run","102110033","1"
"1001005","3","","","211","0","","0","<weapon>_run","102110034","1"
"1001001","2","3","","211","0","","","850","102110035","-90"
"1001002","2","3","","211","0","","","780","102110036","-15"
"1001003","2","3","","211","0","","","710","102110037","-105"
"1001004","2","3","","211","0","","","640","102110038","-15"
"1001005","2","3","","211","0","","","570","102110039","-90"
"1001001","33","3","","211","0","","","850","102110040","-90"
"1001002","33","3","","211","0","","","780","102110041","-15"
"1001003","33","3","","211","0","","","710","102110042","-105"
"1001004","33","3","","211","0","","","640","102110043","-15"
"1001005","33","3","","211","0","","","570","102110044","-90"
"1002001","3","","","211","0","","0","<weapon>_run","102110045","1"
"1002002","3","","","211","0","","0","<weapon>_run","102110046","1"
"1002003","3","","","211","0","","0","<weapon>_run","102110047","1"
"1002004","3","","","211","0","","0","<weapon>_run","102110048","1"
"1002005","3","","","211","0","","0","<weapon>_run","102110049","1"
"1002001","2","3","","211","0","","","450","102110050","-240"
"1002002","2","3","","211","0","","","380","102110051","-165"
"1002003","2","3","","211","0","","","310","102110052","-255"
"1002004","2","3","","211","0","","","240","102110053","-165"
"1002005","2","3","","211","0","","","170","102110054","-240"
"1002001","33","3","","211","0","","","450","102110055","-240"
"1002002","33","3","","211","0","","","380","102110056","-165"
"1002003","33","3","","211","0","","","310","102110057","-255"
"1002004","33","3","","211","0","","","240","102110058","-165"
"1002005","33","3","","211","0","","","170","102110059","-240"
"10020","32","","","211","","","","1","102110060",""
"2.5","93","","","211","","","","0","102110061",""
"10031","32","","","211","","","","1","102110062",""
"0.4","93","","","211","","","","0","102110063",""
"0","91","","","211","","","","0","102110064",""
"se_travel","23","","","311","","","","se_travel_start_3pt","103110001","0"
"10010","31","0","","311","1","","1","10010","103110002","0"
"10011","31","0","","311","1","","1","10011","103110003","0"
"10020","31","0","","311","1","","0","10020","103110004","0"
"2","1","0","<weapon>_idle","311","-240","0","0.68","1001001","103110005","62"
"2","1","-70","<weapon>_idle","311","-165","0","0.68","1001002","103110006","61"
"2","1","-140","<weapon>_idle","311","-255","0","0.68","1001003","103110007","63"
"2","1","-210","<weapon>_idle","311","-165","0","0.68","1001004","103110008","61"
"2","1","-280","<weapon>_idle","311","-240","0","0.68","1001005","103110009","62"
"10012","31","-240","","311","0.68","0","1","1001001","103110010","0"
"10012","31","-165","","311","0.68","0","1","1001002","103110011","-70"
"10012","31","-255","","311","0.68","0","1","1001003","103110012","-140"
"10012","31","-165","","311","0.68","0","1","1001004","103110013","-210"
"10012","31","-240","","311","0.68","0","1","1001005","103110014","-280"
"2","1","-250","<weapon>_idle","311","-60","0","0.68","1002001","103110015","52"
"2","1","-320","<weapon>_idle","311","15","0","0.68","1002002","103110016","51"
"2","1","-390","<weapon>_idle","311","-75","0","0.68","1002003","103110017","53"
"2","1","-460","<weapon>_idle","311","15","0","0.68","1002004","103110018","51"
"2","1","-530","<weapon>_idle","311","-60","0","0.68","1002005","103110019","52"
"10012","31","-60","","311","0.68","0","1","1002001","103110020","-250"
"10012","31","15","","311","0.68","0","1","1002002","103110021","-320"
"10012","31","-75","","311","0.68","0","1","1002003","103110022","-390"
"10012","31","15","","311","0.68","0","1","1002004","103110023","-460"
"10012","31","-60","","311","0.68","0","1","1002005","103110024","-530"
"2","1","-500","<weapon>_idle","311","-250","0","0.68","1003001","103110025","62"
