104b36fce715e237ac857854c84917a5d3be1bdd82441eb6d5def8fb8642dcba,86c28da166cd4afd21baf6c7264342c13ebf2172fe084769f205e41220450a95,4d25ef91a45e7c78aeb4c8e277f52db82fa923ea8fcdec33caa6bb9a7d858a3d,e654c4f280f28ddc79afe612a03bb795879dddfd8191f06da928835fba66b1cb,7f020184766efce0bb3dacd4b1f92be76ec216fc21ab54cb2ed583040d84314f,66e84379523a05eea979a0a3a12cfcf2a92a4ebddc8a8d732bc08e6cbe841138,d7039f74604e14ab8cb5adeca5d569168ea58b7dcf7c8f686ef9247fbcd8a7dd,782c6bbd7728a8587fcdcec30d4c09be303165ff46019b4c2e2a2346d2b7eb88,32a3e8217a16b91e8b77f6b9205d476fb230a50504167f69aeab84d26886f854
"","21600","1","1","1","","2","23001","2"
"","19800","1","1","2","","2","23001","3"
"","18000","1","1","3","","2","23001","3"
"","16200","1","1","4","","2","23001","3"
"","14400","1","1","5","","2","23001","4"
"","12960","1","1","6","","2","23001","4"
"","11520","1","1","7","","2","23001","5"
"","10080","1","1","8","","2","23001","6"
"","8640","1","1","9","","2","23001","7"
"","7200","1","1","10","","2","23001","8"
"","5760","1","1","11","","2","23001","10"
"","5040","1","1","12","","2","23001","12"
"","4320","1","1","13","","2","23001","14"
"","7200","1","2","14","","2","23001","16"
"","5400","1","2","15","","2","23001","18"
"","5040","1","2","16","","2","23001","18"
"","4800","1","2","17","","2","23001","18"
"","4500","1","2","18","","2","23001","20"
"","4320","1","2","19","","2","23001","20"
"","6000","1","3","20","","2","23001","24"
"","5700","1","3","21","","2","23001","48"
"","5400","1","3","22","","2","23001","48"
"","5220","1","3","23","","2","23001","51"
"","4980","1","3","24","","2","23001","54"
"","4800","1","3","25","","2","23001","54"
"","4500","1","3","26","","2","23001","60"
"","4320","1","3","27","","2","23001","60"
"","4200","1","3","28","","2","23001","63"
"","5400","1","4","29","","2","23001","64"
"","5220","1","4","30","","2","23001","68"
"","5040","1","4","31","","2","23001","72"
"","4920","1","4","32","","2","23001","72"
"","21600","2","20","1","","6","93001","80"
"","21600","2","24","2","","6","93001","96"
"","21600","2","28","3","","6","93001","112"
"","21600","2","30","4","","6","93001","120"
"","21600","2","32","5","","6","93001","128"
"","21600","2","34","6","","6","93001","136"
"","21600","2","36","7","","6","93001","144"
"","21600","2","38","8","","6","93001","152"
"","21600","2","40","9","","6","93001","160"
"","21600","2","42","10","","6","93001","168"
"","21600","2","44","11","","6","93001","176"
"","21600","2","46","12","","6","93001","184"
"","21600","2","48","13","","6","93001","192"
"","21600","2","50","14","","6","93001","200"
"","21600","2","52","15","","6","93001","208"
"","21600","2","54","16","","6","93001","216"
"","21600","2","56","17","","6","93001","224"
"","21600","2","58","18","","6","93001","232"
"","21600","2","60","19","","6","93001","240"
"","21600","2","62","20","","6","93001","248"
"","21600","2","64","21","","6","93001","256"
"","21600","2","66","22","","6","93001","264"
"","21600","2","68","23","","6","93001","272"
"","21600","2","70","24","","6","93001","280"
