ebc2560fe650c2b64352acf24b601eec2da8dd3f76c455fd0e9b7b1e42287177,19d654e6f088951070818f9a1f71acbc8a39f90c52f527f10c9e6bf50fff0586,791d657d38e08c05e8848414ab7b74264149a70a9dea47dce06fbac7468f7e98,caf880fe692f599a45a9e3bd1406b2b108df521f4148a4b294facb6e1bfb1e72,18e805398e46c846063b52b0b020c5eac350fa55163a53d9b37025aee7f230fc
"1","1001","8000000","94002","12"
"2","1001","40","90005","2"
"3","1002","8000000","94002","12"
"4","1002","50","90005","2"
"5","1003","8000000","94002","12"
"6","1003","60","90005","2"
"7","1004","8000000","94002","12"
"8","1004","70","90005","2"
"9","1005","150","91002","8"
"10","1005","8000000","94002","12"
"11","1005","80","90005","2"
"12","1006","8000000","94002","12"
"13","1006","90","90005","2"
"14","1007","300","91002","8"
"15","1007","8000000","94002","12"
"16","1007","100","90005","2"
"17","2001","8000000","94002","12"
"18","2002","8000000","94002","12"
"19","2003","8000000","94002","12"
"20","2004","8000000","94002","12"
"21","2005","8000000","94002","12"
"22","2006","8000000","94002","12"
"23","2007","8000000","94002","12"
"24","2008","8000000","94002","12"
"25","2009","8000000","94002","12"
"26","2010","8000000","94002","12"
"27","7001","8000000","94002","12"
"28","7001","5","90005","2"
"29","7002","8000000","94002","12"
"30","7002","5","90005","2"
"31","7003","8000000","94002","12"
"32","7003","5","90005","2"
"33","7004","8000000","94002","12"
"34","7004","10","90005","2"
"35","7005","8000000","94002","12"
"36","7005","10","90005","2"
"37","7006","8000000","94002","12"
"38","7006","10","90005","2"
"39","7007","8000000","94002","12"
"40","7007","15","90005","2"
"41","7008","8000000","94002","12"
"42","7008","15","90005","2"
"43","7009","8000000","94002","12"
"44","7009","15","90005","2"
"45","7010","8000000","94002","12"
"46","7010","20","90005","2"
"47","7011","8000000","94002","12"
"48","7011","20","90005","2"
"49","7012","8000000","94002","12"
"50","7012","20","90005","2"
"51","7013","8000000","94002","12"
"52","7013","25","90005","2"
"53","7014","8000000","94002","12"
"54","7014","25","90005","2"
"55","7015","8000000","94002","12"
"56","7015","25","90005","2"
"57","7016","8000000","94002","12"
"58","7016","30","90005","2"
"59","7017","8000000","94002","12"
"60","7017","30","90005","2"
"61","7018","8000000","94002","12"
"62","7018","30","90005","2"
"63","7019","8000000","94002","12"
"64","7019","35","90005","2"
"65","7020","8000000","94002","12"
"66","7020","35","90005","2"
"67","7021","8000000","94002","12"
"68","7021","35","90005","2"
"69","7022","8000000","94002","12"
"70","7022","40","90005","2"
"71","8001","8000000","94002","12"
"72","8001","1000","90008","2"
"73","8002","8000000","94002","12"
"74","8002","1250","90008","2"
"75","8003","8000000","94002","12"
"76","8003","1500","90008","2"
"77","8004","8000000","94002","12"
"78","8004","1750","90008","2"
"79","8005","8000000","94002","12"
"80","8005","2000","90008","2"
"81","8006","8000000","94002","12"
"82","8006","2250","90008","2"
"83","8007","8000000","94002","12"
"84","8007","2500","90008","2"
