0933bd5b72ed9fea3e04143f7f827c734adfb36de8b9c0448329cd8ee636356d,d075abb5632542c5c9a462f23718c032a91fe6dd1f8448ab9ff7d461e43c44c2,1203c373b452dd31c39fa76a7c6fb3fd972b3d669a37285e1080c75f7997ae6a,73c5cdef4e83d5518bd9b3af89054799ae809beb27cf13ea1996097c2724a9e0,554af160301f81af1270b509768cfb454aa2208efb60b27fc6623c384a1749a0,f3859d5e6945f6e7f35084968a8d79cbb1cd8ecbeceba3f6b7430fe40e7a292a,cda98b0b30dbd71868726f7052ac74ef3837db242178f40c743e52211a0ccfe3,b32e82edf92ba681543bd53367e0d089327bad4de3484cea7edde4a82d5d9a36,5d04b0cc3f3aae39256b09dddca7ba4f4980bf826148e7f47e39f7a97c67e517,275e51616f2f1023c6d9af7ce3438b9aff04fec667c9f0dcaa9e62fd3433f646,3441dbc8f01c826859b2ba911bc379abae9c4b00ba2fe35fe4b7fb2e011d79ac,6de2f87ce99df5bdd062dbd08704858034bf6c1fef0a269835516e9457209747,f38a11e7e8b1c1b67b055c9d1fcf29360d1ee5d23a2d2d849697e6f3b6ee2554
"1","10010001","0","0","10010484","1","0","0","0","0","0","57","0"
"2","10010099","0","0","10010100","1","0","0","1","0","0","59","10010674"
"11","10010100","0","0","10010101","1","0","0","10001","0","0","58","10010099"
"12","10010101","0","0","10010102","1","0","0","0","0","0","57","10010100"
"2","10010102","0","0","10010103","1","0","0","1","0","0","56","10010101"
"2","10010103","0","0","10010104","1","0","0","2","0","0","55","10010102"
"4","10010104","0","0","10010105","1","0","0","0","0","0","54","10010103"
"3","10010105","0","0","10010106","1","0","0","1","0","0","53","10010104"
"12","10010106","0","0","10010107","1","0","0","0","0","0","52","10010105"
"5","10010107","0","0","10010559","1","0","0","0","0","0","51","10010106"
"2","10010110","0","0","10010111","1","0","0","2","0","0","48","10010560"
"6","10010111","0","0","10010561","1","0","0","0","0","0","47","10010110"
"2","10010113","0","0","10010114","1","0","0","3","0","0","45","10010561"
"11","10010114","0","0","10010562","1","0","0","10001","0","0","44","10010113"
"4","10010116","0","0","10010117","1","0","0","0","0","0","42","10010562"
"6","10010117","0","0","10010118","1","0","0","0","0","0","41","10010116"
"3","10010118","0","0","10010563","1","0","0","3","0","0","40","10010117"
"11","10010119","0","0","10010120","1","0","0","10001","0","0","49","10010559"
"4","10010120","0","0","10010121","1","0","0","0","0","0","48","10010119"
"2","10010121","0","0","10010565","1","0","0","3","0","0","47","10010120"
"2","10010123","0","0","10010566","1","0","0","2","0","0","45","10010565"
"7","10010125","0","0","10010126","1","0","0","10003","0","0","43","10010566"
"4","10010126","0","0","10010127","1","0","0","0","0","0","42","10010125"
"7","10010127","0","0","10010128","1","0","0","10001","0","0","41","10010126"
"2","10010128","0","0","10010563","1","0","0","2","0","0","40","10010127"
"7","10010130","0","0","10010131","1","0","0","10001","0","0","38","10010563"
"6","10010131","0","0","10010132","1","0","0","0","0","0","37","10010130"
"11","10010132","0","0","10010701","1","10010702","0","10001","0","0","36","10010131"
"12","10010153","0","0","10010705","1","0","0","0","0","0","34","10010701"
"14","10010158","0","0","10010161","1","0","0","5","0","0","29","10010708"
"4","10010161","0","0","10010162","1","0","0","0","0","0","28","10010158"
"2","10010162","0","0","10010163","1","0","0","2","0","0","27","10010161"
"3","10010163","0","0","10010164","1","0","0","1","0","0","26","10010162"
"14","10010164","0","0","10010165","1","0","0","3","0","0","25","10010163"
"11","10010165","0","0","10010166","1","0","0","10001","0","0","24","10010164"
"12","10010166","0","0","10010167","1","0","0","0","0","0","23","10010165"
"3","10010167","0","0","10010568","1","0","0","2","0","0","22","10010166"
"7","10010169","0","0","10010570","1","0","0","10002","0","0","20","10010568"
"3","10010173","0","0","10010174","1","0","0","2","0","0","18","10010570"
"7","10010174","0","0","10010175","1","0","0","10001","0","0","17","10010173"
"4","10010175","0","0","10010176","1","0","0","0","0","0","16","10010174"
"2","10010176","0","0","10010177","1","0","0","1","0","0","15","10010175"
"2","10010177","0","0","10010178","1","0","0","2","0","0","14","10010176"
"3","10010178","0","0","10010179","1","0","0","2","0","0","13","10010177"
"12","10010179","0","0","10010180","1","0","0","0","0","0","12","10010178"
"6","10010180","0","0","10010181","1","0","0","0","0","0","11","10010179"
"4","10010181","0","0","10010182","1","0","0","0","0","0","10","10010180"
"2","10010182","0","0","10010183","1","0","0","2","0","0","9","10010181"
"2","10010183","0","0","10010184","1","0","0","3","0","0","8","10010182"
"14","10010184","0","0","10010555","1","0","0","3","0","0","7","10010183"
"14","10010186","0","0","10010187","1","0","0","1","0","0","3","10010558"
"3","10010187","0","0","10010188","1","0","0","3","0","0","2","10010186"
"2","10010188","0","0","10010189","1","0","0","2","0","0","1","10010187"
"13","10010189","0","0","10010190","1","0","0","0","0","0","0","10010188"
"12","10010190","0","0","10010191","1","0","0","0","0","0","60","10010189"
"6","10010191","0","0","10010192","1","0","0","0","0","0","59","10010190"
"3","10010192","0","0","10010193","1","0","0","1","0","0","58","10010191"
"7","10010193","0","0","10010194","1","0","0","10001","0","0","57","10010192"
"5","10010194","0","0","10010195","1","0","0","0","0","0","56","10010193"
"3","10010195","0","0","10010196","1","0","0","2","0","0","55","10010194"
"11","10010196","0","0","10010197","1","0","0","10001","0","0","54","10010195"
"4","10010197","0","0","10010198","1","0","0","0","0","0","53","10010196"
"2","10010198","0","0","10010199","1","0","0","1","0","0","52","10010197"
