ce451eee693f35f59ddd7afa8d70ec1e927e0b7f82508d8f9c66906fb2092937,07f3b26ddce836601011c0d66b3f1135c441ac2049dac97ab83d24a5f3a9f956,d4c6b7e126a1051cfd5fd494310226a02e084931b6d4e34c6c6088715e14c93f,5828d9599e4786b41c22c2c0df19e70f0d015308f4476d5d1526f9b4539a69a8,ded8eed03455171b93cb966b85228ef094edec230cfe6a00a51ac64319e4512b,23f4997cab258669a12c4b2af968848392b2de270ac944a6c23a1f85f96034b3,0b72cc96f51712f569a709d0d6e550f634538d06da0643b4aff854c3a950f25d,5b487812552a1eb330bb15e8772fa0e15bdf941f8bc337db1e5f08cfc84dd965,a79c95fa27b4b9593e26d5f384cd9cc25b3094a889b19f393a099a387537295f,8a445eab660f863d3cd67b468e337212b67ee1045aaa8c2ecae7047efa9ad3f6,5a2b6e3a5a8a54de405be48032094208bfb150455a4f29080404d5e713d30c55
"1","0","1","0","empty","1","5","53","10101","1101010001","0"
"1","0","101000","0","empty","2","5","56","10101","1101010002","0"
"1","0","101000","0","empty","3","5","70","10101","1101010003","0"
"0","0","101000","","","0","31","0","10101","1101010004","1"
"0","0","101001","","","1","31","0","10101","1101010005","1"
"0","0","101002","","","2","31","0","10101","1101010006","1"
"0","0","101003","","","3","31","0","10101","1101010007","1"
"0","0","101004","","","4","31","0","10101","1101010008","1"
"0","0","1","","","10","31","0","10101","1101010009","1"
"0","0","3","","","30","31","0","10101","1101010010","1"
"","","0","","","0","91","","10101","1101010011",""
"","","0","","","1","32","","10101","1101010012",""
"","","10","","","1","32","","10101","1101010013",""
"0","","2","","","getDish_1_in","3","0","10101","1101010014",""
"","","0.2","","","0","93","","10101","1101010015",""
"0","","1","","","getDish","3","0","10101","1101010016",""
"0","","2","","","getDish_1_B","3","0","10101","1101010017",""
"0","","3","","","getDish_1_F","3","0","10101","1101010018",""
"","","1","","","1","32","","10101","1101010019",""
"","","3","","","1","32","","10101","1101010020",""
"","","7.2","","","0","93","","10101","1101010021",""
"","","1101010023","","","1","101","","10101","1101010022",""
"","","2","","","1","35","","10101","1101010023",""
"","","2","","","1","32","","10101","1101010024",""
"","","4","","","1","35","","10101","1101010025",""
"","","4","","","1","32","","10101","1101010026",""
"","","3","","","0","32","","10101","1101010027",""
"","","2.3","","","0","93","","10101","1101010028",""
"","","30","","","1","35","","10101","1101010029",""
"","","30","","","1","32","","10101","1101010030",""
"","","0.2","","","0","93","","10101","1101010031",""
"0","1","1","0","","1","6","1","10101","1101010032","0"
"0","1","2","0","","1","6","1","10101","1101010033","0"
"0","1","3","0","","1","6","1","10101","1101010034","0"
"","","0","","","0","32","","10101","1101010035",""
"","","1","","","0","32","","10101","1101010036",""
"","","2","","","0","32","","10101","1101010037",""
"","","3","","","0","32","","10101","1101010038",""
"","","4","","","0","32","","10101","1101010039",""
"","","10","","","0","32","","10101","1101010040",""
"","","0.3","","","0","93","","10101","1101010041",""
"0.1","1","1","0","","1","111","1","10101","1101010042","0"
"0.9","-205","2","0","empty","1","5","50","10201","1102010001","-325"
"0.9","-205","102000","0","empty","2","5","58","10201","1102010002","-325"
"0.6","1500","100","0","idle_single","100","5","54","10201","1102010003","-263"
"0","0","102000","","","0","31","0","10201","1102010004","1"
"0","-263","102001","","","1","31","1500","10201","1102010005","1"
"0","0","102002","","","2","31","0","10201","1102010006","1"
"0","-136","102003","","","3","31","-132","10201","1102010007","1"
"0","0","102004","","","4","31","0","10201","1102010008","1"
"0","0","1","","","10","31","0","10201","1102010009","1"
"0","0","2","","","20","31","0","10201","1102010010","1"
"0","0","3","","","30","31","0","10201","1102010011","1"
"","","0","","","0","91","","10201","1102010012",""
"","","0","","","1","32","","10201","1102010013",""
"","","10","","","1","32","","10201","1102010014",""
"","","se_caravan","","","se_caravan_dice_get_intro","23","0","10201","1102010015",""
"0","","1","","","getDice_idle","3","1","10201","1102010016",""
"0","eat_loop","100","0","","run_getDice","3","0","10201","1102010017","1"
"","","1","","","1","32","","10201","1102010018",""
"","2","100","","","344","2","-263","10201","1102010019","11"
"","2","1","","","344","33","-263","10201","1102010020","11"
"","","2","","","1","32","","10201","1102010021",""
"","","1.7","","","0","93","","10201","1102010022",""
"0.2","","1","0","","getDice_curious","3","1","10201","1102010023",""
"","0","vo_caravan","","","vo_caravan_event_002_000","21","0","10201","1102010024",""
"","","1.5","","","0","93","","10201","1102010025",""
"","","se_caravan","","","se_caravan_dice_get_outro_1","23","0","10201","1102010026",""
"","0.1","vo_caravan","","","vo_caravan_event_002_001","21","0","10201","1102010027",""
"0.1","","100","","","spit_in","3","0","10201","1102010028",""
"0","","2","","","getDice_1","3","0","10201","1102010029",""
"0.1","","1","","","getDice_panic_1","3","0","10201","1102010030",""
"","","0.5","","","0","93","","10201","1102010031",""
"0","idle_single","100","0","","spit_out","3","0","10201","1102010032","1"
"","","1.4","","","0","93","","10201","1102010033",""
"0.2","idle_single","100","0","","joy_single","3","0","10201","1102010034","1"
"","","0.1","","","0","93","","10201","1102010035",""
"","","3","","","1","32","","10201","1102010036",""
"","","0.5","","","0","93","","10201","1102010037",""
