542956fb1202f86292abf8bd3a45473b00dfe5dcfaf8ce1d4912a1e483c26e92,15ab128832a826294bdd74cefe2a0dae6b502c8f4d8ef9d31f8d2fe893331c7c,b032ae6f880940de2205f36782950c4616d7d2b3d83d45661cc033f2b17ed7fd,7761172c4f8f6206b72c304c46d7b995c4535cf270622a5ad1befe425fd1f68f,39c3365dc5d2de3a8d72d2d591f7f8b2b1123f5890595398c9b9fe657e89f903,be0ec74603175de4fa41a007ebf3ab9353e28168d1ee571be51ea51a1b0d53eb,86d42b9c2aad1b23ced4c111f77e3a1bc69a43e938e7bc53c1a4c32e684f8f77,a5923585095f5487b08eb5f495e8ff3946733f3606255cea055036b95f4b604b,012815ba62a67f309ffdaecbc73b7ea901ab6269ac0248e9cd6808e98edccddf,032cf0379339ff0cc499e0a2dcbb241702d30bd1bf3b84a9100636bfd3c40812,e50f9f9a9d3cf7d45b9c2f478eb00fe7670136ae31ad9d6f8e10bca52af73596
"1.7","1002011","100","0","0","100211","1","0","1","1002011001","mhp_sit_idle"
"0.2","1002011","1","","","mhp_sit_talk_memory","3","","100211","1002011002",""
"","1002011","0","","0","vo_mhp_0401","21","","vo_mhp","1002011003",""
"0","1002011","6","0","0","ミツキさんと会うの\n久しぶりだな\nちょっと楽しみ♪","11","0","100211","1002011004","0"
"","1002011","","","","","91","","0","1002011005",""
"0.2","1002011","1","","","mhp_sit_idle_memory","3","","100211","1002011006",""
"1.7","1002012","100","0","0","100211","1","0","1","1002012001","mhp_sit_idle"
"0.2","1002012","1","","","mhp_sit_talk_sad","3","","100211","1002012002",""
"","1002012","0","","0","vo_mhp_0402","21","","vo_mhp","1002012003",""
"0","1002012","5","0","0","はぁ…なにか悪い\n病気だったら\nどうしよう…","11","0","100211","1002012004","0"
"","1002012","","","","","91","","0","1002012005",""
"0.2","1002012","1","","","mhp_sit_idle_sad","3","","100211","1002012006",""
"1.7","1002013","100","0","0","100211","1","0","1","1002013001","mhp_sit_idle"
"0.2","1002013","1","","","mhp_yui_sit_talk_wish","3","","100211","1002013002",""
"","1002013","0","","0","vo_mhp_0403","21","","vo_mhp","1002013003",""
"0","1002013","4","0","0","ついに診察結果が…\nド、ドキドキ\nしてきちゃった…！","11","0","100211","1002013004","0"
"","1002013","","","","","91","","0","1002013005",""
"0.2","1002013","1","","","mhp_sit_idle_sad","3","","100211","1002013006",""
"1.7","1007401","100","-240","-1000","100211","1","0","1","1007401001","mhp_idle_normal"
"1.7","1007401","100","-220","185","117531","1","1","1","1007401002","mhp_sit_idle"
"1.7","1007401","100","-200","365","117631","1","1","1","1007401003","mhp_sit_idle"
"1","1007401","-240","0.85","-154","1","31","","1","1007401004",""
"0","1007401","-230","0.85","-18","123","31","","23","1007401005",""
"1.7","1007401","110","-220","-200","11","5","0","1","1007401006","NoItem"
"1.7","1007401","105","-220","-200","12","5","0","1","1007401007","NoItem"
"1.7","1007401","110","-220","185","21","5","1","1","1007401008","NoItem"
"1.7","1007401","105","-220","185","22","5","1","1","1007401009","NoItem"
"0","1007401","1","0","1","1","6","0","11","1007401010",""
"0","1007401","1","0","1","1","6","0","12","1007401011",""
"0","1007401","1","0","1","1","6","0","21","1007401012",""
"0","1007401","1","0","1","1","6","0","22","1007401013",""
"1.7","1007401","110","-220","-1000","31","5","0","1","1007401014","NoItem"
"","1007401","","","","","91","","0","1007401015",""
"0.2","1007401","1","","","mhp_sit_talk_normal","3","","117531","1007401016",""
"","1007401","0","","0","vo_mhp_4001","21","","vo_mhp_1007401","1007401017",""
"0","1007401","8","0","0","次の方どうぞー","11","0","117531","1007401018","0.5"
"","1007401","","","","","91","","0","1007401019",""
"0.2","1007401","1","","","mhp_sit_idle","3","","117531","1007401020",""
"0.2","1007401","1","","","mhp_anna_walk_sad","3","","100211","1007401021",""
"","1007401","-220","0","4","-200","2","","100211","1007401022",""
"0.2","1007401","1","","","NoItem","3","","31","1007401023",""
"","1007401","-220","0","4","-200","2","","31","1007401024",""
"","1007401","","","","","91","","0","1007401025",""
"0.2","1007401","0","1","mhp_sit_idle_sad","mhp_sit_in_sad","3","0.2","100211","1007401026",""
"","1007401","","","","","93","","1","1007401027",""
"0.2","1007401","1","","","mhp_sit_talk_sad","3","","100211","1007401028",""
"","1007401","0","","0","vo_mhp_4002","21","","vo_mhp_1007401","1007401029",""
"0","1007401","7","0","1","え、ええっと……ご無沙汰してます。","11","0","100211","1007401030","0.5"
"","1007401","","","","","91","","0","1007401031",""
"0.2","1007401","1","","","mhp_sit_idle_sad","3","","100211","1007401032",""
"0.2","1007401","1","","","mhp_sit_talk_normal","3","","117531","1007401033",""
"","1007401","0","","0","vo_mhp_4003","21","","vo_mhp_1007401","1007401034",""
"0","1007401","6","0","1","久しぶりねユイちゃん。\n前にみんなでオーエド町に\n来た時以来ね。","11","0","117531","1007401035","0.5"
"","1007401","","","","","91","","0","1007401036",""
"0.2","1007401","1","","","mhp_sit_idle","3","","117531","1007401037",""
"0.2","1007401","1","","","mhp_sit_talk_memory","3","","100211","1007401038",""
"0","1007401","1","","","mhp_yui_sit_talk_memory","3","","31","1007401039",""
"","1007401","0","","0","vo_mhp_4004","21","","vo_mhp_1007401","1007401040",""
"0","1007401","4","0","1","そうですね。あの時は大変でしたけど\n楽しかったなぁ\n温泉とかまた行きたい――\nおん、せん……あ、ああ……","11","0","100211","1007401041","1.5"
"","1007401","","","","1","93","","14","1007401042",""
"0.2","1007401","1","","","mhp_yui_hot","3","","100211","1007401043",""
"0.2","1007401","1","","","mhp_yui_hot","3","","31","1007401044",""
"","1007401","","","","1","32","","123","1007401045",""
"","1007401","","","","se_10031400_love","23","","se_10031400","1007401046",""
"","1007401","","","","","91","","1007401041","1007401047",""
"","1007401","","","","0","93","","3","1007401048",""
"0.2","1007401","1","","","mhp_sit_talk_worry","3","","117531","1007401049",""
"","1007401","0","","0","vo_mhp_4005","21","","vo_mhp_1007401","1007401050",""
"0","1007401","7","0","1","どうしたの？　顔が真っ赤よ？","11","0","117531","1007401051","0.5"
"","1007401","","","","","91","","0","1007401052",""
"","1007401","","","","0","32","","123","1007401053",""
"0.2","1007401","1","","","mhp_sit_idle","3","","117531","1007401054",""
"0.2","1007401","1","","","mhp_yui_sit_talk_worry","3","","100211","1007401055",""
"0.2","1007401","1","","","NoItem","3","","31","1007401056",""
"","1007401","0","","0","vo_mhp_4006","21","","vo_mhp_1007401","1007401057",""
"0","1007401","5","0","1","そ、それが、ここのところ急に\n顔が火照ってしまうんです……\nこれって、何かの病気なんでしょうか？","11","0","100211","1007401058","0.5"
"","1007401","","","","","91","","0","1007401059",""
"0.2","1007401","1","0","","mhp_yui_sit_idle_sad","3","","100211","1007401060",""
"0.2","1007401","1","0","","mhp_sit_talk_thinking","3","","117531","1007401061",""
"","1007401","0","","0","vo_mhp_4007","21","","vo_mhp_1007401","1007401062",""
"0","1007401","5","0","1","今すぐ断定はできないわ\nでも、もしかしたら大きな病気\nそれも不治の病かもしれないわね。","11","0","117531","1007401063","0.5"
"","1007401","","","","","91","","0","1007401064",""
"0.2","1007401","1","","","mhp_sit_idle_thinking","3","","117531","1007401065",""
"0.2","1007401","1","","","mhp_yui_sit_talk_sad","3","","100211","1007401066",""
"","1007401","0","","0","vo_mhp_4008","21","","vo_mhp_1007401","1007401067",""
"0","1007401","8","0","1","そんな……","11","0","100211","1007401068","0.5"
"","1007401","","","","","91","","0","1007401069",""
"0.2","1007401","1","","","mhp_yui_sit_idle_sad","3","","100211","1007401070",""
"0.2","1007401","1","","","mhp_sit_talk_normal","3","","117531","1007401071",""
"","1007401","0","","0","vo_mhp_4009","21","","vo_mhp_1007401","1007401072",""
"0","1007401","6","0","1","普通なら命にかかわることはないけど\nこじらせると大変なことになるわ\nだから今日のところはひとまず――","11","0","117531","1007401073","0.5"
"","1007401","","","","","91","","0","1007401074",""
"","1007401","","","","0","22","","0","1007401075",""
"","1007401","0","","","1007401079","103","","冷たいタオルをおでこに当てなさい。","1007401076",""
"","1007401","0","","","1007401125","103","","何も考えずゆっくり休みなさい。","1007401077",""
"","1007401","0","","","1007401142","103","","特製のカンポーを出しておくわ。","1007401078",""
"0.2","1007401","0","1","mhp_idle_normal","mhp_sit_out","3","0","117531","1007401079",""
"","1007401","","","","0","93","","0.6","1007401080",""
"0.2","1007401","0","1","mhp_idle_normal","mhp_sit_out","3","0","100211","1007401081",""
"","1007401","","","","0","93","","0.2","1007401082",""
"0.2","1007401","1","0","","mhp_walk","3","","100211","1007401083",""
"","1007401","-220","0","1.5","35","2","","100211","1007401084",""
"","1007401","-220","0","1.5","35","2","","31","1007401085",""
"","1007401","-220","0","1.5","35","2","","11","1007401086",""
"","1007401","-220","0","1.5","35","2","","12","1007401087",""
"","1007401","","","","0","93","","0.3","1007401088",""
"0.2","1007401","0","1","mhp_handover_loop","mhp_handover_in","3","0","117531","1007401089",""
"0","1007401","1","1","1","1","6","0","21","1007401090",""
"0","1007401","1","1","1","1","6","0","22","1007401091",""
"0.2","1007401","0","1","mhp_handover_loop","mhp_handover_in","3","0","21","1007401092",""
"0.2","1007401","0","1","mhp_item_EX0015_handover_loop","mhp_item_EX0015_handover_in","3","0","22","1007401093",""
"","1007401","","","","0","93","","1.2","1007401094",""
"0.2","1007401","0","1","mhp_handover_receive_loop","mhp_handover_receive_in","3","0","100211","1007401095",""
"0","1007401","1","1","1","1","6","0","11","1007401096",""
"0","1007401","1","1","1","1","6","0","12","1007401097",""
"0.2","1007401","0","1","mhp_receive_yui_loop","mhp_receive_yui_in","3","0","11","1007401098",""
"0.2","1007401","0","1","mhp_item_EX0015_receive_loop","mhp_item_EX0015_receive_in","3","0","12","1007401099",""
"","1007401","","","","0","93","","0.6","1007401100",""
"0.4","1007401","1","1","1","1","6","0","22","1007401101",""
"","1007401","","","","0","93","","0.4","1007401102",""
"0.2","1007401","0","1","mhp_idle_normal","mhp_handover_out","3","0","117531","1007401103",""
"0.2","1007401","0","1","NoItem_idle","mhp_handover_out","3","0","21","1007401104",""
"0.2","1007401","0","1","NoItem_idle","mhp_item_EX0015_handover_out","3","0","22","1007401105",""
"","1007401","","","","0","93","","0.4","1007401106",""
"0.2","1007401","0","1","mhp_idle_normal","mhp_handover_receive_out","3","0","100211","1007401107",""
"0.2","1007401","0","1","NoItem_idle","mhp_receive_yui_out","3","0","11","1007401108",""
"0.2","1007401","0","1","NoItem_idle","mhp_item_EX0015_receive_out","3","0","12","1007401109",""
"","1007401","","","","0","93","","2","1007401110",""
"0.2","1007401","1","","","mhp_talk_worry","3","","100211","1007401111",""
"","1007401","0","","0","vo_mhp_4010","21","","vo_mhp_1007401","1007401112",""
"0","1007401","7","0","1","こ、これで治るんですか？","11","0","100211","1007401113","0.5"
"","1007401","","","","","91","","0","1007401114",""
"0.2","1007401","1","","","mhp_idle_worry","3","","100211","1007401115",""
"0.2","1007401","1","","","mhp_talk_normal","3","","117531","1007401116",""
"","1007401","0","","0","vo_mhp_4011","21","","vo_mhp_1007401","1007401117",""
"0","1007401","5","0","1","いいえ、単なる対処療法よ\nでも今はそれで十分\nまた何かあったら訪ねてきなさい。","11","0","117531","1007401118","0.5"
"","1007401","","","","","91","","0","1007401119",""
"","1007401","","","","0","22","","0","1007401120",""
"0.2","1007401","0","1","mhp_sit_idle","mhp_sit_in","3","0.2","117531","1007401121",""
"0.2","1007401","0","","","mhp_yui_pekori","3","","100211","1007401122",""
"","1007401","","","","","91","","0","1007401123",""
"","1007401","","","","","101","","1007401186","1007401124",""
"0.2","1007401","1","","","mhp_sit_idle","3","","117531","1007401125",""
"0.2","1007401","1","","","mhp_sit_talk_worry","3","","100211","1007401126",""
"","1007401","0","","0","vo_mhp_4012","21","","vo_mhp_1007401","1007401127",""
"0","1007401","8","0","1","あの、お薬とかは……","11","0","100211","1007401128","0.5"
"","1007401","","","","","91","","0","1007401129",""
"0.2","1007401","1","","","mhp_sit_idle_sad","3","","100211","1007401130",""
"0.2","1007401","1","","","mhp_sit_talk_thinking","3","","117531","1007401131",""
"","1007401","0","","0","vo_mhp_4013","21","","vo_mhp_1007401","1007401132",""
"0","1007401","5","0","1","必要ないわ。色々考えすぎるのが\nよくないの、だから心穏やかに\n過ごすのが一番よ。","11","0","117531","1007401133","0.5"
"","1007401","","","","","91","","0","1007401134",""
"","1007401","","","","0","22","","0","1007401135",""
"0.2","1007401","1","","","mhp_sit_idle","3","","117531","1007401136",""
"0.2","1007401","0","","","mhp_yui_sit_pekori","3","","100211","1007401137",""
"","1007401","","","","","91","","0","1007401138",""
"0.2","1007401","0","","","mhp_sit_out","3","","100211","1007401139",""
"","1007401","","","","","91","","0","1007401140",""
"","1007401","","","","","101","","1007401186","1007401141",""
"0.2","1007401","0","1","mhp_idle_normal","mhp_sit_out","3","0","117531","1007401142",""
"","1007401","","","","0","93","","0.6","1007401143",""
"0.2","1007401","0","1","mhp_idle_normal","mhp_sit_out","3","0","100211","1007401144",""
"","1007401","","","","0","93","","0.2","1007401145",""
"0.2","1007401","1","0","","mhp_walk","3","","100211","1007401146",""
"","1007401","-220","0","1.5","35","2","","100211","1007401147",""
"","1007401","-220","0","1.5","35","2","","31","1007401148",""
"","1007401","-220","0","1.5","35","2","","11","1007401149",""
"","1007401","-220","0","1.5","35","2","","12","1007401150",""
"","1007401","","","","0","93","","0.3","1007401151",""
"0.2","1007401","0","1","mhp_handover_loop","mhp_handover_in","3","0","117531","1007401152",""
"0","1007401","1","1","1","1","6","0","21","1007401153",""
"0","1007401","1","1","1","1","6","0","22","1007401154",""
"0.2","1007401","0","1","mhp_handover_loop","mhp_handover_in","3","0","21","1007401155",""
"0.2","1007401","0","1","mhp_item_EX0007_handover_loop","mhp_item_EX0007_handover_in","3","0","22","1007401156",""
"","1007401","","","","0","93","","1.2","1007401157",""
"0.2","1007401","0","1","mhp_handover_receive_loop","mhp_handover_receive_in","3","0","100211","1007401158",""
"0","1007401","1","1","1","1","6","0","11","1007401159",""
"0","1007401","1","1","1","1","6","0","12","1007401160",""
"0.2","1007401","0","1","mhp_receive_yui_loop","mhp_receive_yui_in","3","0","11","1007401161",""
"0.2","1007401","0","1","mhp_item_EX0007_receive_loop","mhp_item_EX0007_receive_in","3","0","12","1007401162",""
"","1007401","","","","0","93","","0.6","1007401163",""
"0.4","1007401","1","1","1","1","6","0","22","1007401164",""
"","1007401","","","","0","93","","0.4","1007401165",""
"0.2","1007401","0","1","mhp_idle_normal","mhp_handover_out","3","0","117531","1007401166",""
"0.2","1007401","0","1","NoItem_idle","mhp_handover_out","3","0","21","1007401167",""
"0.2","1007401","0","1","NoItem_idle","mhp_item_EX0007_handover_out","3","0","22","1007401168",""
"","1007401","","","","0","93","","0.4","1007401169",""
"0.2","1007401","0","1","mhp_idle_normal","mhp_handover_receive_out","3","0","100211","1007401170",""
"0.2","1007401","0","1","NoItem_idle","mhp_receive_yui_out","3","0","11","1007401171",""
"0.2","1007401","0","1","NoItem_idle","mhp_item_EX0007_receive_out","3","0","12","1007401172",""
"","1007401","","","","0","93","","2","1007401173",""
"0.2","1007401","1","","","mhp_talk_wish","3","","100211","1007401174",""
"","1007401","0","","0","vo_mhp_4014","21","","vo_mhp_1007401","1007401175",""
"0","1007401","5","0","1","カンポー……なんだかよく効きそう……\nありがとうございます、ミツキさん","11","0","100211","1007401176","0.5"
"","1007401","","","","","91","","0","1007401177",""
"0.2","1007401","1","","","mhp_idle_wish","3","","100211","1007401178",""
"0.2","1007401","1","","","mhp_talk_thinking","3","","117531","1007401179",""
"","1007401","0","","0","vo_mhp_4015","21","","vo_mhp_1007401","1007401180",""
"0","1007401","7","0","1","（まあ、滋養強壮のカンポーだから\n全然関係ないんだけどね）","11","0","117531","1007401181","0.5"
"","1007401","","","","","91","","0","1007401182",""
"","1007401","","","","0","22","","0","1007401183",""
"0.2","1007401","0","1","mhp_sit_idle","mhp_sit_in","3","0.2","117531","1007401184",""
"0.2","1007401","0","","","mhp_yui_pekori","3","","100211","1007401185",""
"","1007401","","","","","91","","0","1007401186",""
"0.2","1007401","1","","","mhp_walk","3","","100211","1007401187",""
"","1007401","","","","1","4","","100211","1007401188",""
"","1007401","-220","0","5","-1000","2","","100211","1007401189",""
"","1007401","","","","0","93","","4","1007401190",""
"0.2","1007401","1","","","mhp_sit_talk_worry","3","","117631","1007401191",""
"","1007401","0","","0","vo_mhp_4016","21","","vo_mhp_1007401","1007401192",""
"0","1007401","5","0","1","先生、あの人って本当に病気なの？","11","0","117631","1007401193","0.5"
"","1007401","","","","","91","","0","1007401194",""
"0.2","1007401","1","","","mhp_sit_idle","3","","117631","1007401195",""
"0.2","1007401","1","","","mhp_sit_talk_thinking","3","","117531","1007401196",""
"","1007401","0","","0","vo_mhp_4017","21","","vo_mhp_1007401","1007401197",""
"","1007401","4","0","1","ええ、かなりの重病よ\nこれはしっかりと診てあげないとね\nふふ、若い子っていいわね♪","11","0","117531","1007401198","0.5"
"","1007401","","","","","91","","0","1007401199",""
"","1007401","","","","0.5","22","","0","1007401200",""
"","1007401","","","","","91","","0","1007401201",""
"1.7","1007402","100","-240","-1000","100211","1","0","1","1007402001","mhp_idle_normal"
"1.7","1007402","100","-220","185","117531","1","1","1","1007402002","mhp_sit_idle"
"1.7","1007402","100","-200","365","117631","1","1","1","1007402003","mhp_sit_idle"
"1","1007402","-240","0.85","-154","1","31","","1","1007402004",""
"1.7","1007402","110","-220","-200","11","5","0","1","1007402005","NoItem"
"1.7","1007402","105","-220","-200","12","5","0","1","1007402006","NoItem"
"1.7","1007402","110","-220","185","21","5","1","1","1007402007","NoItem"
"1.7","1007402","105","-220","185","22","5","1","1","1007402008","NoItem"
"0","1007402","1","0","1","1","6","0","11","1007402009",""
"0","1007402","1","0","1","1","6","0","12","1007402010",""
"0","1007402","1","0","1","1","6","0","21","1007402011",""
"0","1007402","1","0","1","1","6","0","22","1007402012",""
"1.7","1007402","110","-220","-1000","31","5","0","1","1007402013","NoItem"
"","1007402","","","","","91","","0","1007402014",""
"0.2","1007402","1","","","mhp_sit_talk_normal","3","","117531","1007402015",""
"","1007402","0","","0","vo_mhp_4101","21","","vo_mhp_1007402","1007402016",""
"0","1007402","8","0","0","ユイちゃん、どうぞー","11","0","117531","1007402017","0.5"
"","1007402","","","","","91","","0","1007402018",""
"0.2","1007402","1","","","mhp_sit_idle","3","","117531","1007402019",""
"0.2","1007402","1","","","mhp_yui_walk_sad2","3","","100211","1007402020",""
"","1007402","-220","0","4","-200","2","","100211","1007402021",""
"","1007402","","","","","91","","0","1007402022",""
"0.2","1007402","0","1","mhp_yui_sit_idle_sad","mhp_yui_sit_in_sad","3","0.2","100211","1007402023",""
"","1007402","","","","0","93","","1","1007402024",""
"0.2","1007402","1","","","mhp_sit_talk_normal","3","","117531","1007402025",""
