b4f0a491c72b21231648fb0559e91a3f0a0f5ded13214d0d7c5ef642dc0a0ddc,4bffcbe0ca9e396e03079cb6e856f5ccaa1fe6b9ecda1d0311e737030a563677,d4adc5eb606c71cf930af2e25f6a414bbbb3320251793f77463a40dcf5dc51da,154d4dcc48a3848e91383f5cf2dff58a05ef160956a17e7fd9c760de2034ac9a,e35a86b74d0875803899e89e3ff8b7bc1069ccd1e67b6320a52eb25fb9637292,8c15e5a3549f8937f7f8f2092f1b6e368d779946fd0fddedbbbf384853c6ad63,975a938263539e3f705d5307980a992fcd473af863724e53934bbe06ced03308,76933fee6b24de4397ff1784448035a3d3023ed0d22dbf88f8bd835062512a3c,885774e98da630c1e7faf9668e8dc8a9abb3dd0483a302fc93fb80c41b33b761,f1d95b6d116acbb77350abba597402aee4b730ad9a550adfd4f92204cf8d5bc5,f06d8c85b7423b288a3fb5852c2b797ba46088a75d9d421ba8d71398e67dfd3e,58a8e11b303d74c1f2b145056f9f111830a76591b9928ac84d6565c05f594902,8be078af7c28ba3252638b86c77e2531864b460f8662c4ec11f12ba0a01a29fe,e2e33ef73a343a823d08302b7ed3dca5332a91b9a5edb0f45923811afb3f4914,816e82974c21eb40a063f2fde3e87aeb5ce6f9f5c04977c9909aae7e88f80376,daf09797eed53f0aefa41a74a63168a240f83df1422a8a09e4bbb62b3048484f,c83136ee8af85dcdb8fc35a223c14aa37171feec4f644be787a20b889f512ddd,2467307822c89ed6c86e221b2f8002c6b55759f89679c07253f3f673cb8f0864
"1","1","10","8","91002","500","0","0","0","0","0","0","0","0","0","0","0","0"
"2","11","100","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"3","101","200","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"4","201","500","8","91002","10","0","0","0","0","0","0","0","0","0","0","0","0"
"5","501","1000","8","91002","5","0","0","0","0","0","0","0","0","0","0","0","0"
"6","1001","2000","8","91002","3","0","0","0","0","0","0","0","0","0","0","0","0"
"7","2001","4000","8","91002","2","0","0","0","0","0","0","0","0","0","0","0","0"
"8","4001","7999","8","91002","1","0","0","0","0","0","0","0","0","0","0","0","0"
"9","8000","8000","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"10","8100","8100","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"11","8200","8200","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"12","8300","8300","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"13","8400","8400","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"14","8500","8500","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"15","8600","8600","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"16","8700","8700","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"17","8800","8800","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"18","8900","8900","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"19","9000","9000","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"20","9100","9100","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"21","9200","9200","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"22","9300","9300","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"23","9400","9400","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"24","9500","9500","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"25","9600","9600","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"26","9700","9700","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"27","9800","9800","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"28","9900","9900","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"29","10000","10000","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"30","10100","10100","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"31","10200","10200","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"32","10300","10300","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"33","10400","10400","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"34","10500","10500","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"35","10600","10600","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"36","10700","10700","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"37","10800","10800","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"38","10900","10900","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"39","11000","11000","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"40","11100","11100","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"41","11200","11200","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"42","11300","11300","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"43","11400","11400","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"44","11500","11500","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"45","11600","11600","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"46","11700","11700","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"47","11800","11800","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"48","11900","11900","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"49","12000","12000","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"50","12100","12100","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"51","12200","12200","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"52","12300","12300","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"53","12400","12400","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"54","12500","12500","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"55","12600","12600","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"56","12700","12700","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"57","12800","12800","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"58","12900","12900","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"59","13000","13000","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"60","13100","13100","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"61","13200","13200","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"62","13300","13300","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"63","13400","13400","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"64","13500","13500","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"65","13600","13600","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"66","13700","13700","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"67","13800","13800","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"68","13900","13900","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"69","14000","14000","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"70","14100","14100","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"71","14200","14200","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"72","14300","14300","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"73","14400","14400","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"74","14500","14500","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"75","14600","14600","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"76","14700","14700","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"77","14800","14800","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"78","14900","14900","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"79","15000","15000","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
