98c121291a695759716a04e7ce6131f7600cf51053e229925f3096bc4694f479,953af7fc8cd578227221efe941f75ff54232f1218c82309e580d60844eec9711,e49fe6e53fafc9dea981766d81a099bcb87c0ce51795d92c1e12d6b60f449561,ba8e35f99c951b68db8a09dbc2ff51317f07cc7e8e543d6f1042fa3d287276f0,4f786acf4b205cb4c7a26d1c0e87996def9acdd5f95d7fa18aa2a3183f42d20f,0677a5cc4b8328b801d3a1ae1a77cb95819ade975eb786ea573b785765cfe445,c4238803930277968a9eec01958e61698201c6eb18fa6590294b9948d2934f32,75552b361fe719604ecfd48b5714a7ebbcba024cddbf9608733e1d1ecf3fd82b,b4321adc4002380553e634d3065e69fcdcaf04e3009ba46d479ceacfdd6183d6,3524684aadf4ddd07d1b659753bf6a697669ee888999d69d6c3d527a341ca644,d11812e2ee114c0f6a4000b4a84e491a1fbf6ea69046a972d783d56b0c6cd98c,dbcced7785dcca07c7d894f3ce60d2853597bede05aad01ef7debbadeddab71c,3884e80d7dafc03577c51309177d74a6499cee4f6988f68e252af3039ac360a5,11e764e91bd60577c7c6a3418429b1e86aa6169d420bd710776b3d4d2c4b9c0f,9b14e7ba6b18bd0ec3ae84e3ce7bbb0ccabe2623c30b868780388e90f75456a0,839533dec1614f52aabc03350b1d60d95f2a9c69b683fd0f7e15065d6d50a990,f463abb70b989105f1a0c145b244169cf7b26ed6f07e24119d4dd7bc7d665ca2,e77f8ba3caea14e617dd3457cd6eefb7faf30aafdc341966d8705aac8dd08241
"-200","0","-250","102271","26202","bgm_M299","0","99011","-100","-100","0","bgm_M299","0.85","102271","0.95","76010001","覇瞳皇帝の領域1層","90013"
"-200","0","-250","102271","26202","bgm_M299","0","99011","-100","-100","0","bgm_M299","0.85","102271","0.95","76010002","覇瞳皇帝の領域2層","90013"
"-200","0","-250","102271","26202","bgm_M299","0","99011","-100","-100","0","bgm_M299","0.85","102271","0.95","76010003","覇瞳皇帝の領域3層","90013"
"-200","0","-250","102271","26202","bgm_M299","0","99011","-100","-100","0","bgm_M299","0.85","102271","0.95","76010004","覇瞳皇帝の領域4層","90013"
"-200","0","-250","102271","26202","bgm_M299","0","99011","-100","-100","0","bgm_M299","0.85","102271","0.95","76010005","覇瞳皇帝の領域5層","90013"
"0","0","0","102891","26202","bgm_M506","0","99011","0","-100","0","bgm_M506","1.2","102891","1.3","76020001","ゼーンの領域1層","90013"
"0","0","0","102891","26202","bgm_M506","0","99011","0","-100","0","bgm_M506","1.2","102891","1.3","76020002","ゼーンの領域2層","90013"
"0","0","0","102891","26202","bgm_M506","0","99011","0","-100","0","bgm_M506","1.2","102891","1.3","76020003","ゼーンの領域3層","90013"
"0","0","0","102891","26202","bgm_M506","0","99011","0","-100","0","bgm_M506","1.2","102891","1.3","76020004","ゼーンの領域4層","90013"
"0","0","0","102891","26202","bgm_M506","0","99011","0","-100","0","bgm_M506","1.2","102891","1.3","76020005","ゼーンの領域5層","90013"
