eb0bd528206f087d7eed52547a226291afbe1a61966757b747f98cf743393272,54bb0445989072be04fa024801818a937fcc3f714c90e443532f22d863aa9ccd,0c291d83cba320759217bfbe763c280faf1770e163cffbc0730b498ffffe3244,2118475dbe863da8713254ddc88e0812e58d6adf88dcd5f94382d1ec97c2cae9
"スロウ","1","8","1"
"ヘイスト","2","8","2"
"麻痺","3","8","3"
"凍結","4","8","4"
"束縛","5","8","5"
"睡眠","6","8","6"
"スタン","7","8","7"
"石化","8","8","8"
"拘留","9","8","9"
"拘留(ダメージ)","0","9","10"
"毒","1","9","11"
"火傷","2","9","12"
"呪い","3","9","13"
"魅了","0","11","14"
"暗闇","-1","12","15"
"沈黙","-1","13","16"
"即死","-1","30","17"
"ノックバック","-1","3","18"
"混乱","1","11","19"
"猛毒","4","9","20"
"千里眼","-1","56","21"
"回復阻害","-1","59","22"
"恐慌","-1","61","23"
"刻印付与","-1","60","24"
"畏怖","-1","62","25"
"トナカイ化","-1","69","26"
"気絶","10","8","27"
"呪詛","5","9","28"
"ＨＰ変化","-1","70","29"
"時間停止","11","8","30"
"ＨＰ回復量減少","-1","76","31"
"弱体被ダメージ上昇","-1","78","32"
"行動時毒ダメージ","1","79","33"
"スタン（別枠）","14","8","34"
"毒（別枠）","7","9","35"
"呪い（別枠）","8","9","36"
"混乱（別枠）","2","11","37"
"結晶化","13","8","38"
"スロウ(加算可能)","1","83","39"
"ヘイスト(加算可能)","2","83","40"
"バフ消去","3","49","41"
"バリア消去","10","49","42"
"黒炎","9","9","43"
"ヘイストフィールド","2","99","44"
"スロウフィールド","1","99","45"
"バフ消去（指定）","20","49","46"
"殴り刻印（攻撃ヒット）","5","101","47"
"行動時界雷ダメージ","10","79","48"
"状態異常時間延長","9","112","49"
"執着状態","1","116","50"
"アラクネ拘束","15","117","51"
"操糸","3","11","52"
"絶怠霊度","11","9","53"
