2f24855a1ed18526d0c544c36b4c790ca2790b6674c0faeb8b465be874e7ee47,bd71599acdde0cc7ca5164f36f3cab6c11621e433814395529eb7ecac0609c44,ad606cc6c4116c22ee42d09c19469d2634b674222dd4076566c83153e8cbecd8,d270b6c4a544064196f648e5f2cf54eeb2a63a3e0735c16e16cad225a886b726,2a775b9fcfc7a669c1480bc86887b3ccd5f087d2a530ad2206b24c59109c2b9a,d0f2ea847285fb2e62981e87df0f2a57c3c0f8ce50d7220d99e2db0f5abe54a2,bea797066851beb76c94f66f7bb1a4161fdce308c5e3e3d384fa9a0153b8d650,f745e41b16d485fc9b491ab88361e17c9c1d8734550deca85324580ee23ebc7f,ebb703246228f385345e5368f110c63cf77a818883004470bdaff58ab4b78703,922cf407a7066e64f2f64d5f0ac0d47ce6bd2d2d25218d908eb5743e64a1bec9,5a1b53a05400029586e03ce16087416488e480edd5c993975a2a3bf623681366
"100","1","72","-194","118511","1","1.65","1","1","taq_karin_idle","1001"
"0","","0","","vo_minigame_1009_top_001","21","","vo_minigame_1009","1","","1002"
"8","0","0","0","賞品も用意して\nいますので頑張って\nくださいね♪","11","0","118511","1","0","1003"
"1","","","","taq_karin_talk_normal","3","0.2","118511","1","","1004"
"","","","","","91","","1003","1","","1005"
"1","","","","taq_karin_idle","3","0.2","118511","1","","1006"
"100","1","72","-194","118511","1","1.65","1","2","taq_karin_idle","2001"
"0","","0","","vo_minigame_1009_top_002","21","","vo_minigame_1009","2","","2002"
"8","0","0","0","みなさんの知識が\n試されますよ","11","0","118511","2","0","2003"
"1","","","","taq_karin_talk_thinking","3","0.2","118511","2","","2004"
"","","","","","91","","2003","2","","2005"
"1","","","","taq_karin_idle","3","0.2","118511","2","","2006"
"100","1","72","-194","118511","1","1.65","1","3","taq_karin_idle","3001"
"0","","0","","vo_minigame_1009_top_003","21","","vo_minigame_1009","3","","3002"
"8","0","0","0","世の中にはまだまだ\n知らないことが\nたくさんあるんですね","11","0","118511","3","0","3003"
"1","","","","taq_karin_talk_surprise","3","0.2","118511","3","","3004"
"","","","","","91","","3003","3","","3005"
"1","","","","taq_karin_idle","3","0.2","118511","3","","3006"
"100","1","72","-194","118511","1","1.65","1","4","taq_karin_idle","4001"
"0","","0","","vo_minigame_1009_top_004","21","","vo_minigame_1009","4","","4002"
"8","0","0","0","わからないときは\n勘に頼ってみても\nいいと思います","11","0","118511","4","0","4003"
"1","","","","taq_karin_talk_normal2","3","0.2","118511","4","","4004"
"","","","","","91","","4003","4","","4005"
"1","","","","taq_karin_idle","3","0.2","118511","4","","4006"
"100","1","72","-194","118511","1","1.65","1","5","taq_karin_idle","5001"
"0","","0","","vo_minigame_1009_top_005","21","","vo_minigame_1009","5","","5002"
"7","0","0","0","仲よく協力して\n全問正解を\n目指してくださいね♪","11","0","118511","5","0","5003"
"1","","","","taq_karin_talk_joy3","3","0.2","118511","5","","5004"
"","","","","","91","","5003","5","","5005"
"1","","","","taq_karin_idle","3","0.2","118511","5","","5006"
