a9ccabd3c2345fc9a5b00c89938cbc754ec69ba80ef4181c9a4cd6612276fc1a,bb4453587bd2178fe4f70abbce67c05805823569a708050b6b79ec596878baf6,6c982ac7c9388314b6dc76d6c3f9480d7e1640c6468af92a33b3686070d9520b,0246f43b6b22f41ca750358069dc12b42e59d5ed208d268361850cc2ad4ebac0,c4df5df15c6c602c91763099f7e828cf8e5995d752077de7bec87046e6cd39aa,fc6bcc0c7baba9f9e22a66d6d5c4824baef42273986b824027c95397dec9916b,ed0f6d854815f5e02ef8d9e53f9559b9c75f3fa1d1cfdcf0419313222fb23182,9cfe5232b4c5b2b6d768b95c0ec3b9de9351ede3080d14fc95f572c825894e85
"0","0","1","10101020","3050100","24","1","1"
"0","0","2","0","4010200","24","1","2"
"0","0","3","10401020","3030200","24","1","3"
"0","0","4","10401020","3050200","24","1","4"
"0","0","5","10401020","3040200","24","1","5"
"0","0","6","10401020","3020200","24","1","6"
"0","0","7","0","4010300","24","1","7"
"0","0","8","10101020","3030100","24","1","101"
"0","0","9","0","3010201","24","1","102"
"0","0","10","0","3020201","24","1","103"
"0","0","11","0","3010301","24","1","104"
"0","0","12","0","3030301","24","1","105"
"0","0","13","0","3040301","24","1","106"
"0","0","14","0","3050301","24","1","107"
"0","0","15","0","3020301","24","1","108"
"0","0","16","10401050","3030300","24","1","109"
"0","0","17","10401050","3040300","24","1","110"
"0","0","18","10401050","3050300","24","1","111"
"0","0","19","10401050","3020300","24","1","112"
"0","0","20","10101020","3010100","24","1","201"
"0","0","21","10101020","3020100","24","1","202"
"0","0","22","10101020","3030100","24","1","203"
"0","0","23","10101020","3040100","24","1","204"
"0","0","24","10101020","3050100","24","1","205"
"0","0","25","10101020","3010200","24","1","206"
"0","0","26","10101020","3020200","24","1","207"
"0","0","27","10101020","3030200","24","1","208"
"0","0","28","10101020","3040200","24","1","209"
"0","0","29","10101020","3050200","24","1","210"
"0","112","30","0","1010301","24","1","401"
"0","203","31","0","1020301","24","1","402"
"0","306","32","0","1030301","24","1","403"
"0","401","33","0","1040301","24","1","404"
"0","508","34","0","1050301","24","1","405"
"0","209","35","20101050","1020301","24","1","406"
"0","306","36","20101050","1030301","24","1","407"
"0","407","37","20101050","1040301","24","1","408"
"0","501","38","20101050","1050301","24","1","409"
"11001337","0","39","0","0","15","1","600"
"91002","0","40","0","0","8","150","600"
"11001338","0","41","0","0","15","1","700"
"91002","0","42","0","0","8","150","799"
"11001339","0","43","0","0","15","1","800"
"0","0","44","0","0","24","1","999"
