860921ff8d8ec0e55b0ad70a1d3efedc9d1b36de928ceb51168db67499ff6260,dd3b908256331d5707d5a932f0ab99433b05c4b085b2eaf54a4631a06b39c63c,af19b7fd2612b3f88beb9dd75b72110ccebf476b03493fcc21973414a4b0bf71,155ffa3522820c8efa4ec671fc467475e2260fdf40c34ae9764ca92b06fbf0f4,1e88c12cdb10cabec3cbcbda8656ad74320185b63782f2d0801a7ad90f698785,2c2f6af34a94d961f66e2670900e2c48814899a01506232161241218f8724a2a,fcae3ce650ae54d83ee9ee0c0ce0be30b7c37901a799b687eab9b46fa3eb6baa,8e79f4908ad826540202123d178e1c59b156bf3fa367d254ad5cfb69a84ca73a
"10012103","0","0","10012","0","1","1001201","0"
"10012107","0","0","10012","0","2","1001202","0"
"10012109","0","0","10012","0","3","1001203","0"
"10012114","0","0","10012","1001201","4","1001204","0"
"10012114","0","0","10012","1001202","5","1001204","0"
"10012114","0","0","10012","1001203","6","1001204","0"
"20012103","0","0","20012","0","7","2001201","0"
"20012107","0","0","20012","0","8","2001202","0"
"20012109","0","0","20012","0","9","2001203","0"
"20012114","0","0","20012","2001201","10","2001204","0"
"20012114","0","0","20012","2001202","11","2001204","0"
"20012114","0","0","20012","2001203","12","2001204","0"
