1581cc5a089c1cfa60acfb738e32f5142d3f7aff56b7341f4173bf19951c8e8f,46790669b2cf8dc1a4faef8aca7c9b01a17e394a99c0985b7948c26eb609d69e,6175025672bd7a7a530aba67b4f0eb279800e38f0bccb89e46dee0cb24b4b5b0,3ce0e2c4011f37d3792d8110b55b28c1de64d097bf4821205723796c5f73fbb6,2bb0f6fb68c1d2fcf7cee0c15f0b4df758cd4de87890fa93f3b2a9933cb541ef,06f00f24b0c2b552fa98cf95b5ed852393cd98fcd91e57e5c77ea1151a40ee9d
"1101","1","20025","0","1","0"
"1102","1","20025","0","1","0"
"1103","0","20025","5042002","1","1"
"1104","1","20025","0","1","0"
"1105","0","20025","5042003","1","1"
"1106","1","20025","0","1","0"
"1107","0","20025","5042005","1","2"
"1201","0","20025","5042007","2","1"
"1202","0","20025","5042007","2","2"
"1203","1","20025","0","2","0"
"1204","1","20025","0","2","0"
"1301","0","20025","0","1","0"
