e5f09907d9757c30df228325b2170f92384a717fd5b8fb17ee1c2368d352ff54,f01920d79f489df990dce02a4415ccc36bbdad8658a79dfcef54ca026da00bc5,4092587fc69db95c2c44e02448e49facb23864d08f22776cecf09a44902af0d3,728f59dd966895feef2a5650a7a45295401818a8798d8853a325692d3b60379b,170430a2eb1e2eca766f32bb1e9e1594838f6e005f4b006b192f0b928b42d3fb,aa815ffded0202e89a50ea48f299448d9dd8dbc6d7e3fc988bded32ecd448431,bf82a8520ec2e3a2c0a82e54b9b399ae792ace212dc1b045771e445d17ff512a,fb877dc2353826533fb04db9c6df0c20ee4da3ef38a5c3a886c8d38a514a2266
"0","0","1005","バトル開始時、味方のＴＰが250アップ","1005","ＴＰ250アップ","2","1005"
"0","0","1006","バトル開始時、味方のＴＰが250アップ","1006","ＴＰ250アップ","2","1006"
"0","0","1007","バトル開始時、味方のＴＰが250アップ","1007","ＴＰ250アップ","2","1007"
"0","0","1008","バトル開始時、味方のＴＰが250アップ","1008","ＴＰ250アップ","2","1008"
"36000","27160000000000","100501","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","物理攻撃ダウン90秒","1","100501"
"36000","26040000000000","100502","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","物理攻撃ダウン90秒","1","100502"
"36000","25200000000000","100503","バトル開始から90秒間、敵の物理防御力がダウン","1005","物理防御ダウン90秒","1","100503"
"36000","24360000000000","100504","バトル開始から90秒間、敵の魔法防御力がダウン","1005","魔法防御ダウン90秒","1","100504"
"36000","23520000000000","100505","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","物理攻撃ダウン90秒","1","100505"
"36000","22400000000000","100506","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","物理攻撃ダウン90秒","1","100506"
"36000","21560000000000","100507","バトル開始から90秒間、敵の物理防御力がダウン","1005","物理防御ダウン90秒","1","100507"
"36000","20720000000000","100508","バトル開始から90秒間、敵の魔法防御力がダウン","1005","魔法防御ダウン90秒","1","100508"
"36000","19600000000000","100509","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","物理攻撃ダウン90秒","1","100509"
"36000","18760000000000","100510","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","物理攻撃ダウン90秒","1","100510"
"36000","17920000000000","100511","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","物理攻撃ダウン90秒","1","100511"
