914873bf20663d1a29004a45de159ce2519f6f22b44207ebe620ec530286e003,171271fee499f6401b1df7eed0a66a9be03f1f4a5d1ed52b281412106998c974,8e3f6b77c72883007925f172ee9aa594a36ff273bdab95ac0323f9ca235371be,44f0e38bde7969da95e6bcd489c1387dd06addc07c5b71627c4920bf4610718b,6ff0572c5b0fa2e149eb4a80d6ffee38e00fa5010c8a8713e9d79479ed16902d
"ジータのシャドウが追加される。","74001102","add_shadow","シャドウ1体追加","1"
"ジータ、サレン（サマー）、アメスのシャドウが追加される。","74001103","add_shadow","シャドウ3体追加","2"
"ノゾミのシャドウが★6になる。","74001104","star6_shadow","シャドウ★6化","3"
"ジータ、サレン（サマー）、アメスのシャドウが追加される。","74001104","add_shadow","シャドウ3体追加","4"
"ノゾミ、ジータ、キョウカのシャドウが★6にな\nる。","74001105","star6_shadow","シャドウ★6化","5"
"ジータ、サレン（サマー）、アメスのシャドウが追加される。","74001105","add_shadow","シャドウ3体追加","6"
"ユカリのシャドウが追加される。","74001202","add_shadow","シャドウ1体追加","7"
"ユカリ、ムイミ（ニューイヤー）、ユイのシャドウが追加される。","74001203","add_shadow","シャドウ3体追加","8"
"ユカリとユイのシャドウが★6になる。","74001204","star6_shadow","シャドウ★6化","9"
"ユカリ、ムイミ（ニューイヤー）、ユイのシャドウが追加される。","74001204","add_shadow","シャドウ3体追加","10"
"ミヤコ、ユカリ、マホ、ユイのシャドウが★6になる。","74001205","star6_shadow","シャドウ★6化","11"
"ユカリ、ムイミ（ニューイヤー）、ユイのシャドウが追加される。","74001205","add_shadow","シャドウ3体追加","12"
"バトル開始時、ボスモンスターが魔法ダメージ20％カット状態になる。","74001301","boss_magic_cut","ボス魔法ダメージカット","13"
"バトル開始時、ボスモンスターが魔法ダメージ50％カット状態になる。","74001302","boss_magic_cut","ボス魔法ダメージカット","14"
"シズル（サマー）のシャドウが追加される。","74001302","add_shadow","シャドウ1体追加","15"
"バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","74001303","energy_recover","開始時TP回復","16"
"バトル開始時、ボスモンスターが魔法ダメージ50％カット状態になる。","74001303","boss_magic_cut","ボス魔法ダメージカット","17"
"シズル（サマー）とクリスティーナのシャドウが追加される。","74001303","add_shadow","シャドウ2体追加","18"
"ボスモンスターのユニオンバーストが強化される。","74001304","boss_ub_enhance","ボスUB強化","19"
"バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","74001304","energy_recover","開始時TP回復","20"
"バトル開始時、ボスモンスターが魔法ダメージ70％カット状態になる。","74001304","boss_magic_cut","ボス魔法ダメージカット","21"
"シズル（サマー）とクリスティーナのシャドウが追加される。","74001304","add_shadow","シャドウ2体追加","22"
"バトル時間が60秒になる。","74001305","limit_time","バトル時間制限","23"
"ボスモンスターのユニオンバーストが強化される。","74001305","boss_ub_enhance","ボスUB強化","24"
"バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","74001305","energy_recover","開始時TP回復","25"
"バトル開始時、ボスモンスターが魔法ダメージ100％カット状態になる。","74001305","boss_magic_cut","ボス魔法ダメージカット","26"
"シズル（サマー）とクリスティーナのシャドウが追加される。","74001305","add_shadow","シャドウ2体追加","27"
"バトル開始時、ボスモンスターが物理ダメージ20％カット状態になる。","74001401","boss_physics_cut","ボス物理ダメージカット","28"
"バトル開始時、ボスモンスターが物理ダメージ50％カット状態になる。","74001402","boss_physics_cut","ボス物理ダメージカット","29"
"クウカ（オーエド）のシャドウが追加される。","74001402","add_shadow","シャドウ1体追加","30"
"バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","74001403","energy_recover","開始時TP回復","31"
"バトル開始時、ボスモンスターが物理ダメージ50％カット状態になる。","74001403","boss_physics_cut","ボス物理ダメージカット","32"
"クウカ（オーエド）とネネカのシャドウが追加される。","74001403","add_shadow","シャドウ2体追加","33"
"ボスモンスターのユニオンバーストが強化される。","74001404","boss_ub_enhance","ボスUB強化","34"
"バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","74001404","energy_recover","開始時TP回復","35"
"バトル開始時、ボスモンスターが物理ダメージ70％カット状態になる。","74001404","boss_physics_cut","ボス物理ダメージカット","36"
"クウカ（オーエド）とネネカのシャドウが追加される。","74001404","add_shadow","シャドウ2体追加","37"
"バトル時間が60秒になる。","74001405","limit_time","バトル時間制限","38"
"ボスモンスターのユニオンバーストが強化される。","74001405","boss_ub_enhance","ボスUB強化","39"
"バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","74001405","energy_recover","開始時TP回復","40"
"バトル開始時、ボスモンスターが物理ダメージ100％カット状態になる。","74001405","boss_physics_cut","ボス物理ダメージカット","41"
"クウカ（オーエド）とネネカのシャドウが追加される。","74001405","add_shadow","シャドウ2体追加","42"
"バトル開始後一定時間、ボスモンスターの物理攻撃力が中アップする。","74001502","boss_atk_up","開始時攻撃力アップ","43"
"編成可能キャラ数が4キャラになる。","74001503","limit_chara_num","編成キャラ数制限","44"
"バトル開始後一定時間、ボスモンスターの物理攻撃力が中アップする。","74001503","boss_atk_up","開始時攻撃力アップ","45"
"編成可能キャラ数が4キャラになる。","74001504","limit_chara_num","編成キャラ数制限","46"
"ボスモンスターのユニオンバーストが強化される。","74001504","boss_ub_enhance","ボスUB強化","47"
"バトル開始後一定時間、ボスモンスターの物理攻撃力が中アップする。","74001504","boss_atk_up","開始時攻撃力アップ","48"
"編成可能キャラ数が4キャラになる。","74001505","limit_chara_num","編成キャラ数制限","49"
"パーティキャラの最大HPが20％ダウンする。","74001505","max_hp_down","キャラ最大HPダウン","50"
"ボスモンスターのユニオンバーストが強化される。","74001505","boss_ub_enhance","ボスUB強化","51"
"バトル開始後一定時間、ボスモンスターの物理攻撃力が中アップする。","74001505","boss_atk_up","開始時攻撃力アップ","52"
"カリンのシャドウが追加される。","74002102","add_shadow","シャドウ1体追加","53"
"ミヤコ、ユカリ、アユミのシャドウに専用装備が追加される。","74002103","star6_shadow","シャドウ強化","54"
"カリンのシャドウが追加される。","74002103","add_shadow","シャドウ1体追加","55"
