4543498a0fb9a813f62f97fc148e94bfcbfcb8defab6570422d4c627488b6169,40eefe07402f626d04e11bfac8b8b82f126adcc0cb7d06cadf14f5872dd002ef,6d7efbe6ae9c7c7a7778fa95fdd5ac734c90414669d801e34dfe7a98e0ad82ca,52959e84c6cb68668114a927d27e71686dbf34a42520fef3b3b92bb73c384a50,9bf6cbb09c67d85409069912832e71db4ed26e36f315b11bef81a4688e9a866f,ae7b937fb8d2dc421e4e851d9aa250030a0b980449f7d27927fbe28ec9d8410c,7063fd451c09b1e53fdae96a3c35d63097e39b73aa51bcd43b5c17942c6183af,cb5f2d0f61fde73fb416b7b7d5266e7a13f3f5fde93c0275125ba1dfc7a333b4
"3","2019/02/15 23:00:00","27","0","0","106101","2019/02/28 11:59:59","1"
"3","2019/02/28 12:00:00","28","0","0","101401","2019/03/19 14:59:59","2"
"1","2019/03/19 15:00:00","29","0","0","105501","2019/03/26 14:59:59","3"
"3","2019/03/19 15:00:00","29","0","0","106301","2019/03/26 14:59:59","4"
"2","2019/03/19 15:00:00","29","0","0","101501","2019/03/26 14:59:59","5"
"3","2019/03/26 15:00:00","30","0","0","103601","2019/03/31 11:59:59","6"
"3","2019/03/26 15:00:00","30","0","0","104901","2019/03/31 11:59:59","7"
"3","2019/03/26 15:00:00","30","0","0","104401","2019/03/31 11:59:59","8"
"2","2019/03/26 15:00:00","30","0","0","100701","2019/03/31 11:59:59","9"
"2","2019/03/26 15:00:00","30","0","0","104601","2019/03/31 11:59:59","10"
"2","2019/03/26 15:00:00","30","0","0","102701","2019/03/31 11:59:59","11"
"1","2019/03/26 15:00:00","30","0","0","100301","2019/03/31 11:59:59","12"
"1","2019/03/26 15:00:00","30","0","0","103401","2019/03/31 11:59:59","13"
"1","2019/03/26 15:00:00","30","0","0","100101","2019/03/31 11:59:59","14"
"3","2019/03/31 12:00:00","31","0","0","109201","2019/04/19 14:59:59","15"
"3","2019/04/19 15:00:00","32","0","0","109401","2019/04/30 11:59:59","16"
"3","2019/04/30 12:00:00","33","0","0","109501","2019/05/07 14:59:59","17"
"3","2019/04/30 12:00:00","33","0","0","107101","2019/05/07 14:59:59","18"
"3","2019/05/07 15:00:00","34","0","0","109501","2019/05/14 14:59:59","19"
"3","2019/05/14 15:00:00","35","0","0","103601","2019/05/17 14:59:59","20"
"2","2019/05/14 15:00:00","35","0","0","102001","2019/05/17 14:59:59","21"
"1","2019/05/14 15:00:00","35","0","0","100401","2019/05/17 14:59:59","22"
"3","2019/05/17 15:00:00","36","0","0","109601","2019/05/31 11:59:59","23"
"3","2019/05/31 12:00:00","37","0","0","109701","2019/06/15 11:59:59","24"
"3","2019/06/15 12:00:00","38","0","0","104401","2019/06/18 14:59:59","25"
"3","2019/06/15 12:00:00","38","0","0","101001","2019/06/18 14:59:59","26"
"2","2019/06/15 12:00:00","38","0","0","101701","2019/06/18 14:59:59","27"
"3","2019/06/18 15:00:00","39","0","0","109901","2019/06/30 11:59:59","28"
"3","2019/06/30 12:00:00","40","0","0","110001","2019/07/13 11:59:59","29"
"3","2019/07/13 12:00:00","41","0","0","107501","2019/07/18 14:59:59","30"
"3","2019/07/13 12:00:00","41","0","0","107801","2019/07/18 14:59:59","31"
"3","2019/07/18 15:00:00","42","0","0","110301","2019/07/31 11:59:59","32"
"3","2019/07/31 12:00:00","43","0","0","110401","2019/08/10 11:59:59","33"
"3","2019/08/10 12:00:00","44","0","0","107701","2019/08/15 14:59:59","34"
"3","2019/08/10 12:00:00","44","0","0","107901","2019/08/15 14:59:59","35"
