06a11969b9c3c9722d5d45e0dd4d5cf248c72d0f154e34fc98c6384c4384fc23,892c535a0854174f6766f0cea6f1eb856b8a2a3676ecb064e50fb809164ed275,90c095a2944f331a5e904fa57ea44d66245bca2d2cb4195a9beaf6bc695a6845,0f3ec45168ed9963af36f676884c8c9aed88cfef4dbcf4f176fac1af60ea0d03,87dff235d25c85aa4aa7f660d16a4509d7f47bcb5dc9b3baa1240ab9b70db0bc,3e174168b480b8cdd283fafa07f889b6f124f1767afcb23fb2a05d16086aa383,64d7bc6232b7e757f6d98ec221b5ede4207e2d9680e255b9ba3ea26db2dc83f3,c0560b361fe9b93de356f9de663968c89a3bf8f9429c61d77cfabd2806dd3243,ec46b81c9d84ec2fd4ee8025464e9589594545203d23fae9072c9faffdaf18bc,ec98690c2cd75ecf15b646858bfa698bfb797754f6e244187dc2eec588e1c68e,01354f50a94ccdf056ae1d946825fb8b5b4b3908000eda69c5ef9a9ba3dc320a
"1","-194","1","1.65","1","100","72","taq_karin_idle","118511","1001","1"
"1","","vo_minigame_1009","","","0","0","","vo_minigame_1009_top_001","1002","21"
"1","0","118511","0","0","8","0","0","賞品も用意して\nいますので頑張って\nくださいね♪","1003","11"
"1","","118511","0.2","","1","","","taq_karin_talk_normal","1004","3"
"1","","1003","","","","","","","1005","91"
"1","","118511","0.2","","1","","","taq_karin_idle","1006","3"
"2","-194","1","1.65","1","100","72","taq_karin_idle","118511","2001","1"
"2","","vo_minigame_1009","","","0","0","","vo_minigame_1009_top_002","2002","21"
"2","0","118511","0","0","8","0","0","みなさんの知識が\n試されますよ","2003","11"
"2","","118511","0.2","","1","","","taq_karin_talk_thinking","2004","3"
"2","","2003","","","","","","","2005","91"
"2","","118511","0.2","","1","","","taq_karin_idle","2006","3"
"3","-194","1","1.65","1","100","72","taq_karin_idle","118511","3001","1"
"3","","vo_minigame_1009","","","0","0","","vo_minigame_1009_top_003","3002","21"
"3","0","118511","0","0","8","0","0","世の中にはまだまだ\n知らないことが\nたくさんあるんですね","3003","11"
"3","","118511","0.2","","1","","","taq_karin_talk_surprise","3004","3"
"3","","3003","","","","","","","3005","91"
"3","","118511","0.2","","1","","","taq_karin_idle","3006","3"
"4","-194","1","1.65","1","100","72","taq_karin_idle","118511","4001","1"
"4","","vo_minigame_1009","","","0","0","","vo_minigame_1009_top_004","4002","21"
"4","0","118511","0","0","8","0","0","わからないときは\n勘に頼ってみても\nいいと思います","4003","11"
"4","","118511","0.2","","1","","","taq_karin_talk_normal2","4004","3"
"4","","4003","","","","","","","4005","91"
"4","","118511","0.2","","1","","","taq_karin_idle","4006","3"
"5","-194","1","1.65","1","100","72","taq_karin_idle","118511","5001","1"
"5","","vo_minigame_1009","","","0","0","","vo_minigame_1009_top_005","5002","21"
"5","0","118511","0","0","7","0","0","仲よく協力して\n全問正解を\n目指してくださいね♪","5003","11"
"5","","118511","0.2","","1","","","taq_karin_talk_joy3","5004","3"
"5","","5003","","","","","","","5005","91"
"5","","118511","0.2","","1","","","taq_karin_idle","5006","3"
