5e7070c5b853d3996e3b529a1fcf335ae0b71796cd166b8fa4f068a9716e2995,6003ae02f5afc7ab3195ec065f013ac998bb1b9dfae899173c695fe33e570dea,46521b7843831d3bb36702262f38a6a630917623f7f2a19ccee0631bd8e883e2,adae66e66cd0921157d46f57f2849abb3390f8308c337b91a1f032eec9cae0f8,bf7edca1556255f10d99c5481c0484c29fd70c90d9c0c23d9d6e60b5cc1440cf,66048a7bafedaf91328562790e27aa63bc9d97aeae271caccd1c13368ca046e5
"111011101","1110111","101001","1","1","0"
"111021101","1110211","101002","1","1","0"
"133011101","1330111","301","3","1","0"
"133011201","1330112","301","3","1","0"
"133020101","1330201","302","3","0","500"
"133020201","1330202","302","3","0","500"
"133030101","1330301","303","3","0","1"
"133030201","1330302","303","3","0","250"
"133030301","1330303","303","3","0","1"
"133030401","1330304","303","3","0","1"
"133030501","1330305","303","3","0","250"
"133030601","1330306","303","3","0","1"
"133040101","1330401","304","3","0","1000"
"133040201","1330402","304","3","0","1000"
"133040301","1330403","304","3","0","1000"
"133040401","1330404","304","3","0","1000"
"133051101","1330511","305","3","1","0"
"133051201","1330512","305","3","1","0"
"134010101","1340101","401","3","0","1"
"134010201","1340102","401","3","0","1"
"134021101","1340211","402","3","1","0"
"134021201","1340212","402","3","1","0"
"140010101","1400101","1","4","0","1"
"140010201","1400102","1","4","0","1"
"140010301","1400103","1","4","0","10"
"140020101","1400201","2","4","0","0"
"210000101","2100001","0","1","0","0"
"211030101","2110301","101003","1","0","0"
"221010101","2210101","100001","2","0","0"
"221020101","2210201","100002","2","0","0"
"221030101","2210301","100003","2","0","0"
"221050101","2210501","100005","2","0","0"
"221070101","2210701","100007","2","0","0"
"221080101","2210801","100008","2","0","0"
"221090101","2210901","100009","2","0","0"
"221100101","2211001","100010","2","0","0"
"221110101","2211101","100011","2","0","0"
"221120101","2211201","100012","2","0","0"
"221130101","2211301","100013","2","0","0"
"221140101","2211401","100014","2","0","0"
"221160101","2211601","100016","2","0","0"
"221170101","2211701","100017","2","0","0"
"222020101","2220201","201020","1","0","0"
"222040101","2220401","201040","1","0","0"
"222050101","2220501","201050","1","0","0"
"222060101","2220601","201060","1","0","0"
"222070101","2220701","201070","1","0","0"
"222080101","2220801","201080","1","0","0"
"222090101","2220901","201090","1","0","0"
"222100101","2221001","201100","1","0","0"
"222110101","2221101","201110","1","0","0"
"222130101","2221301","201130","1","0","0"
"222140101","2221401","201140","1","0","0"
"222160101","2221601","201160","1","0","0"
"222180101","2221801","201180","1","0","0"
"222190101","2221901","201190","1","0","0"
"222200101","2222001","201200","1","0","0"
"222210101","2222101","201210","1","0","0"
"222220101","2222201","201220","1","0","0"
"222230101","2222301","201230","1","0","0"
"222240101","2222401","201240","1","0","0"
"222250101","2222501","201250","1","0","0"
"222270101","2222701","201270","1","0","0"
"222280101","2222801","201280","1","0","0"
"222290101","2222901","201290","1","0","0"
"222300101","2223001","201300","1","0","0"
"222320101","2223201","201320","1","0","0"
"222340101","2223401","201340","1","0","0"
"222350101","2223501","201350","1","0","0"
"222360101","2223601","201360","1","0","0"
"222370101","2223701","201370","1","0","0"
"222380101","2223801","201380","1","0","0"
"222390101","2223901","201390","1","0","0"
"222400101","2224001","201400","1","0","0"
"222410101","2224101","201410","1","0","0"
"222430101","2224301","201430","1","0","0"
"222440101","2224401","201440","1","0","0"
"222470101","2224701","201470","1","0","0"
"222480101","2224801","201480","1","0","0"
"222490101","2224901","201490","1","0","0"
"233010101","2330101","301","3","0","1000"
"233050101","2330501","305","3","0","1000"
"234020101","2340201","402","3","0","0"
"234030101","2340301","403","3","0","0"
"240010101","2400101","1","4","0","0"
"310000101","3100001","0","1","0","0"
"310000102","3100002","0","1","0","0"
"311010101","3110101","101001","1","0","0"
"311020101","3110201","101002","1","0","0"
