52237fa54ec68f3c41ac4e6d25798f6bf989d244cb937e0db8f6a438b9c589bc,d731db3302cda942a254715e2fe8700e940f038d4d5efdee9ca1f3329faff355,ce549078b6902f3cf7b9dece3442780a4f2fb5cdc19a1c5cfb6c95aac3cf7fea,0f60d4177b704b23bd21402d53d78d1dfb1b623947b3cf94b8898347e4a1b352,7345d4405fce2b0c3ce9f3e4b6699f79cefb7809c87113c124e3a5f59a9b2542,c55a898254489006a493057f183f3ac8a09068ed5f770796d90c481a9e97e89a,e654cbcc18ef4c1ffd95f8c62a761b6da105d494c86697a6736d99ec71f9a1ff,fd22a0836b5c4b663e229e6e76b37485ec3c5013c73daf187ed94497dd894de8,13eac66e17e2038ca64d0e6d2cf8643960cb1c79b284079fceae0fc1f0a8da11,7549d5a00628371be97259260c84d9111917e3c3118d8b60af783e993b15e24c,7c1f4d15f13d025fcc408dfa309bac7a0e507934ef486bfc2b4dc2ca31526fc3,10dd856cfbcde2513d9197140f3245ff0ac96a1ed00590585923d486e7bcb844
"24005","80001_2","1","★3確定 アニメガチャチケット （プリンセスコネクト！Re:Dive 1）","2","80001_1","80000","1","80001_3","1","0","80001"
"24006","80002_2","1","★3確定 アニメガチャチケット （プリンセスコネクト！Re:Dive 2）","2","80002_1","80000","1","80002_3","1","0","80002"
"24007","80003_2","1","★3確定 アニメガチャチケット （プリンセスコネクト！Re:Dive 3）","2","80003_1","80000","1","80003_3","1","0","80003"
"24008","80004_2","1","★3確定 アニメガチャチケット （プリンセスコネクト！Re:Dive 4）","2","80004_1","80000","1","80004_3","1","0","80004"
"24009","80005_2","1","★3確定 プリコネフェス記念ガチャチケット","2","80005_1","80000","1","80005_3","1","0","80005"
"24010","80006_2","1","★3確定 プリコネフェス2022記念ガチャチケット","2","80006_1","80000","1","80006_3","1","0","80006"
"24011","80007_2","1","★3確定アニメガチャチケット プリンセスコネクト！Re:Dive Season2 1","2","80007_1","80000","1","80007_3","1","0","80007"
"24012","80008_2","1","★3確定アニメガチャチケット プリンセスコネクト！Re:Dive Season2 2","2","80008_1","80000","1","80008_3","1","0","80008"
"24013","80009_2","1","★3確定アニメガチャチケット プリンセスコネクト！Re:Dive Season2 3","2","80009_1","80000","1","80009_3","1","0","80009"
"24014","80010_2","1","★3確定 プリコネフェス2023記念ガチャチケット","2","80010_1","80000","1","80010_3","1","0","80010"
"24015","80011_2","1","★3確定 5周年記念ガチャチケット","2","80011_1","80000","1","80011_3","1","0","80011"
"24016","80012_2","1","★3確定 スタートダッシュガチャチケット","2","80012_1","80000","1","80012_3","1","0","80012"
"24017","80013_2","1","★3確定 プリコネフェス2024記念ガチャチケット","2","80013_1","80000","1","80013_3","1","0","80013"
"24018","80014_2","1","★3確定 プリコネフェス2025記念ガチャチケット","2","80014_1","80000","1","80014_3","1","0","80014"
"24019","80015_2","1","GWガチャチケット(火)2025","2","80015_1","80000","1","80015_3","1","0","80015"
"24020","80016_2","1","GWピックアップガチャチケット(火)2025","2","80016_1","80000","1","80016_3","1","0","80016"
"24021","80017_2","1","GWガチャチケット(闇)2025","2","80017_1","80000","1","80017_3","1","0","80017"
"24022","80018_2","1","GWピックアップガチャチケット(闇)2025","2","80018_1","80000","1","80018_3","1","0","80018"
"24023","80019_2","1","7.5th Anniv. ガチャチケット(水)","2","80019_1","80000","1","80019_3","1","0","80019"
"24024","80020_2","1","7.5th Anniv. ピックアップガチャチケット(水)","2","80020_1","80000","1","80020_3","1","0","80020"
"24025","80021_2","1","7.5th Anniv. ガチャチケット(風)","2","80021_1","80000","1","80021_3","1","0","80021"
"24026","80022_2","1","7.5th Anniv. ピックアップガチャチケット(風)","2","80022_1","80000","1","80022_3","1","0","80022"
"24027","80023_2","1","★3確定 Sダッシュミッションガチャチケット","2","80023_1","80000","1","80023_3","1","0","80023"
"24028","80024_2","10","カムバック10連ガチャチケット","2","80024_1","80001","1","80024_3","0","3","80024"
"24029","80025_2","10","カムバックSP10連ガチャチケット","2","80025_1","80001","1","80025_3","0","3","80025"
"24030","80026_2","10","ゾンビランドサガコラボ記念 10回ガチャチケット","2","80026_1","80001","1","80026_3","0","2","80026"
"24031","80027_2","1","ウマ娘「The Game Awards 2025」受賞記念★3確定ガチャチケット","2","80027_1","80000","1","80027_3","1","0","80027"
"24032","80028_2","1","2026 新春記念ガチャチケット(光)","2","80028_1","80000","1","80028_3","1","0","80028"
"24033","80029_2","1","2026 新春記念ピックアップガチャチケット(光)","2","80029_1","80000","1","80029_3","1","0","80029"
"24034","80030_2","1","★3確定 プリコネフェス2026記念ガチャチケット","2","80030_1","80000","1","80030_3","1","0","80030"
