cd3996da7f352d8406e10c6d8dba33bdc92275e274c721929717bfba143f45a2,2fcc8581861955cd96fa2b70a88d49c45d03b82fa356f6cad8454faab796d0af
"130032","32"
"130112","16"
"130132","19"
"130162","4"
"130252","1"
"130332","9"
"130492","15"
"130582","10"
"130592","29"
"130602","5"
"130772","1"
"130792","2"
"130802","3"
"130812","6"
"130822","7"
"130832","8"
"130842","11"
"130852","12"
"130862","13"
"130902","14"
"130912","15"
"130952","17"
"130962","18"
"131002","4"
"131012","21"
"131032","22"
"131042","23"
"131052","24"
"131062","25"
"131072","20"
"131112","26"
"131122","27"
"131132","28"
"131212","1"
"131222","30"
"131232","31"
