f7e5ef051a239141deba4a7bab5974cd50c5284e8eaf3d768651a7a217b4942b,94a27776491da86146e92c8f612122c5315fcb4f7e7d01034657e59874c8c69d,814dfbc098ac612772a6317ff0632688906c49d468046b25f11f2bc9bfef4b7f,72c8d0a11cef56260714c13453e4a87fbc08a93704674a88cf78d17181947bc5,b1e958859eb8186e94e3993aaccaf610f208dd683f4816be67dc8b2e9cf13281,764b34e3789469733bcd0a171131e0f09a6cc8c821d090fb77c8bc4f439cb801,9e4ab8a98fc8d60d3d5f200ecbedd605f65e9304c9ce67d306276bf240e3b762,e418273bf61f4d258cba2ea52289f1babeb0b683a3e6676e0ba03e6108dc6668
"0","1001201","0","10012","0","1","0","10012103"
"0","1001202","0","10012","0","2","0","10012107"
"0","1001203","0","10012","0","3","0","10012109"
"1001201","1001204","0","10012","0","4","0","10012114"
"1001202","1001204","0","10012","0","5","0","10012114"
"1001203","1001204","0","10012","0","6","0","10012114"
"0","2001201","0","20012","0","7","0","20012103"
"0","2001202","0","20012","0","8","0","20012107"
"0","2001203","0","20012","0","9","0","20012109"
"2001201","2001204","0","20012","0","10","0","20012114"
"2001202","2001204","0","20012","0","11","0","20012114"
"2001203","2001204","0","20012","0","12","0","20012114"
