ca2e9598b0b2d5339d8f11202002b51ca583356bfddb2fc9a51e4bbf74e74589,68531bc576edc22864c73e30dfe74d3fa1529aa8f70b3ac9691db82df1f19d6b,bfe38591e12b166cee370a9a36a52d966e9cc546cbc45855353b257a174af5d0,3b823fce4154d9abbda90be0ac86899504988326050bf5d109fd9a9ec5930c08,178ff97d6a15ac1f09567ad6489f148eb17e6d97c6e4f8a9acbb8203f9d6f34a,cdaadfdbd6a66dfa2f742f68acc5c1d423e59706da01ed389a68ae2a1d02a2d7,a2e2c23f87b874ec8615cbea98768a550848a54399a58178a103d68f37f28946,f7551a1b44be0077f0c2c3fa0e0658dca2080ab1c75ae7350dc7adfcf145e6db,2d2f398e6298ed17b70f3c3794f24edeb0afee6a96c1987f53861e119a8a35de,5081578d635167a32995952063ef88c5d4cee6a0edf2ca36bc646cd2339cc6f8
"10062103","1","7001","0","10062","ウヅキとリンのメモリー","0","0","0","0"
"10062107","2","7002","0","10062","ニュージェネレーションズのメモリー","0","0","0","0"
"10062107","4","7003","0","10062","ウヅキとミオのメモリー","0","0","0","0"
"10062111","6","7004","0","10062","美食殿のメモリー","0","0","0","0"
"10062111","7","7005","0","10062","リンとミオのメモリー","0","0","0","0"
"10062111","8","7006","0","10062","ニュージェネレーションズのメモリー","0","0","0","0"
"10062115","9","7007","0","10062","ニュージェネレーションズと美食殿のメモリー","0","0","0","0"
"10062115","10","7008","0","10062","美食殿のメモリー","0","0","0","0"
"10063111","14","7009","0","10063","ニュージェネレーションズと美食殿のメモリー","0","0","0","0"
"10062107","3","7102","0","10062","ニュージェネレーションズのメモリー","0","0","0","0"
"10062107","5","7103","0","10062","美食殿のメモリー","0","0","0","0"
"10062115","11","7104","0","10062","ニュージェネレーションズと美食殿のメモリー","0","0","0","0"
"10063111","12","7105","0","10063","ニュージェネレーションズと美食殿のメモリー","0","0","0","0"
"10063111","13","7106","0","10063","ニュージェネレーションズと美食殿のメモリー","0","0","0","0"
"10062103","15","7201","0","10062","","7","1","2405","1"
