8c87f3a256eec8993be535a4936c805976794ac1e14f66d8860197e838794ba9,49e08758e6acaba21215192a2d6fe363b8ea0084e90176b56ea72635736f3937,de85e2251c240bcfc00cdd69905ed2a228d191ac01adb912017d5e8555e3ba49,43c43d2af977b3ef6b466864dde5f8f7f4919646648896d22d93e21e306f343f,ccc0444a0fb894eb925001ccd48bc892d6264752ba8fb9ba17980b625ff84cd6
"10001","10","255","30","100"
"10002","10","110","34","100"
"10003","10","185","37","100"
"10004","10","388","41","101"
"10005","10","603","46","100"
"10006","10","696","51","100"
"10007","10","478","54","100"
"10008","10","240","58","101"
"10009","10","371","62","100"
"10010","10","253","67","100"
"10011","10","408","71","100"
"10012","10","342","75","100"
"10013","10","549","78","101"
"10014","10","696","82","100"
"10015","10","468","87","100"
"10016","10","641","92","100"
"10017","10","701","96","100"
"10018","10","531","101","100"
"10019","10","387","105","100"
"10020","10","315","108","100"
"10021","10","241","112","100"
"10022","10","316","117","100"
"10023","10","741","120","100"
"10024","10","1007","125","100"
"10025","10","730","129","101"
"10026","10","647","133","100"
"10027","10","836","137","100"
"10028","10","1087","140","100"
"10029","10","818","143","100"
"10030","10","558","147","100"
"10031","10","228","152","101"
"10032","10","569","155","100"
"10033","10","724","159","101"
"10034","10","367","162","101"
"10035","10","9","165","100"
"10036","10","101","170","100"
"10037","10","509","173","101"
"10038","10","214","178","100"
"10039","10","511","183","400"
"10040","10","477","188","100"
"10041","10","739","192","100"
"10042","10","485","197","101"
"10043","10","670","202","100"
"10044","10","339","205","100"
"10045","10","193","210","100"
"10046","10","376","215","101"
"10047","10","719","219","100"
"10048","10","1012","224","100"
"10049","10","1199","227","100"
"10050","10","870","232","100"
"10051","10","521","237","100"
"10052","10","632","240","100"
"10053","10","263","244","100"
"10054","10","180","247","101"
"10055","10","295","252","100"
"10056","10","594","255","200"
"10057","10","252","259","100"
"10058","10","623","262","100"
"10059","10","219","265","101"
"10060","10","379","270","100"
"10061","10","218","273","101"
"10062","10","478","277","100"
"10063","10","415","281","100"
"10064","10","700","284","100"
"10065","10","411","289","100"
"10066","10","326","292","100"
"10067","10","763","296","101"
"10068","10","591","300","100"
"10069","10","837","304","300"
"10070","10","432","307","100"
"10071","10","379","310","100"
"10072","10","31","314","101"
"10073","10","216","317","100"
"10074","10","412","321","100"
"10075","10","183","326","101"
"10076","10","57","330","100"
"10077","10","204","335","100"
"10078","10","486","340","100"
"10079","10","858","345","100"
"10080","10","584","349","101"
"10081","10","178","352","100"
"10082","10","448","357","100"
"10083","10","793","361","100"
"10084","10","1102","364","101"
"10085","10","975","369","100"
"10086","10","1132","374","100"
"10087","10","922","379","101"
"10088","10","752","383","100"
"10089","10","457","386","100"
"10090","10","367","391","100"
"10091","10","410","395","101"
"10092","10","93","398","100"
"10093","10","425","402","100"
"10094","10","54","407","100"
"10095","10","255","410","100"
"10096","10","318","414","100"
"10097","10","535","417","101"
"10098","10","467","422","100"
"10099","10","695","425","100"
"10100","10","820","429","100"
"10101","10","676","434","101"
"10102","10","880","439","100"
"10103","10","656","444","100"
"10104","10","849","447","400"
"10105","10","1077","452","100"
"10106","10","1195","456","100"
"10107","10","1053","461","101"
"10108","10","975","464","100"
"10109","10","762","467","300"
"10110","10","1120","471","100"
"10111","10","1062","476","101"
"10112","10","815","481","100"
"10113","10","680","484","100"
"10114","10","626","488","100"
"10115","10","658","492","100"
"10116","10","804","495","100"
"10117","10","645","500","100"
"10118","10","716","503","200"
"10119","10","792","506","100"
"10120","10","891","510","100"
"10121","10","1092","514","100"
"10122","10","1181","519","101"
"10123","10","1102","522","100"
"10124","10","1042","526","101"
"10125","10","846","529","100"
"10126","10","880","532","100"
"10127","10","945","537","101"
"10128","10","892","541","100"
"10129","10","1018","546","100"
"10130","10","866","551","101"
"10131","10","630","554","100"
"10132","10","543","558","101"
"10133","10","320","563","100"
"10134","10","421","566","100"
"10135","10","483","570","101"
"10136","10","600","575","100"
"10137","10","505","580","100"
"10138","10","321","583","100"
"10139","10","268","586","101"
"10140","10","373","590","100"
"10141","10","579","595","100"
"10142","10","386","599","400"
"10143","10","511","604","100"
"10144","10","599","608","100"
"10145","10","639","612","101"
"10146","10","731","615","100"
"10147","10","689","619","300"
"10148","10","478","624","100"
"10149","10","583","628","101"
"10150","10","338","633","100"
"10151","10","142","636","100"
"10152","10","383","640","100"
"10153","10","555","644","100"
"10154","10","510","649","101"
"10155","10","751","653","100"
"10156","10","529","656","100"
"10157","10","491","659","100"
"10158","10","265","662","100"
"10159","10","440","665","100"
"10160","10","236","670","101"
"10161","10","351","674","100"
"10162","10","302","677","101"
"10163","10","150","682","100"
"10164","10","71","686","100"
"10165","10","14","690","101"
"10166","10","211","694","100"
"10167","10","127","698","101"
"10168","10","375","702","100"
"10169","10","497","706","100"
"10170","10","412","710","200"
"10171","10","638","714","100"
"10172","10","835","719","100"
"10173","10","921","722","100"
"10174","10","828","727","101"
"10175","10","882","730","100"
"10176","10","658","735","100"
"10177","10","883","739","101"
"10178","10","1105","743","100"
"10179","10","1186","748","100"
"10180","10","979","752","100"
"10181","10","780","755","400"
"10182","10","644","760","100"
"10183","10","397","764","100"
"10184","10","561","768","100"
"10185","10","530","773","100"
"10186","10","653","778","101"
"10187","10","695","783","100"
"10188","10","531","787","100"
"10189","10","653","793","101"
