1055acba56372a7c556ca59139f30e865a186e8d33e9ad13d67899ceed572ba8,f7b0dc47ab4e4f42dc5fd37e641b77c0ea92bbb76b70f086d1429cbe007b74e7,db06858cbe868e9d00b705dd878b10b19f76733294288ff2d83a9854ed259af7,36671811bc29419664e80d53436029c42bb293411adfe4c55b243d881ae6c3ef,f78308cd14dbdfb50938dc2f04c9d94f3c5ee6565de404f1d734967ee194532c
"310001011","94002","150000","31000101","12"
"310001012","22003","10","31000101","2"
"310001021","94002","500000","31000102","12"
"310001022","22003","10","31000102","2"
"310001031","94002","500000","31000103","12"
"310001032","140001","5","31000103","4"
"310001033","25001","5","31000103","2"
"310001041","94002","500000","31000104","12"
"310001042","22003","10","31000104","2"
"310001051","94002","500000","31000105","12"
"310001052","140001","5","31000105","4"
"310001053","25001","5","31000105","2"
"310001061","94002","500000","31000106","12"
"310001062","22003","10","31000106","2"
"310001071","94002","500000","31000107","12"
"310001072","140001","5","31000107","4"
"310001073","25001","5","31000107","2"
"310001081","94002","500000","31000108","12"
"310001082","22003","10","31000108","2"
"310001091","94002","500000","31000109","12"
"310001092","140001","5","31000109","4"
"310001093","25001","5","31000109","2"
"310011011","94002","150000","31001101","12"
"310011012","22003","5","31001101","2"
"310011021","94002","150000","31001102","12"
"310011022","22003","5","31001102","2"
"310011031","94002","150000","31001103","12"
"310011032","22003","5","31001103","2"
"310011111","94002","150000","31001111","12"
"310011112","22003","5","31001111","2"
"310011121","94002","200000","31001112","12"
"310011122","22003","5","31001112","2"
"310012011","94002","150000","31001201","12"
"310012012","22003","5","31001201","2"
"310012021","94002","150000","31001202","12"
"310012022","22003","5","31001202","2"
"310012031","94002","150000","31001203","12"
"310012032","22003","5","31001203","2"
"310012111","94002","150000","31001211","12"
"310012112","22003","5","31001211","2"
"310012121","94002","200000","31001212","12"
"310012122","22003","5","31001212","2"
"310013011","94002","150000","31001301","12"
"310013012","22003","5","31001301","2"
"310013021","94002","150000","31001302","12"
"310013022","22003","5","31001302","2"
"310013031","94002","150000","31001303","12"
"310013032","22003","5","31001303","2"
"310013111","94002","150000","31001311","12"
"310013112","22003","5","31001311","2"
"310013121","94002","200000","31001312","12"
"310013122","22003","5","31001312","2"
"310014011","94002","150000","31001401","12"
"310014012","22003","5","31001401","2"
"310014021","94002","150000","31001402","12"
"310014022","22003","5","31001402","2"
"310014031","94002","150000","31001403","12"
"310014032","22003","5","31001403","2"
"310014111","94002","150000","31001411","12"
"310014112","22003","5","31001411","2"
"310014121","94002","200000","31001412","12"
"310014122","22003","5","31001412","2"
"310021011","94002","150000","31002101","12"
"310021012","22003","5","31002101","2"
"310021021","94002","150000","31002102","12"
"310021022","22003","5","31002102","2"
"310021031","94002","150000","31002103","12"
"310021032","22003","5","31002103","2"
"310021041","91002","50","31002104","8"
"310021111","94002","150000","31002111","12"
"310021112","22003","5","31002111","2"
"310021121","94002","200000","31002112","12"
"310021122","22003","5","31002112","2"
"310021131","91002","100","31002113","8"
"310031011","94002","150000","31003101","12"
"310031012","22003","5","31003101","2"
"310031021","94002","150000","31003102","12"
"310031022","22003","5","31003102","2"
"310031031","94002","150000","31003103","12"
"310031032","22003","5","31003103","2"
"310031041","91002","50","31003104","8"
"310031111","94002","150000","31003111","12"
"310031112","22003","5","31003111","2"
"310031121","94002","200000","31003112","12"
"310031122","22003","5","31003112","2"
"310031131","91002","100","31003113","8"
"310032011","94002","150000","31003201","12"
"310032012","22003","5","31003201","2"
"310032021","94002","150000","31003202","12"
"310032022","22003","5","31003202","2"
"310032031","94002","150000","31003203","12"
"310032032","22003","5","31003203","2"
"310032041","91002","50","31003204","8"
"310032111","94002","150000","31003211","12"
"310032112","22003","5","31003211","2"
"310032121","94002","200000","31003212","12"
"310032122","22003","5","31003212","2"
"310032131","91002","100","31003213","8"
