437f39ab5f7052a8dea606db85127c1d731e0200c2f79f1ab26f04c6439edb6f,5e3deaa66ec508c336979095a0f43f2fb51af3dc032eba6446264cfcd3086e61,0606f177fa5ee942d415edc1128acfc293168918d09287a633c1300be27b006a,420d0f94495aa53caa00be637472a74ae227053aa9b3607c87eb1b86d7ad5d29,4319e8ad3d927ca0512dcf470186c100819ca1d98a96496032e24ffbd799ad35
"1","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","10101","ダメージ減衰","damage_limit"
"1","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","10102","防御力（ダウン不可）アップ","def_lower_limit"
"2","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","10201","ダメージ減衰","damage_limit"
"2","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","10202","防御力（ダウン不可）アップ","def_lower_limit"
"2","すべてのモンスターが受けるダメージを一定値カットさせる。","10203","全ダメージカット","damage_cut"
"2","すべてのモンスターの与えるダメージをアップさせる。","10204","与ダメージアップ","damage_up"
"2","すべてのモンスターの物理/魔法防御力をアップさせる。","10205","防御力アップ","def_up"
"3","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","10301","ダメージ減衰","damage_limit"
"3","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","10302","防御力（ダウン不可）アップ","def_lower_limit"
"3","すべてのモンスターが受けるダメージを一定値カットさせる。","10303","全ダメージカット","damage_cut"
"3","すべてのモンスターの与えるダメージをアップさせる。","10304","与ダメージアップ","damage_up"
"3","すべてのモンスターの物理/魔法防御力をアップさせる。","10305","防御力アップ","def_up"
"3","すべてのキャラの物理/魔法クリティカルをダウンさせる。","10306","クリティカルダウン","critical_down"
"4","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","10401","ダメージ減衰","damage_limit"
"4","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","10402","防御力（ダウン不可）アップ","def_lower_limit"
"4","すべてのモンスターが受けるダメージを一定値カットさせる。","10403","全ダメージカット","damage_cut"
"4","すべてのモンスターの与えるダメージをアップさせる。","10404","与ダメージアップ","damage_up"
"4","すべてのモンスターの物理/魔法防御力をアップさせる。","10405","防御力アップ","def_up"
"4","すべてのキャラの物理/魔法クリティカルをダウンさせる。","10406","クリティカルダウン","critical_down"
"4","すべてのキャラのＨＰ吸収をダウンさせる。","10407","ＨＰ吸収ダウン","life_steal_down"
"5","EXTREMEバトル時に一定確率で強敵が出現する。","10501","強敵出現","add_monster"
"5","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","10502","ダメージ減衰","damage_limit"
"5","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","10503","防御力（ダウン不可）アップ","def_lower_limit"
"5","すべてのモンスターが受けるダメージを一定値カットさせる。","10504","全ダメージカット","damage_cut"
"5","すべてのモンスターの与えるダメージをアップさせる。","10505","与ダメージアップ","damage_up"
"5","すべてのモンスターの物理/魔法防御力をアップさせる。","10506","防御力アップ","def_up"
"5","すべてのキャラの物理/魔法クリティカルをダウンさせる。","10507","クリティカルダウン","critical_down"
"5","すべてのキャラのＨＰ吸収をダウンさせる。","10508","ＨＰ吸収ダウン","life_steal_down"
"5","すべてのモンスターがＴＰダウンカット状態になる。","10509","ＴＰダウンカット","tp_down_cut"
"5","すべてのキャラのＨＰ回復量をダウンさせる。","10510","ＨＰ回復量ダウン","hp_recovery_down"
