f6b71bdf51c78cd924c9acbb7e2cae32878fb1c82b4a1f7d7dc97c5d15768cb1,9d5746cbe71bcfebcad750f3723a3bee51c5623af8900031ce3bd86e2244af88,3040749f0710a24874d74ee387e3448a5316ff99170bcb9b009bafc7e714632d,45a18e8c2c99ff904bdf72424f49dda8dcfaa0eb0ee0d78cddb13d60e9ccce66,d1b61cb6e187035dabbc9f19900305c95f13144ac6c9cbffa81b87d8e6bd5749,13b85438ea2d7fa5f7a12561552d35928761b551ee8f841a06f0c401a44778dd,69e6efd220a7f9fcfe51a07aa513592b9b9ee063a63a5cf9b1141096f3916b44,dc35b67a16673ab021ea5c6d3603eeff958677d04a715d14ab7eca64c66df8c7,849c30cc0e18d7def8f17d3d71c584b8d7458f7df51c86beec86d8d547ea628c,f886f6750696f92863ca8efafa86552e04e6651590e3f5976a50667cd4585d56,39eac80206849fd7afebcc69efa1f0cafe22585663dfea0f2c910a69597d0fb3
"1","72","1","-194","1","100","118511","1","taq_karin_idle","1.65","1001"
"","0","21","","1","0","vo_minigame_1009_top_001","vo_minigame_1009","","","1002"
"0","0","11","0","1","8","賞品も用意して\nいますので頑張って\nくださいね♪","118511","0","0","1003"
"","","3","","1","1","taq_karin_talk_normal","118511","","0.2","1004"
"","","91","","1","","","1003","","","1005"
"","","3","","1","1","taq_karin_idle","118511","","0.2","1006"
"1","72","1","-194","2","100","118511","1","taq_karin_idle","1.65","2001"
"","0","21","","2","0","vo_minigame_1009_top_002","vo_minigame_1009","","","2002"
"0","0","11","0","2","8","みなさんの知識が\n試されますよ","118511","0","0","2003"
"","","3","","2","1","taq_karin_talk_thinking","118511","","0.2","2004"
"","","91","","2","","","2003","","","2005"
"","","3","","2","1","taq_karin_idle","118511","","0.2","2006"
"1","72","1","-194","3","100","118511","1","taq_karin_idle","1.65","3001"
"","0","21","","3","0","vo_minigame_1009_top_003","vo_minigame_1009","","","3002"
"0","0","11","0","3","8","世の中にはまだまだ\n知らないことが\nたくさんあるんですね","118511","0","0","3003"
"","","3","","3","1","taq_karin_talk_surprise","118511","","0.2","3004"
"","","91","","3","","","3003","","","3005"
"","","3","","3","1","taq_karin_idle","118511","","0.2","3006"
"1","72","1","-194","4","100","118511","1","taq_karin_idle","1.65","4001"
"","0","21","","4","0","vo_minigame_1009_top_004","vo_minigame_1009","","","4002"
"0","0","11","0","4","8","わからないときは\n勘に頼ってみても\nいいと思います","118511","0","0","4003"
"","","3","","4","1","taq_karin_talk_normal2","118511","","0.2","4004"
"","","91","","4","","","4003","","","4005"
"","","3","","4","1","taq_karin_idle","118511","","0.2","4006"
"1","72","1","-194","5","100","118511","1","taq_karin_idle","1.65","5001"
"","0","21","","5","0","vo_minigame_1009_top_005","vo_minigame_1009","","","5002"
"0","0","11","0","5","7","仲よく協力して\n全問正解を\n目指してくださいね♪","118511","0","0","5003"
"","","3","","5","1","taq_karin_talk_joy3","118511","","0.2","5004"
"","","91","","5","","","5003","","","5005"
"","","3","","5","1","taq_karin_idle","118511","","0.2","5006"
