fd249122e9bd616731b94d7c1f4fbf53dd76ae54485e739f1cbfae729b3a635a,1309a17c7c7d424c0618ba1ded78d0e365ecdc75a4f27cdcce2b97ad6f80eb3d,5c11ccb6368254528758d07ad82c6c2d1c1c891ad2203a8cc69a7328cc999803,f6625e4bf745e7cfd7f8518213568607fb81d68b25c8aeb895577170d8fda566,9a1d4f53c39bcae7e312124dd24df50fed3e2bbff7d7966493287ff56c0818f3,cdcc68fafdbeac0a0540d614f66b6e9ceb37e0900f4787970ae9a6acc02f25eb,4bb16f442afe00f63630759a9d66705d08bfbfb2ebbb991f6a511927def088b3,de1e193853b386c90847d3405e99057a9dd141ccd87e7d4efa6e3cc7c5dfbbf2,c06925d6bc526d0019a9bb0ffd47344804c49850cea78bf4c91e51370a00fc5b,056adbe3956126d92307f2338e42c7f910a13b827edcfd40c74b35a9617518a0,ba41a547d17efc772cedfd27279354e364ab4c289e0082e96e0dd752f83aac13
"１戦目","1001","103624","100111","1001","1","bgm_MC294","bgm_MC294","78100111","90","78100111"
"２戦目","1001","103624","100112","1001","1","bgm_MC294","bgm_MC294","78100112","90","78100112"
"３戦目","1001","103624","100113","1001","1","bgm_MC294","bgm_MC294","78100113","90","78100113"
"４戦目","1001","103624","100114","1001","1","bgm_MC294","bgm_MC294","78100114","90","78100114"
"５戦目","1001","103624","100115","1001","2","bgm_MC295B","bgm_MC295B","78100115","90","78100115"
"１戦目","1001","103624","100121","1001","1","bgm_MC294","bgm_MC294","78100121","90","78100121"
"２戦目","1001","103624","100122","1001","1","bgm_MC294","bgm_MC294","78100122","90","78100122"
"３戦目","1001","103624","100123","1001","1","bgm_MC294","bgm_MC294","78100123","90","78100123"
"４戦目","1001","103624","100124","1001","1","bgm_MC294","bgm_MC294","78100124","90","78100124"
"５戦目","1001","103624","100125","1001","2","bgm_MC295B","bgm_MC295B","78100125","90","78100125"
"１戦目","1001","103624","100131","1001","1","bgm_MC294","bgm_MC294","78100131","90","78100131"
"２戦目","1001","103624","100132","1001","1","bgm_MC294","bgm_MC294","78100132","90","78100132"
"３戦目","1001","103624","100133","1001","1","bgm_MC294","bgm_MC294","78100133","90","78100133"
"４戦目","1001","103624","100134","1001","1","bgm_MC294","bgm_MC294","78100134","90","78100134"
"５戦目","1001","103624","100135","1001","2","bgm_MC295B","bgm_MC295B","78100135","90","78100135"
