5b5999a0682259b001f057d1a074e12c0ce2f8541b9b69e1f5a21009ccd0e080,71dba093a3613faa7d245be01508f365192df78eff2e0050f17b37abdcfcb6db,18fd870edd60472e978e1c0ec4faf3be4031713898650e88e07fc7317e24bdb8,f77c00d04bb166f55a081a44ba2116019811a5aed257ed3699634e49577afc8d,18fbb3de3848949b02cd7db7aeb6d2748ddfa02677adfefde9a0fbf67bba9b1c
"片手剣","#D23232","101","red","90009"
"両手剣","#D23232","102","red","90009"
"短剣","#D23232","103","red","90009"
"槍","#D23232","104","red","90009"
"斧","#D23232","105","red","90009"
"弓","#D23232","106","red","90009"
"拳","#D23232","107","red","90009"
"盾","#D23232","108","red","90009"
"杖","#D23232","109","red","90009"
"本","#D23232","110","red","90009"
"服","#476FD8","201","blue","90010"
"鎧","#476FD8","202","blue","90010"
"白ローブ","#476FD8","203","blue","90010"
"黒ローブ","#476FD8","204","blue","90010"
"指輪","#E5681E","301","yellow","90011"
"腕輪","#E5681E","302","yellow","90011"
"ネックレス","#E5681E","303","yellow","90011"
"宝珠","#E5681E","304","yellow","90011"
"イヤリング","#E5681E","305","yellow","90011"
