a12ad129881deb80a9389ff86eadbe342ccec35a63c84b70fc2b2d411bd674f7,763afc2ea7fabc6da56514c0ae1b5640150420bad2f6a419b6af8e0d4c614c5f,ac3acb08b7f26642f1bd84c016831580b12dda7369f9824cde2fb795f7dc1cbf,1702d3dd564c482914392f4b7069a801bf56aacfebb903a5a2922b33619043e4,189b4a526633ff4c0ab14219f3189926cf6b3f393fada7ed0d205d2c9a123c4f,85da1dca34d4d5cd0738bd9f0b5d9e2e1a258016322767c2a289c540fb631d81,0f462efc3d5ff6d820a377bd4fb7631aa47e98511612b7da27d8f601323f11e0,925a290a4a0e81cd23ad6f99961104a226501909541fd9bd1097b5267a0c93de,67d0bd4dd6f36ffb42408f837291fae0038edae6bf9c97107240e5b6986e7631
"100101","1","0","1001","10000","1001","100101","全難易度合計で10000pt獲得しよう","0"
"100102","1","0","1001","30000","1001","100102","全難易度合計で30000pt獲得しよう","0"
"100103","1","0","1001","50000","1001","100103","全難易度合計で50000pt獲得しよう","0"
"100104","1","0","1001","70000","1001","100104","全難易度合計で70000pt獲得しよう","0"
"100105","1","0","1001","90000","1001","100105","全難易度合計で90000pt獲得しよう","1"
"100106","1","0","1001","105000","1001","100106","全難易度合計で105000pt獲得しよう","1"
"100107","1","0","1001","120000","1001","100107","全難易度合計で120000pt獲得しよう","1"
"100108","1","0","1001","135000","1001","100108","全難易度合計で135000pt獲得しよう","1"
"100109","1","1","1002","0","1001","100109","難易度NORMAL1で1回戦おう","2"
"100110","1","1","1003","0","1001","100110","難易度NORMAL2で1回戦おう","2"
"100111","1","1","1004","0","1001","100111","難易度NORMAL3で1回戦おう","2"
"100112","1","1","1001","10000","1001","100112","難易度NORMALで10000pt獲得しよう","3"
"100113","1","1","1001","20000","1001","100113","難易度NORMALで20000pt獲得しよう","3"
"100114","1","1","1001","30000","1001","100114","難易度NORMALで30000pt獲得しよう","3"
"100115","1","2","1002","0","1001","100115","難易度HARD1で1回戦おう","4"
"100116","1","2","1003","0","1001","100116","難易度HARD2で1回戦おう","4"
"100117","1","2","1004","0","1001","100117","難易度HARD3で1回戦おう","4"
"100118","1","2","1001","15000","1001","100118","難易度HARDで15000pt獲得しよう","5"
"100119","1","2","1001","30000","1001","100119","難易度HARDで30000pt獲得しよう","5"
"100120","1","2","1001","45000","1001","100120","難易度HARDで45000pt獲得しよう","5"
"100121","1","3","1002","0","1001","100121","難易度EXTRA1で1回戦おう","6"
"100122","1","3","1003","0","1001","100122","難易度EXTRA2で1回戦おう","6"
"100123","1","3","1004","0","1001","100123","難易度EXTRA3で1回戦おう","6"
"100124","1","3","1001","20000","1001","100124","難易度EXTRAで20000pt獲得しよう","7"
"100125","1","3","1001","40000","1001","100125","難易度EXTRAで40000pt獲得しよう","7"
"100126","1","3","1001","60000","1001","100126","難易度EXTRAで60000pt獲得しよう","7"
"100201","1","0","1001","10000","1002","100201","全難易度合計で10000pt獲得しよう","0"
"100202","1","0","1001","30000","1002","100202","全難易度合計で30000pt獲得しよう","0"
"100203","1","0","1001","50000","1002","100203","全難易度合計で50000pt獲得しよう","0"
"100204","1","0","1001","70000","1002","100204","全難易度合計で70000pt獲得しよう","0"
"100205","1","0","1001","90000","1002","100205","全難易度合計で90000pt獲得しよう","1"
"100206","1","0","1001","105000","1002","100206","全難易度合計で105000pt獲得しよう","1"
"100207","1","0","1001","120000","1002","100207","全難易度合計で120000pt獲得しよう","1"
"100208","1","0","1001","135000","1002","100208","全難易度合計で135000pt獲得しよう","1"
"100209","1","1","1002","0","1002","100209","難易度NORMAL1で1回戦おう","2"
"100210","1","1","1003","0","1002","100210","難易度NORMAL2で1回戦おう","2"
"100211","1","1","1004","0","1002","100211","難易度NORMAL3で1回戦おう","2"
"100212","1","1","1001","10000","1002","100212","難易度NORMALで10000pt獲得しよう","3"
"100213","1","1","1001","20000","1002","100213","難易度NORMALで20000pt獲得しよう","3"
"100214","1","1","1001","30000","1002","100214","難易度NORMALで30000pt獲得しよう","3"
"100215","1","2","1002","0","1002","100215","難易度HARD1で1回戦おう","4"
"100216","1","2","1003","0","1002","100216","難易度HARD2で1回戦おう","4"
"100217","1","2","1004","0","1002","100217","難易度HARD3で1回戦おう","4"
"100218","1","2","1001","15000","1002","100218","難易度HARDで15000pt獲得しよう","5"
"100219","1","2","1001","30000","1002","100219","難易度HARDで30000pt獲得しよう","5"
"100220","1","2","1001","45000","1002","100220","難易度HARDで45000pt獲得しよう","5"
"100221","1","3","1002","0","1002","100221","難易度EXTRA1で1回戦おう","6"
"100222","1","3","1003","0","1002","100222","難易度EXTRA2で1回戦おう","6"
"100223","1","3","1004","0","1002","100223","難易度EXTRA3で1回戦おう","6"
"100224","1","3","1001","20000","1002","100224","難易度EXTRAで20000pt獲得しよう","7"
"100225","1","3","1001","40000","1002","100225","難易度EXTRAで40000pt獲得しよう","7"
"100226","1","3","1001","60000","1002","100226","難易度EXTRAで60000pt獲得しよう","7"
"100301","1","0","1001","10000","1003","100301","全難易度合計で10000pt獲得しよう","0"
"100302","1","0","1001","30000","1003","100302","全難易度合計で30000pt獲得しよう","0"
"100303","1","0","1001","50000","1003","100303","全難易度合計で50000pt獲得しよう","0"
