46af674ea10bd0343d9b37f14799bbf955f9e29e4f716664c3f0baae8457a449,29c1ced739c6db8a1f693008ca972880f01902ff3538c9fa74154239fa09e431,2eae6d934394e48be2c47b301c169af7527c0479d90666e56eacd62bcc32808b,73433cd4c19c77e4f78004145f4f89e1de2da92669343c75c3b5c200a989b583,180b82ddf36b8dda1a63fa2a9fe7654b4771b53842ba146db76ca629440437b7,76ddb1bda89c945c04aff82750a6289328ea57a40130e2dac4fc26551fb943a3
"2020/04/01","1002","6","0","1","10"
"2020/04/01 2:00:00","1002","2","120","2","10"
"2020/04/01 4:00:00","1002","2","120","3","10"
"2020/04/01 6:00:00","1002","2","120","4","10"
"2020/04/01 8:00:00","1002","2","120","5","10"
"2020/04/01 10:00:00","1002","2","120","6","10"
"2020/04/01 12:00:00","1002","2","120","7","10"
"2020/04/01 14:00:00","1002","2","120","8","10"
"2020/04/01 16:00:00","1002","2","120","9","10"
"2020/04/01 18:00:00","1002","2","120","10","10"
"2020/04/01 20:00:00","1002","2","120","11","10"
"2020/04/01 22:00:00","1002","2","120","12","10"
