7f2516069f95f8343af51c6122bb0a4bb2fced1155c3b5f0aa515b2ea0d30763,7667c5aaa3ff34657537678f31230150aee0bd1461a75a10f5b36285ac3f7a79,e8471256949a004d2b0b2611487841d677fa45837fd86096a10f91c90d5c546c,e184f171928b03f28ecc5c2db474623d171e662574e1152a200a9ca31af41ff0,59c2a237fa619dcdff21fcadba83f7facfaa08ee823dc8414122571ea3744e65,bfbe0a2210ae196b6fa9851f682cfe89294f8dcd3eb2ffd9aa786f0854758cc8,17cc822160801fc00c88d51c0b663c3af1f69c1901ec81567d10083623da7e79,ff962d7514f0c0e106e0ddac222693714addde0d3b3931e4c2b6857189c2fa08,cecfbfbaacaacd16b516aa9bc1a709d5ac047d1f05ecf6c01c825dd51becd940,5b93d210b2ceb0b0809345ea3e71d0175788f811c4f24119c4b77d73b135faa2,191592342bbdc2b2b1e7274072d33fe8979760167b03cc86f190f16057491987,c8cbcb30bba437d56f595afaab6b4ace6187d43752937f92629eb86363143d7e,93f80780c9c7e2bcc3fe2e9b6135a6147d32f2c6509f043d6582505001c13298,cf4a50babb1964641e87ba9033be3592eb3a9e45281bcf5970edf11797291891,5d517c3d10d1fc418d69d0f958178b76ae4e78322f3b557004e0f82d765bebe5
"1","100","-1","2023/09/15 14:59:59","96001","2023/06/30 12:00:00","10010001","-1","bgm_MC043","-1","2023/09/22 14:59:59","bgm_MC043","16","8","1"
"2","100","-1","2023/12/15 14:59:59","96002","2023/09/15 15:00:00","10020001","-1","bgm_MC043","-1","2023/12/22 14:59:59","bgm_MC043","16","8","1"
"3","100","-1","2024/03/15 14:59:59","96003","2023/12/15 15:00:00","10030001","-1","bgm_MC103","-1","2024/03/22 14:59:59","bgm_MC103","16","8","2"
"4","100","-1","2024/06/15 14:59:59","96004","2024/03/15 15:00:00","10040363","-1","bgm_MC103","-1","2024/06/22 14:59:59","bgm_MC103","16","8","2"
"5","500","-1","2024/09/15 14:59:59","96005","2024/06/15 15:00:00","10050001","-1","bgm_MC103","-1","2024/09/22 14:59:59","bgm_MC103","16","10","2"
"6","500","-1","2024/12/15 14:59:59","96006","2024/09/15 15:00:00","10060001","-1","bgm_MC103","-1","2024/12/22 14:59:59","bgm_MC103","16","10","2"
"7","1000","15","2025/03/15 14:59:59","96007","2024/12/15 15:00:00","10070363","15","bgm_MC211","5","2025/03/22 14:59:59","bgm_MC211","16","10","3"
"8","1000","15","2025/06/16 14:59:59","96008","2025/03/15 15:00:00","10080001","15","bgm_MC211","5","2025/06/23 14:59:59","bgm_MC211","16","10","3"
"9","1000","15","2025/09/16 14:59:59","96009","2025/06/16 15:00:00","10090001","15","bgm_MC211","5","2025/09/23 14:59:59","bgm_MC211","16","10","3"
"10","1000","15","2025/12/15 14:59:59","96010","2025/09/16 15:00:00","10100363","15","bgm_MC043","5","2025/12/22 14:59:59","bgm_MC043","16","10","1"
"11","1000","15","2026/03/16 11:59:59","96011","2025/12/15 15:00:00","10110001","15","bgm_MC043","5","2026/03/23 11:59:59","bgm_MC043","16","10","1"
