3cce80b5ef82ea08713bc3bdeecf69edd0da3015ac3455c3142bc8ac246a69ef,632f1d8c801cdb4bc4c60cb1fd662283955429d3c4412396c9e311478b203059,e5c152484c0e3aabc2ca09eeb18786e673b4baac056e83e69e8677de20b50d7f,1529d9dc2598fc30c629d1a9dcfebe589fb2aa95e020c2cab9f17a940a0e6a9a,426aa0d744ac59b19db28239010739919550d1cf9726276fe5dac577271dbab4
"1038","0","150","1","1"
"1038","0","151","2","2"
"1038","0","152","3","3"
"1038","0","153","4","4"
"1038","0","154","5","5"
"1039","0","156","1","6"
"1039","0","157","2","7"
"1039","0","158","3","8"
"1039","0","159","4","9"
"1039","0","160","5","10"
"1040","0","162","1","11"
"1040","0","163","2","12"
"1040","0","164","3","13"
"1040","0","165","4","14"
"1040","0","166","5","15"
"1041","0","168","1","16"
"1041","0","169","2","17"
"1041","0","170","3","18"
"1041","0","171","4","19"
"1041","0","172","5","20"
"1042","0","174","1","21"
"1042","0","175","2","22"
"1042","0","176","3","23"
"1042","0","177","4","24"
"1042","0","178","5","25"
"1043","0","180","1","26"
"1043","0","181","2","27"
"1043","0","182","3","28"
"1043","0","183","4","29"
"1043","0","184","5","30"
"1044","0","186","1","31"
"1044","0","187","2","32"
"1044","0","188","3","33"
"1044","0","189","4","34"
"1044","0","190","5","35"
"1045","0","192","1","36"
"1045","0","193","2","37"
"1045","0","194","3","38"
"1045","0","195","4","39"
"1045","0","196","5","40"
"1046","0","198","1","41"
"1046","0","199","2","42"
"1046","0","200","3","43"
"1046","0","201","4","44"
"1046","0","202","5","45"
"1047","0","204","1","46"
"1047","0","205","2","47"
"1047","0","206","3","48"
"1047","0","207","4","49"
"1047","0","208","5","50"
"1048","0","210","1","51"
"1048","0","211","2","52"
"1048","0","212","3","53"
"1048","0","213","4","54"
"1048","0","214","5","55"
"1049","0","216","1","56"
"1049","0","217","2","57"
"1049","0","218","3","58"
"1049","0","219","4","59"
"1049","0","220","5","60"
"1050","0","222","1","61"
"1050","0","223","2","62"
"1050","0","224","3","63"
"1050","0","225","4","64"
"1050","0","226","5","65"
"1051","0","228","1","66"
"1051","0","229","2","67"
"1051","0","230","3","68"
"1051","0","231","4","69"
"1051","0","232","5","70"
"1052","0","234","1","71"
"1052","0","235","2","72"
"1052","0","236","3","73"
"1052","0","237","4","74"
"1052","0","238","5","75"
"1053","0","240","1","76"
"1053","0","241","2","77"
"1053","0","242","3","78"
"1053","0","243","4","79"
"1053","0","244","5","80"
"1054","0","246","1","81"
"1054","0","247","2","82"
"1054","0","248","3","83"
"1054","0","249","4","84"
"1054","0","250","5","85"
"1055","0","252","1","86"
"1055","0","253","2","87"
"1055","0","254","3","88"
"1055","0","255","4","89"
"1055","0","256","5","90"
