eee4efe3e720aec1ed0c634be03c62facd8a2223387e5c4935f9f811a1ecc3ca,1aadb6a8ba6604d53f5330a29705244faec03036ea1fe24ebc035e6f7fba4942,3b19b79cbbf41b22ecf306e668a6dcdc2041f3dc93f0463e17392aa84d56e3c4,91a40c2f23f81346a498430e5fd833b681bf3d3cfdecacf4ec4a4242b6cc1cd0,2ef562a44edbebc3cf6a615eac8bafa60019487afbdc8e34f0d45e6d3bedc169,a33d65ba2e4fe1487db1665415cc051eaf630df699ae7b52badfa096d7f714d1,bd747a8215e29b60d3317505cc727e79f3861f29a835402758dceebe0e2c8e86,e18126caf048a16ca61484d698ea6fbacaaf0636b81bb26a835eac07c705b706,9acd864872198c952d7c08d5d8633e740610d5a6d5af4eaca6c93ee9cd323baf,8ed65a4a9ad00c19530fb0d9f16a6b11730af07d26b15ab4a1572266fd4dafb7,9cabeff58d1781446f30c3b9624c92a426d843c5d7528f7cbdaab1316adf542d
"1010001","1","omp_talk_worry","1","1","1500","1.8","-190","112511","0","-140"
"1010002","1","omp_idle_normal","1","1","1500","1.8","-190","112411","1","140"
"1010003","1","","31","1","0","1","1","1","","0"
"1010004","1","","93","1","","","","","",""
"1010005","vo_omp_7001","","21","1","0","","","vo_omp_7001_000","","0"
"1010006","112511","","11","1","10","","1","ウヅキ、大丈夫？\n夜営続きで疲れてない？","","1"
"1010007","0","","91","1","","","","","",""
"1010008","112511","","3","1","1","0","","omp_idle_worry","",""
"1010009","112411","","3","1","1","0","","omp_talk_joy1","",""
"1010010","vo_omp_7001","","21","1","0","","","vo_omp_7001_001","","0"
"1010011","112411","","11","1","10","","1","はい、大丈夫です！\nみんなと一緒に旅をするの\nとっても楽しいですし","","1"
"1010012","0","","91","1","","","","","",""
"1010013","112411","","3","1","1","0","","omp_psn_20","",""
"1010014","112511","","3","1","1","0","","omp_talk_normal","",""
"1010015","vo_omp_7001","","21","1","0","","","vo_omp_7001_002","","0"
"1010016","112511","","11","1","10","","1","そっか\nウヅキはどんなときも楽しそうだよね","","1"
"1010017","0","","91","1","","","","","",""
"1010018","112511","","3","1","1","0","","omp_idle_normal","",""
"1010019","112411","","3","1","1","0","","omp_talk_sad","",""
"1010020","vo_omp_7001","","21","1","0","","","vo_omp_7001_003","","0"
"1010021","112411","","11","1","10","","1","もしかして…\nリンちゃんは楽しくないですか？","","1"
"1010022","0","","91","1","","","","","",""
"1010023","112411","","3","1","1","0","","omp_idle_sad","",""
"1010024","112511","","3","1","0","0","1","omp_surprise","0.1","omp_idle_surprise1"
"1010025","vo_omp_7001","","21","1","0","","","vo_omp_7001_004","","0"
"1010026","112511","","11","1","10","","1","えっ？　どうして？\nそんなことないよ\n私も…すごく楽しい","","1"
"1010027","2.5","","93","1","","","","1","",""
"1010028","112511","","3","1","1","0.2","","omp_talk_normal","",""
"1010029","1010026","","91","1","","","","","",""
"1010030","112511","","3","1","1","0","","omp_idle_normal","",""
"1010031","112411","","3","1","1","0","","omp_talk_joy2","",""
"1010032","vo_omp_7001","","21","1","0","","","vo_omp_7001_005","","0"
"1010033","112411","","11","1","10","","1","えへへっ♪\nそれなら安心してください！\nリンちゃんが楽しいなら\n私も楽しいですから！","","1"
"1010034","0","","91","1","","","","","",""
"1010035","112511","","4","1","1","","","0","",""
"1010036","112411","","3","1","1","0","","omp_psn_20","",""
"1010037","112511","","3","1","1","0","","omp_idle_normal","",""
"1010038","vo_omp_7001","","21","1","0","","","vo_omp_7001_006","","0"
"1010039","112511","","11","1","10","","1","心配してたつもりなのに…\n私が励まされちゃった\nウヅキはやっぱりすごいな…","","1"
"1010040","0","","91","1","","","","","",""
"1010041","0.4","","93","1","","","","","",""
"1020001","1","omp_idle_normal","1","2","1600","1.8","-195","112511","0","-180"
"1020002","1","omp_talk_normal","1","2","1500","1.8","-190","112411","1","20"
"1020003","1","omp_idle_normal","1","2","1600","1.8","-205","112611","1","220"
"1020004","1","","31","2","0","1","1","1","","0"
"1020005","1","","93","2","","","","","",""
"1020006","vo_omp_7002","","21","2","0","","","vo_omp_7002_000","","0"
"1020007","112411","","11","2","10","","1","ペコリーヌちゃんの魔物料理、\n美味しかったですね♪","","1"
"1020008","0","","91","2","","","","","",""
"1020009","112411","","4","2","","","","0","",""
"1020010","112411","","3","2","1","0","","omp_idle_normal","",""
"1020011","112611","","3","2","1","0","","omp_talk_joy1","",""
"1020012","vo_omp_7002","","21","2","0","","","vo_omp_7002_001","","0"
"1020013","112611","","11","2","10","","1","うん！　美味しかったし\n冒険の醍醐味って感じがして…\nすごい経験しちゃったなって！","","1"
"1020014","0","","91","2","","","","","",""
"1020015","112611","","3","2","1","0","","omp_idle_joy1","",""
"1020016","112411","","3","2","1","0","","omp_talk_surprise1","",""
"1020017","vo_omp_7002","","21","2","0","","","vo_omp_7002_002","","0"
"1020018","112411","","11","2","10","","1","でも不思議ですよね\nあんな見た目の魔物が\nご馳走に変身しちゃうなんて！","","1"
"1020019","0","","91","2","","","","","",""
"1020020","112411","","4","2","","","","1","",""
"1020021","112411","","3","2","1","0","","omp_idle_surprise1","",""
"1020022","112511","","3","2","1","0","","omp_talk_normal","",""
"1020023","vo_omp_7002","","21","2","0","","","vo_omp_7002_003","","0"
"1020024","112511","","11","2","10","","1","全然想像できない味だったね\nいい意味で","","1"
"1020025","0","","91","2","","","","","",""
"1020026","112511","","3","2","1","0","","omp_talk_sad","",""
"1020027","vo_omp_7002","","21","2","0","","","vo_omp_7002_004","","0"
"1020028","112511","","11","2","10","","1","でも魔物が調理されてるところは\nまあ、何て言うか…","","1"
"1020029","0","","91","2","","","","","",""
"1020030","112511","","3","2","1","0","","omp_idle_sad","",""
"1020031","112411","","3","2","1","0","","omp_talk_bitter","",""
"1020032","vo_omp_7002","","21","2","0","","","vo_omp_7002_005","","0"
"1020033","112411","","11","2","10","","1","…す、すごかったですよね","","1"
"1020034","0","","91","2","","","","","",""
"1020035","112411","","3","2","1","0","","omp_idle_bitter","",""
"1020036","112611","","3","2","1","0","","omp_talk_joy1","",""
"1020037","vo_omp_7002","","21","2","0","","","vo_omp_7002_006","","0"
"1020038","112611","","11","2","10","","1","魔物料理は、おペコさんに\nまるっとお任せしちゃった方が\nいいかも。あはは～","","1"
"1020039","0","","91","2","","","","","",""
"1020040","112611","","3","2","1","0","","omp_idle_joy1","",""
"1020041","112511","","3","2","1","0","","omp_talk_bitter","",""
"1020042","vo_omp_7002","","21","2","0","","","vo_omp_7002_007","","0"
"1020043","112511","","11","2","10","","1","冒険って、奥が深いね…","","1"
"1020044","0","","91","2","","","","","",""
"1020045","0.4","","93","2","","","","","",""
"1030001","1","omp_talk_joy1","1","3","1500","1.8","-190","112411","0","-140"
"1030002","1","omp_idle_normal","1","3","1500","1.8","-190","112611","1","140"
"1030003","1","","31","3","0","1","1","1","","0"
"1030004","1","","93","3","","","","","",""
"1030005","vo_omp_7003","","21","3","0","","","vo_omp_7003_000","","0"
"1030006","112411","","11","3","10","","1","ミオちゃん！\nこのあたりっていろいろな\n魔物がいて楽しいですね！","","1"
"1030007","0","","91","3","","","","","",""
"1030008","112411","","3","3","1","0","","omp_psn_20","",""
"1030009","112611","","3","3","1","0","","omp_psn_19","",""
"1030010","vo_omp_7003","","21","3","0","","","vo_omp_7003_001","","0"
"1030011","112611","","11","3","10","","1","た、楽しいかな～？","","1"
"1030012","0","","91","3","","","","","",""
"1030013","112611","","3","3","1","0","","omp_psn_18","",""
"1030014","112411","","3","3","1","0","","omp_talk_joy1","",""
"1030015","vo_omp_7003","","21","3","0","","","vo_omp_7003_002","","0"
"1030016","112411","","11","3","10","","1","怖い魔物もたくさんいますけど\n探せばぴにゃこら太さんや\nプチグリフォンさんみたいに\nかわいい魔物もいると思うんですよね！","","1"
"1030017","0","","91","3","","","","","",""
"1030018","112411","","3","3","1","0","","omp_psn_20","",""
"1030019","112611","","3","3","1","0","","omp_talk_joy1","",""
"1030020","vo_omp_7003","","21","3","0","","","vo_omp_7003_003","","0"
"1030021","112611","","11","3","10","","1","そういうことか\nいや、ちょっとまって、しまむー\nプチグリフォンはかわいいかもだけど\nぴにゃこら太、かわいいかな～？","","1"
"1030022","1.5","","93","3","","","","1","",""
"1030023","112611","","3","3","1","0.2","","omp_psn_19","",""
"1030024","1030021","","91","3","","","","","",""
"1030025","112611","","3","3","1","0","","omp_psn_18","",""
"1030026","112411","","3","3","1","0","","omp_talk_joy1","",""
"1030027","vo_omp_7003","","21","3","0","","","vo_omp_7003_004","","0"
"1030028","112411","","11","3","10","","1","かわいいですよ～\n私たちの歌で、たくさんの\nぴにゃこら太さんを\n集められませんかね？","","1"
"1030029","0","","91","3","","","","","",""
"1030030","112411","","3","3","1","0","","omp_psn_20","",""
"1030031","112611","","3","3","1","0","","omp_psn_19","",""
"1030032","vo_omp_7003","","21","3","0","","","vo_omp_7003_005","","0"
"1030033","112611","","11","3","10","","1","いやー、どうだろう\nぴにゃこら太って\nオンリーワンみたいなところあるし…\nむしろオンリーワンであってほしいし…","","1"
"1030034","0","","91","3","","","","","",""
"1030035","112611","","3","3","1","0","","omp_psn_18","",""
"1030036","112411","","3","3","1","0","","omp_talk_joy2","",""
"1030037","vo_omp_7003","","21","3","0","","","vo_omp_7003_006","","0"
"1030038","112411","","11","3","10","","1","あっ、たしかにそうですね！\nまずは目の前のぴにゃこら太さんに\n認めてもらわなきゃですし♪","","1"
"1030039","0","","91","3","","","","","",""
"1030040","112411","","3","3","1","0","","omp_psn_20","",""
"1030041","112611","","3","3","1","0","","omp_talk_sad","",""
"1030042","vo_omp_7003","","21","3","0","","","vo_omp_7003_007","","0"
"1030043","112611","","11","3","10","","1","そういうことじゃないんだけど…\n集めるのあきらめてくれたなら\nまぁ、いっか！\nその調子で頑張ってこう、しまむー！","","1"
"1030044","6","","93","3","","","","1","",""
"1030045","112611","","3","3","1","0.2","","omp_talk_joy2","",""
"1030046","1030043","","91","3","","","","","",""
"1030047","112611","","3","3","1","0","","omp_idle_joy2","",""
"1030048","112411","","3","3","1","0","","omp_talk_joy2","",""
"1030049","vo_omp_7003","","21","3","0","","","vo_omp_7003_008","","0"
"1030050","112411","","11","3","10","","1","はい！\n一緒に頑張りましょう！","","1"
"1030051","0","","91","3","","","","","",""
"1030052","0.4","","93","3","","","","","",""
"1040001","1","omp_talk_normal","1","4","1600","1.8","-195","105831","0","-180"
"1040002","1","omp_idle_normal","1","4","1500","1.8","-190","105931","1","20"
"1040003","1","omp_idle_normal","1","4","1600","1.8","-205","106031","1","220"
"1040004","1","","31","4","0","1","1","1","","0"
"1040005","1","","93","4","","","","","",""
"1040006","vo_omp_7004","","21","4","0","","","vo_omp_7004_000","","0"
"1040007","105831","","11","4","10","","1","せっかくですから\nわたしたちもアイドルを\nしてみませんか？","","1"
"1040008","0","","91","4","","","","","",""
"1040009","105831","","3","4","1","0","","omp_idle_normal","",""
"1040010","105931","","3","4","1","0","","omp_talk_normal","",""
"1040011","vo_omp_7004","","21","4","0","","","vo_omp_7004_001","","0"
"1040012","105931","","11","4","10","","1","アイドルユニット\n【美食殿】でございますね\nとても楽しそうです","","1"
"1040013","0","","91","4","","","","","",""
"1040014","105931","","4","4","","","","0","",""
"1040015","105931","","3","4","1","0","","omp_idle_normal","",""
"1040016","106031","","3","4","0","0","1","omp_surprise","","omp_idle_surprise1"
"1040017","vo_omp_7004","","21","4","0","","","vo_omp_7004_002","","0"
"1040018","106031","","11","4","10","","1","えっ！？　ホントに…！？\nじゃ、じゃなくて\nバカじゃないのあんたたち！？","","1"
"1040019","2","","93","4","","","","1","",""
"1040020","106031","","3","4","1","0.1","","omp_talk_tsun","",""
"1040021","1040018","","91","4","","","","","",""
"1040022","106031","","3","4","1","0","","omp_talk_tsun","",""
"1040023","vo_omp_7004","","21","4","0","","","vo_omp_7004_003","","0"
"1040024","106031","","11","4","10","","1","あの３人を見て\nアイドルがどれだけ大変か\n分かんなかったっての？","","1"
"1040025","0","","91","4","","","","","",""
"1040026","106031","","3","4","1","0","","omp_idle_tsun","",""
"1040027","105931","","3","4","1","0","","omp_talk_worry","",""
"1040028","vo_omp_7004","","21","4","0","","","vo_omp_7004_004","","0"
"1040029","105931","","11","4","10","","1","それはそうでございますが…\n好奇心が勝ってしまいまして","","1"
"1040030","0","","91","4","","","","","",""
"1040031","105931","","4","4","","","","1","",""
"1040032","105931","","3","4","1","0","","omp_idle_worry","",""
"1040033","105831","","3","4","1","0","","omp_talk_joy1","",""
"1040034","vo_omp_7004","","21","4","0","","","vo_omp_7004_005","","0"
"1040035","105831","","11","4","10","","1","コッコロちゃんの言う通りですよ！\nさあ、決めポーズの練習をしましょう！\nいえーい！","","1"
"1040036","5.5","","93","4","","","","1","",""
"1040037","105831","","3","4","0","0.2","","omp_psn_11","",""
