e62354831f8dec89e482658b91cf78d185eeb2645f6e45d7eb466f4f725e52e3,1eb37656c3f4235fe7e6213f159addcdff2bae8f0f90c521b8ebd402519c17b2,17af78c25c2d5c5e4038753ead68c542f737fcfa8f8f067e0ce8ac3fcb57ae62,58f8da400765b8140a78cfc649d2315bd80b3c60d2f63c4e79fa95efbb0e0400,66b64395f394a1e4e27a5a7f0da5283ba4379c3b755b34a6a8136c081f4198a6
"100111","1","1","1001","1"
"100112","2","2","1001","1"
"100113","3","3","1001","1"
"100114","4","4","1001","1"
"100115","5","5","1001","1"
"100121","6","1","1001","2"
"100122","7","2","1001","2"
"100123","8","3","1001","2"
"100124","9","4","1001","2"
"100125","10","5","1001","2"
"100131","11","1","1001","3"
"100132","12","2","1001","3"
"100133","13","3","1001","3"
"100134","14","4","1001","3"
"100135","15","5","1001","3"
"100211","16","1","1002","1"
"100212","17","2","1002","1"
"100213","18","3","1002","1"
"100214","19","4","1002","1"
"100215","20","5","1002","1"
"100221","21","1","1002","2"
"100222","22","2","1002","2"
"100223","23","3","1002","2"
"100224","24","4","1002","2"
"100225","25","5","1002","2"
"100231","26","1","1002","3"
"100232","27","2","1002","3"
"100233","28","3","1002","3"
"100234","29","4","1002","3"
"100235","30","5","1002","3"
"100311","31","1","1003","1"
"100312","32","2","1003","1"
"100313","33","3","1003","1"
"100314","34","4","1003","1"
"100315","35","5","1003","1"
"100321","36","1","1003","2"
"100322","37","2","1003","2"
"100323","38","3","1003","2"
"100324","39","4","1003","2"
"100325","40","5","1003","2"
"100331","41","1","1003","3"
"100332","42","2","1003","3"
"100333","43","3","1003","3"
"100334","44","4","1003","3"
"100335","45","5","1003","3"
"100411","46","1","1004","1"
"100412","47","2","1004","1"
"100413","48","3","1004","1"
"100414","49","4","1004","1"
"100415","50","5","1004","1"
"100421","51","1","1004","2"
"100422","52","2","1004","2"
"100423","53","3","1004","2"
"100424","54","4","1004","2"
"100425","55","5","1004","2"
"100431","56","1","1004","3"
"100432","57","2","1004","3"
"100433","58","3","1004","3"
"100434","59","4","1004","3"
"100435","60","5","1004","3"
"100441","61","1","1004","4"
"100442","62","2","1004","4"
"100443","63","3","1004","4"
"100444","64","4","1004","4"
"100445","65","5","1004","4"
"100511","66","1","1005","1"
"100512","67","2","1005","1"
"100513","68","3","1005","1"
"100514","69","4","1005","1"
"100515","70","5","1005","1"
"100521","71","1","1005","2"
"100522","72","2","1005","2"
"100523","73","3","1005","2"
"100524","74","4","1005","2"
"100525","75","5","1005","2"
"100531","76","1","1005","3"
"100532","77","2","1005","3"
"100533","78","3","1005","3"
"100534","79","4","1005","3"
"100535","80","5","1005","3"
"100541","81","1","1005","4"
"100542","82","2","1005","4"
"100543","83","3","1005","4"
"100544","84","4","1005","4"
"100545","85","5","1005","4"
"100611","86","1","1006","1"
"100612","87","2","1006","1"
"100613","88","3","1006","1"
"100614","89","4","1006","1"
"100615","90","5","1006","1"
"100621","91","1","1006","2"
"100622","92","2","1006","2"
"100623","93","3","1006","2"
"100624","94","4","1006","2"
"100625","95","5","1006","2"
"100631","96","1","1006","3"
"100632","97","2","1006","3"
"100633","98","3","1006","3"
"100634","99","4","1006","3"
"100635","100","5","1006","3"
"100641","101","1","1006","4"
"100642","102","2","1006","4"
"100643","103","3","1006","4"
"100644","104","4","1006","4"
"100645","105","5","1006","4"
"100711","106","1","1007","1"
"100712","107","2","1007","1"
"100713","108","3","1007","1"
"100714","109","4","1007","1"
"100715","110","5","1007","1"
"100721","111","1","1007","2"
"100722","112","2","1007","2"
"100723","113","3","1007","2"
"100724","114","4","1007","2"
"100725","115","5","1007","2"
"100731","116","1","1007","3"
"100732","117","2","1007","3"
"100733","118","3","1007","3"
"100734","119","4","1007","3"
"100735","120","5","1007","3"
"100741","121","1","1007","4"
"100742","122","2","1007","4"
"100743","123","3","1007","4"
"100744","124","4","1007","4"
"100745","125","5","1007","4"
