b3a11e4643ce5c94e84e31937ebe67f5d98140afa1c876079251b837e485064d,fb48158719cefc11b0498e74471b943ae5d6c1ffe9b2118133001932ea31b3e5,5cfa0cd2b444876e5560d075913ae40c0669f13ec3e42be7df79268fd3518bce,b48c775b842ea9590474756f06c04b1b9be09927d9cfa53d3a56d86ce1391f5c,d93ee2d61187660ca0fdf039498206f8baaa6e5c7f6851f8163d296089d0b1b6,77c66a8dd94fc5616ba5ed6be9d4fea80ad724eff3cb75a05cba2ca002869c5e,61946a55e454be327a43e565ac12c838ceb31144d7fdf43db5982b83c5cabf13,81f7b8ee7dfbed7bec127a73865987b3a2ca92c735fddfe9e77b28348127d476
"1","1","1","21952","20000","2","96001","1"
"1","2","1","21904","10000","2","96001","1"
"1","3","1","41000","10000","2","96001","1"
"5","4","5","31803","2000","2","96001","1"
"5","5","5","31215","1500","2","96001","1"
"5","6","5","31210","1500","2","96001","1"
"5","7","5","31211","1500","2","96001","1"
"10","8","5","90005","1250","2","96001","1"
"20","9","10","140001","500","4","96001","1"
"10","10","5","25001","500","2","96001","1"
"5","11","5","150003","100","4","96001","1"
"5","12","5","150004","130","4","96001","1"
"5","13","5","150005","150","4","96001","1"
"5","14","5","150006","180","4","96001","1"
"5","15","5","150007","200","4","96001","1"
"5","16","5","150008","230","4","96001","1"
"5","17","100","20004","500","2","96001","1"
"5","18","100","22003","200","2","96001","1"
"0","19","100","20004","1000","2","96001","1"
"0","20","100","22003","400","2","96001","1"
"1","21","1","21952","20000","2","96002","2"
"1","22","1","21904","10000","2","96002","2"
"1","23","1","41000","10000","2","96002","2"
"5","24","5","31233","1500","2","96002","2"
"5","25","5","31229","1500","2","96002","2"
"5","26","5","31225","1500","2","96002","2"
"10","27","5","90005","1250","2","96002","2"
"20","28","10","140001","500","4","96002","2"
"10","29","5","25001","500","2","96002","2"
"5","30","5","150003","100","4","96002","2"
"5","31","5","150004","130","4","96002","2"
"5","32","5","150005","150","4","96002","2"
"5","33","5","150006","180","4","96002","2"
"5","34","5","150007","200","4","96002","2"
"5","35","5","150008","230","4","96002","2"
"5","36","100","20004","500","2","96002","2"
"5","37","100","22003","200","2","96002","2"
"0","38","100","20004","1000","2","96002","2"
"0","39","100","22003","400","2","96002","2"
"1","40","1","21952","20000","2","96003","3"
"1","41","1","21905","10000","2","96003","3"
"1","42","1","41000","10000","2","96003","3"
