0d90ff76f2f29b6a7f879f7130e9a67bee887af1caf49e9f2f3c003bf79a34a7,4ce297aef8aaf458f6824d382da9e9ca2f6f2c3a4113771d4ea3edb7c2f4cb4a,50fc3f1ceda12809d0edef479aebada94750edc34fb39b00e5b2d64ede866f69,3c96dd3052527aba5c72b1d64e0240a3593a157718548edbe0914697d2a91302,45f67c5e81ff5e6cbeb00f3dd3e9219785e91a3e93e58b6b35d9a7c1a66ba4df
"2","320001011","32000101","1000","25011"
"2","320001012","32000101","1000","25012"
"2","320001021","32000102","1000","25013"
"2","320001022","32000102","1000","25014"
"8","320001031","32000103","1000","91002"
"12","320001032","32000103","3000000","94002"
"2","320001033","32000103","1000","25015"
"2","320001034","32000103","1000","25021"
"2","320001041","32000104","1000","25013"
"2","320001042","32000104","1000","25014"
"2","320001051","32000105","1000","25012"
"2","320001052","32000105","1000","25015"
"8","320001061","32000106","1000","91002"
"12","320001062","32000106","3000000","94002"
"2","320001063","32000106","1000","25011"
"2","320001064","32000106","1000","25021"
"2","320001071","32000107","1000","25014"
"2","320001072","32000107","1000","25015"
"2","320001081","32000108","1000","25011"
"2","320001082","32000108","1000","25013"
"8","320001091","32000109","1000","91002"
"12","320001092","32000109","3000000","94002"
"2","320001093","32000109","1000","25012"
"2","320001094","32000109","1000","25021"
"2","320001101","32000110","3000","25011"
"2","320001102","32000110","3000","25012"
"2","320001103","32000110","3000","25013"
"2","320001104","32000110","3000","25014"
"2","320001105","32000110","3000","25015"
"2","320001111","32000111","3000","25011"
"2","320001112","32000111","3000","25012"
"2","320001113","32000111","3000","25013"
"2","320001114","32000111","3000","25014"
"2","320001115","32000111","3000","25015"
"2","320001121","32000112","3000","25011"
"2","320001122","32000112","3000","25012"
"2","320001123","32000112","3000","25013"
"2","320001124","32000112","3000","25014"
"2","320001125","32000112","3000","25015"
"2","320001131","32000113","1","21953"
"2","320001132","32000113","2000","25021"
