1cb50f3ee9beda92a220b573eba7752616387c05ead8bf0bcf9fa974396d0b76,e332b51e3de784a11281c9e42e1c981385c25f2f242cf87d02ffb69e8b0c276b,f911cce64dd1817b1bf94421e013f7e4bf70ca55526718aa5796e0beb55315cb
"100101","1","1"
"100201","1","1"
"100301","1","1"
"100401","1","1"
"102101","1","1"
"102201","1","1"
"102501","1","1"
"103401","1","1"
"104001","1","1"
"105001","1","1"
"105201","1","1"
"105801","1","1"
"105901","1","1"
"106001","1","1"
"100601","1","2"
"100701","1","2"
"100801","1","2"
"101301","1","2"
"101601","1","2"
"101701","1","2"
"102001","1","2"
"102301","1","2"
"102701","1","2"
"103101","1","2"
"103301","1","2"
"103801","1","2"
"104201","1","2"
"104501","1","2"
"104601","1","2"
"104801","1","2"
"105101","1","2"
"102601","1","2"
"101501","1","2"
"105401","1","2"
"100501","1","2"
"100901","1","3"
"101001","1","3"
"101101","1","3"
"101201","1","3"
"101801","1","3"
"102801","1","3"
"102901","1","3"
"103001","1","3"
"103201","1","3"
"104301","1","3"
"104901","1","3"
"105301","1","3"
"105701","1","3"
"104701","1","3"
"106301","1","3"
"103601","1","3"
"104401","1","3"
"103701","1","3"
"105601","1","3"
"107101","1","3"
