3f3276d07cff522f0a50a8f704d148b1f4351de85f6cd45dbe173312874b04c3,5a36ce9895b3636604e7eac58e1ed459ed0f39d05de572bbca9200e6fd119977,20aa2431e1832a94c8d2a9fba45de7a9f9737577f39b0eb09ee9fe9eddfd22ed,a926532bef2a16d70b7e3224f9a76633001520b0243ba4cd88b7351e4fe112a9,4de03be2a404d285dde70132debd67ed3c146ec180dd348178eca4dc67ad6b51,da71ec1e325e665062c9b4a0787c723a01dea2e990a923fa8cf430059b679c34,5835227f158235c071b964ed9077cd6dc08ce31c6e665c5940936b1be1b5faee
"8","2500","91002","1","101","10","累計スコアを2500pt 獲得しよう"
"8","5000","91002","1","102","10","累計スコアを5000pt 獲得しよう"
"8","10000","91002","1","103","10","累計スコアを10000pt 獲得しよう"
"8","12500","91002","1","104","10","累計スコアを12500pt 獲得しよう"
"8","15000","91002","1","105","10","累計スコアを15000pt 獲得しよう"
"8","20000","91002","1","106","10","累計スコアを20000pt 獲得しよう"
"8","25000","91002","1","107","10","累計スコアを25000pt 獲得しよう"
"8","30000","91002","1","108","10","累計スコアを30000pt 獲得しよう"
"8","35000","91002","1","109","10","累計スコアを35000pt 獲得しよう"
"8","40000","91002","1","110","10","累計スコアを40000pt 獲得しよう"
"8","45000","91002","1","111","10","累計スコアを45000pt 獲得しよう"
"15","50000","11001302","1","112","1","累計スコアを50000pt 獲得しよう"
"8","2500","91002","2","201","10","累計スコアを2500pt 獲得しよう"
"8","5000","91002","2","202","10","累計スコアを5000pt 獲得しよう"
"8","10000","91002","2","203","10","累計スコアを10000pt 獲得しよう"
"8","12500","91002","2","204","10","累計スコアを12500pt 獲得しよう"
"8","15000","91002","2","205","10","累計スコアを15000pt 獲得しよう"
"8","20000","91002","2","206","10","累計スコアを20000pt 獲得しよう"
"8","25000","91002","2","207","10","累計スコアを25000pt 獲得しよう"
"8","30000","91002","2","208","10","累計スコアを30000pt 獲得しよう"
"8","35000","91002","2","209","10","累計スコアを35000pt 獲得しよう"
"8","40000","91002","2","210","10","累計スコアを40000pt 獲得しよう"
"8","45000","91002","2","211","10","累計スコアを45000pt 獲得しよう"
"15","50000","11001303","2","212","1","累計スコアを50000pt 獲得しよう"
