0bcb20cca80c1981677b6272da4161bbf936fab113867b1e1050db1e0b9d7fba,be65790813ebf81c9d15c95ec50a8f00a59fe0ee274f50753e8ba69ad7685485,f3d5eac89eeff4e34a6c69718ff748dd1d519ba168eed411b06b4b0464a3fb2e,6bbe7609b431d357d705c3e27e31959d1e5f40444b992c2ddb4b42ce2be5545a,80fb4e9518ea1f4bea2f54188865e8d3b17b9af48a35060f6f32fe45a4ccb5eb,b3be32b8450c1424e0dcb79b504c70415f3a4905a966b2cc03f99d42e750ca06
"3001","212","1","211","2146041","803100263"
"3002","212","1","211","2146042","803100263"
"3003","212","1","211","2146043","803100263"
"3004","212","1","211","2146044","803100263"
"3006","212","1","213","2147041","803100272"
"3007","212","1","213","2147042","803100272"
"30011","313","1","202","2145039","803100253"
"30012","302","0","105","2145040","803100253"
"30021","311","1","204","2145069","803100256"
"30022","312","1","205","2145070","803100256"
"30031","310","1","212","2145099","803100259"
"30032","301","0","107","2145100","803100259"
"30041","307","0","110","2146039","803100262"
"30042","302","0","105","2146040","803100262"
"30051","314","1","203","2146081","803100267"
"30061","312","1","205","2147019","803100269"
"30062","303","0","106","2147020","803100269"
"30071","313","1","202","2147039","803100271"
"30072","310","1","212","2147040","803100271"
"300101","100","0","104","2145011","803100251"
"300102","100","0","104","2145012","803100251"
"300103","102","0","105","2145013","803100251"
"300104","100","0","104","2145014","803100251"
"300105","102","0","105","2145015","803100251"
"300106","103","0","106","2145016","803100251"
"300107","102","0","105","2145017","803100251"
"300108","103","0","106","2145018","803100251"
"300109","111","1","204","2145019","803100251"
"300110","100","0","104","2145020","803100251"
"300111","100","0","104","2145021","803100252"
"300112","102","0","105","2145022","803100252"
"300113","100","0","104","2145023","803100252"
"300114","102","0","105","2145024","803100252"
"300115","103","0","106","2145025","803100252"
"300116","102","0","105","2145026","803100252"
"300117","103","0","106","2145027","803100252"
"300118","111","1","204","2145028","803100252"
"300119","100","0","104","2145029","803100252"
"300120","100","0","104","2145030","803100252"
"300121","102","0","105","2145031","803100253"
"300122","100","0","104","2145032","803100253"
"300123","102","0","105","2145033","803100253"
"300124","112","1","208","2145034","803100253"
"300125","110","1","212","2145035","803100253"
"300126","100","0","104","2145036","803100253"
"300127","102","0","105","2145037","803100253"
"300128","103","0","106","2145038","803100253"
"300201","101","0","107","2145041","803100254"
"300202","101","0","107","2145042","803100254"
"300203","102","0","105","2145043","803100254"
"300204","103","0","106","2145044","803100254"
"300205","113","1","202","2145045","803100254"
"300206","114","1","203","2145046","803100254"
"300207","101","0","107","2145047","803100254"
"300208","113","1","202","2145048","803100254"
"300209","114","1","203","2145049","803100254"
"300210","101","0","107","2145050","803100254"
"300211","101","0","107","2145051","803100255"
"300212","102","0","105","2145052","803100255"
"300213","103","0","106","2145053","803100255"
"300214","113","1","202","2145054","803100255"
"300215","114","1","203","2145055","803100255"
"300216","101","0","107","2145056","803100255"
"300217","113","1","202","2145057","803100255"
"300218","114","1","203","2145058","803100255"
"300219","101","0","107","2145059","803100255"
"300220","101","0","107","2145060","803100255"
"300221","102","0","105","2145061","803100256"
"300222","103","0","106","2145062","803100256"
"300223","101","0","107","2145063","803100256"
"300224","112","1","208","2145064","803100256"
"300225","110","1","212","2145065","803100256"
"300226","102","0","105","2145066","803100256"
"300227","103","0","106","2145067","803100256"
"300228","101","0","107","2145068","803100256"
"300301","100","0","104","2145071","803100257"
"300302","101","0","107","2145072","803100257"
"300303","101","0","107","2145073","803100257"
"300304","113","1","202","2145074","803100257"
"300305","114","1","203","2145075","803100257"
"300306","100","0","104","2145076","803100257"
"300307","101","0","107","2145077","803100257"
"300308","111","1","204","2145078","803100257"
"300309","112","1","205","2145079","803100257"
"300310","100","0","104","2145080","803100257"
"300311","101","0","107","2145081","803100258"
"300312","101","0","107","2145082","803100258"
"300313","113","1","202","2145083","803100258"
"300314","114","1","203","2145084","803100258"
"300315","100","0","104","2145085","803100258"
"300316","101","0","107","2145086","803100258"
"300317","111","1","204","2145087","803100258"
"300318","112","1","205","2145088","803100258"
"300319","100","0","104","2145089","803100258"
"300320","101","0","107","2145090","803100258"
"300321","100","0","104","2145091","803100259"
"300322","101","0","107","2145092","803100259"
"300323","113","1","202","2145093","803100259"
"300324","112","1","208","2145094","803100259"
"300325","100","0","104","2145095","803100259"
"300326","101","0","107","2145096","803100259"
"300327","111","1","204","2145097","803100259"
"300328","112","1","205","2145098","803100259"
"300401","102","0","105","2146011","803100260"
"300402","102","0","105","2146012","803100260"
"300403","113","1","202","2146013","803100260"
"300404","114","1","203","2146014","803100260"
"300405","102","0","105","2146015","803100260"
"300406","113","1","202","2146016","803100260"
"300407","114","1","203","2146017","803100260"
"300408","102","0","105","2146018","803100260"
"300409","102","0","105","2146019","803100260"
"300410","102","0","105","2146020","803100260"
"300411","102","0","105","2146021","803100261"
"300412","113","1","202","2146022","803100261"
"300413","114","1","203","2146023","803100261"
"300414","102","0","105","2146024","803100261"
"300415","113","1","202","2146025","803100261"
"300416","114","1","203","2146026","803100261"
"300417","102","0","105","2146027","803100261"
"300418","102","0","105","2146028","803100261"
"300419","113","1","202","2146029","803100261"
"300420","113","1","202","2146030","803100261"
"300421","113","1","202","2146031","803100262"
"300422","114","1","203","2146032","803100262"
"300423","102","0","105","2146033","803100262"
"300424","112","1","208","2146034","803100262"
"300425","110","1","212","2146035","803100262"
"300426","113","1","202","2146036","803100262"
"300427","113","1","202","2146037","803100262"
"300428","102","0","105","2146038","803100262"
"300501","100","0","104","2146051","803100264"
"300502","100","0","104","2146052","803100264"
"300503","100","0","104","2146053","803100264"
"300504","100","0","104","2146054","803100264"
"300505","102","0","105","2146055","803100264"
"300506","103","0","106","2146056","803100264"
"300507","100","0","104","2146057","803100264"
"300508","100","0","104","2146058","803100264"
"300509","102","0","105","2146059","803100264"
"300510","103","0","106","2146060","803100264"
"300511","100","0","104","2146061","803100265"
"300512","100","0","104","2146062","803100265"
"300513","100","0","104","2146063","803100265"
"300514","100","0","104","2146064","803100265"
"300515","102","0","105","2146065","803100265"
"300516","103","0","106","2146066","803100265"
"300517","100","0","104","2146067","803100265"
"300518","100","0","104","2146068","803100265"
"300519","102","0","105","2146069","803100265"
"300520","103","0","106","2146070","803100265"
"300521","100","0","104","2146071","803100266"
"300522","100","0","104","2146072","803100266"
"300523","113","1","202","2146073","803100266"
"300524","114","1","203","2146074","803100266"
"300525","100","0","104","2146075","803100266"
"300526","112","1","208","2146076","803100266"
"300527","110","1","212","2146077","803100266"
"300528","113","1","202","2146078","803100266"
"300529","114","1","203","2146079","803100266"
"300530","100","0","104","2146080","803100266"
"300601","114","1","203","2146091","803100268"
"300602","113","1","202","2146092","803100268"
"300603","102","0","105","2146093","803100268"
"300604","114","1","203","2146094","803100268"
"300605","103","0","106","2146095","803100268"
"300606","114","1","203","2146096","803100268"
"300607","111","1","204","2146097","803100268"
"300608","114","1","203","2146098","803100268"
"300609","113","1","202","2146099","803100268"
"300610","102","0","105","2146100","803100268"
"300611","114","1","203","2147011","803100269"
"300612","103","0","106","2147012","803100269"
"300613","114","1","203","2147013","803100269"
"300614","111","1","204","2147014","803100269"
"300615","110","1","212","2147015","803100269"
"300616","114","1","203","2147016","803100269"
"300617","102","0","105","2147017","803100269"
"300618","103","0","106","2147018","803100269"
"300701","111","1","204","2147021","803100270"
"300702","100","0","104","2147022","803100270"
"300703","101","0","107","2147023","803100270"
"300704","113","1","202","2147024","803100270"
"300705","114","1","203","2147025","803100270"
"300706","102","0","105","2147026","803100270"
"300707","112","1","205","2147027","803100270"
"300708","111","1","204","2147028","803100270"
"300709","100","0","104","2147029","803100270"
"300710","101","0","107","2147030","803100270"
"300711","113","1","202","2147031","803100271"
"300712","114","1","203","2147032","803100271"
"300713","102","0","105","2147033","803100271"
"300714","112","1","205","2147034","803100271"
"300715","107","0","110","2147035","803100271"
"300716","111","1","204","2147036","803100271"
"300717","100","0","104","2147037","803100271"
"300718","101","0","107","2147038","803100271"
