e7a51150f86589c5d5ab0814cd3251f62c4093163a0f7c4403a68a2be29c28ce,dd0e5d6c204be8fe7df9835923bc765d219b9aa32ec73b3f672026b9199714e1,190438667c1e0710833760985361b5bd838cf27509084377bd4d3396f8888ace,ae3e830d394965ab28e4fee100fe23df9787d5e0c851d3bb87e14cb28cb74d0b,ac3bb31751b2a5d87a232e3e19613805747e352f40ee7d0c56ce5b48037ef7b7,cbfad4a688983af19119f929181111b12362f54233d726ff100ebf65dc63044d,a2b596af1f9a7386a5fb647330413e1a4e62c2f76b935a34f8f625b10cbcf258,aaf18c74c93fc8c5ebce6bd8ca70efc727ef5d7e047b9d4d0036c9dbd2203960,64996e2571ae55be8feffa4cd2a3506b7bff81f153e4ad8128c2f17583885fac,8876540525a3650113f4cd468e3a194e35eb181188b85097d400850445e4f22a,805de2e81a0506c7e325f9b42ccbba00fcbb583e5aa398a5dac4b38ef2ff726e,c3e6c0191f81e95bb5d8aed9fa07b83c3bad070023233551c7d39a156f467640,f5a6f87e58bf5bda998117dd4e3e41bb6f951983e2ccd05940dd8294704f0e15
"ろすとぷりんせす","1","20","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-01/1361481742?app=itunes","-1","1","-1","Lost Princess","","","2018-10-18 15:00:00","A2001197329/"
"こねくてぃんぐはっぴー","2","17","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-02/1361483195?app=itunes","-1","2","-1","Connecting Happy！！","","","2018-10-18 15:00:00","A2001197334/"
"たびのはじまり","3","20","","","-1","3","1000","旅の始まり","","","2018-10-18 15:00:00",""
"もりをかけるかぜ","4","20","","","-1","4","1000","森を駆ける風","","","2018-10-18 15:00:00",""
"めさるてぃむ","5","20","","","-1","5","1000","メサルティム","","","2018-10-18 15:00:00",""
"はつねのぷれぜんとだいさくせん","6","20","","","-1","6","1000","ハツネのプレゼント大作戦","","","2018-10-18 15:00:00",""
"じず","7","20","","","-1","7","1000","ジズ","","","2018-10-18 15:00:00",""
"すまいりーこんとらすと","8","20","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-04/1411112401?app=itunes","-1","8","1500","Smiley Contrast","","","2018-10-18 15:00:00","A2001305115/"
"みのたうろす","9","20","","","-1","9","1000","ミノタウロス","","","2018-10-18 15:00:00",""
"りとるりりかるあどべんちゃーず","10","20","","","-1","10","1000","リトル・リリカル・アドベンチャーズ","","","2018-10-18 15:00:00",""
"あるま","11","20","","","-1","11","1000","アルマ","","","2018-10-18 15:00:00",""
"りとるあどべんちゃー","12","18","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-05/1436280052?app=itunes","-1","12","1500","リトルアドベンチャー","","","2018-10-18 15:00:00","A2001336697/"
"ぐらっとん","13","20","","","-1","13","1000","グラットン","","","2018-10-18 15:00:00",""
"とりっくおあぷりんやくそくのはろうぃんぱーてぃー","14","20","","","-1","14","1000","トリックオアプリン！約束のハロウィンパーティー","","","2018-10-18 15:00:00",""
"じゃっくおーぷりん","15","17","","","-1","15","1000","ジャック・オー・プリン","","","2018-10-18 15:00:00",""
"もっとふたりのぱーてぃーないと","16","20","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-07/1450772144?app=itunes","-1","16","1500","もっと！ふたりのパ～ティ～ナイト","","","2018-10-18 15:00:00","A2001411119/"
"かがようこおりのけっしょう","17","20","","","-1","17","1000","耀う氷の結晶","","","2018-10-18 15:00:00",""
"しゃいにんぐふゅーちゃー","18","20","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-03/1386518679?app=itunes","3010003","18","1500","Shining Future","","","2018-11-19 15:00:00","A2001253711/"
"かぜへのちかい","19","20","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-03/1386518679?app=itunes","3010003","19","1500","風への誓い","","","2018-11-19 15:00:00","A2001253711/"
"きみのえがおがみたいから","20","18","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-04/1411112401?app=itunes","3010003","20","1500","君の笑顔が見たいから","","","2018-11-19 15:00:00","A2001305115/"
"あまのじゃくはーと","21","18","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-05/1436280052?app=itunes","1054007","21","1500","アマノジャクハート！","","","2018-11-19 15:00:00","A2001336697/"
"ふおんなくうきとたちむかうとうし","22","20","","","-1","22","1000","不穏な空気と立ち向かう闘志","","","2018-11-19 15:00:00",""
"ついんぴっぐす","23","20","","","-1","23","1000","ツインピッグス","","","2018-11-19 15:00:00",""
"ヴぁんぱいあはんたーうぃずいりや","24","20","","","-1","24","1000","ヴァンパイアハンターwithイリヤ","","","2018-11-19 15:00:00",""
"がるぐ","25","20","","","-1","25","1000","ガルグ","","","2018-11-19 15:00:00",""
"ぴーすふるちゃんぷるー","26","20","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-09/1474199447?app=itunes","-1","26","1500","Peaceful*ちゃんぷるー","","","2018-11-19 15:00:00","A2001552686/"
"れさとぱると","27","20","","","-1","27","1000","レサトパルト","","","2018-11-19 15:00:00",""
"とわいらいとぶれいかーず","28","20","","","-1","28","1000","トワイライトブレイカーズ","","","2018-11-19 15:00:00",""
"おらむ","29","20","","","-1","29","1000","オラム","","","2018-11-19 15:00:00",""
"さいつよでしょでしょ","30","20","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-08/1465192235?app=itunes","-1","30","1500","サイツヨでしょ、でしょ？","","","2018-11-19 15:00:00","A2001502066/"
"ひょうかいのち","31","20","","","-1","31","1000","氷海の地","","","2018-11-19 15:00:00",""
"こおりとゆきのせかい","32","20","","","-1","32","1000","氷と雪の世界","","","2018-12-19 15:00:00",""
"さわやかなかぜ","33","20","","","-1","33","1000","爽やかな風","","","2018-12-19 15:00:00",""
"かるきのす","34","20","","","-1","34","1000","カルキノス","","","2018-12-19 15:00:00",""
"でんじゃらすばかんすなぎさのぐるめぷりんせす","35","20","","","-1","35","1000","デンジャラスバカンス！渚のグルメプリンセス","","","2018-12-19 15:00:00",""
"てんたぱす","36","20","","","-1","36","1000","テンタパス","","","2018-12-19 15:00:00",""
"えがおのまいほーむ","37","20","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-02/1361483195?app=itunes","-1","37","1500","えがおのマイホーム","","","2018-12-19 15:00:00","A2001197334/"
"さじたりうす","38","20","","","-1","38","1000","サジタリウス","","","2018-12-19 15:00:00",""
"ぼうきゃくのきゃろる","39","20","","","-1","39","1000","忘却のキャロル","","","2018-12-19 15:00:00",""
"ふぉぎー","40","20","","","-1","40","1000","フォギー","","","2018-12-19 15:00:00",""
"でぃんどんほーりーないと","41","20","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-07/1450772144?app=itunes","-1","41","1500","Ding Dong Holy Night♪","","","2018-12-19 15:00:00","A2001411119/"
"けわしきかんこうげん","42","20","","","-1","42","1000","険しき乾荒原","","","2019-01-18 15:00:00",""
"おるれおん","43","20","","","-1","43","1000","オルレオン","","","2019-01-18 15:00:00",""
"たまきとみふゆのむじんとうぜろるぴせいかつ","44","20","","","-1","44","1000","タマキとミフユの無人島0ルピ生活","","","2019-01-18 15:00:00",""
"しまくじら","45","20","","","-1","45","1000","島クジラ","","","2019-01-18 15:00:00",""
"きんきらはぴねす","46","18","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-06/1444266694?app=itunes","-1","46","1500","キンキラ☆ハピネス！","","","2019-01-18 15:00:00","A2001372582/"
"あらたなふなで","47","20","","","-1","47","1000","新たな船出","","","2019-01-18 15:00:00",""
"あるげてぃ","48","20","","","-1","48","1000","アルゲティ","","","2019-01-18 15:00:00",""
"しんしゅんとぅいんくるくらいしす","49","20","","","-1","49","1000","新春トゥインクルクライシス！","","","2019-01-18 15:00:00",""
"じゃへいしんがみぃ","50","20","","","-1","50","1000","邪餅神ガミィ","","","2019-01-18 15:00:00",""
"とぅいんくるすたーず","51","20","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-10/1483895284?app=itunes","-1","51","1500","TwinkleStars","","","2019-01-18 15:00:00","A2001612987/"
