ef254ab306b378199aa5a090a230cdc5702bb55b4341c31f518128d379cbb521,c752704651ab0d396f7a0100f6cf883b404cec2d36e8a57d1933b8d4e32d77cb,48f7e0fc2757b1ce5654144ca54bf9b4d69bbdfe97af716be670ed1052ff3778,0f4c1a4c65212238263823510c5e0186fc6c5394fd8458f53736f38a783083bd
"-354","938","100101","1.6"
"-499","952","100201","1.6"
"-523","1014","100301","1.6"
"-488","894","100401","1.6"
"-628","980","100601","1.6"
"-573","983","100701","1.6"
"-544","1019","100801","1.6"
"-510","985","100901","1.6"
"-660","1115","101001","1.6"
"-415","1128","101101","1.6"
"-589","1042","101201","1.6"
"-501","1050","101601","1.6"
"-598","1038","101701","1.6"
"-356","985","101801","1.6"
"-494","1114","102001","1.6"
"-392","1003","102101","1.6"
"-407","1057","102201","1.6"
"-388","997","102501","1.6"
"-490","1090","102701","1.6"
"-554","987","102801","1.6"
"-526","976","102901","1.6"
"-879","994","103001","1.6"
"-560","1056","103101","1.6"
"-453","1018","103301","1.6"
"-345","1017","103401","1.6"
"-674","961","103801","1.6"
"-499","1095","104001","1.6"
"-521","955","104201","1.6"
"-581","1079","104301","1.6"
"-538","980","104501","1.6"
"-364","954","104601","1.6"
"-777","1107","104801","1.6"
"-795","973","104901","1.6"
"-492","1122","105001","1.6"
"-607","1035","105201","1.6"
"-490","885","105301","1.6"
