6055b76828c2cd1abeea8a555069243ecbdaa793059ceb07ae8fee296380ae0b,42f6cd1ecd6cc6871239eacf655c9b50852a1a54f382964cf522b94fb7cf0007,33dbf97cc6d750f20ec7cd5e6130f58b7191ffdc425031ef7614d58ce2d0f92e,0a858e669790e16c6c8f34d496f1cf9b4b443500fb4038c2ee5a66fa9aa51572,e7f224aacaf9bd7d4e2482604eeb9f7e56be9f122e2ba6a13a2f8cb6109b6f93,a1601c7902b01548c0c334983a841bf4481863d72ddd48c24a797a16bc2268a1,2d9772a95044c250e27b2777002bb83c6f0e6300a57a18e9bbd9d2aa4a222ed9,332accaf10ba9552b88dea21013bdcfe7eefbf3bb337f23b2737292ed9df7b8a,a697eef928644b64282e5197924145e6da401c2577fada84dfecf419b5ab208a
"401707405","9","1","1","1","0","1","8010","401707405"
"401903101","9","1","8040","8040","0","1","1","401903101"
"401903105","9","1","8040","8040","0","1","1","401903105"
"401903106","9","1","1","1","0","8040","8040","401903106"
"401903107","9","8040","1","1","0","8040","1","401903107"
"401903108","9","8040","1","1","0","1","8040","401903108"
"401903201","9","1","8040","8040","0","1","1","401903201"
"401903205","9","1","8040","8040","0","1","1","401903205"
"401903206","9","1","1","1","0","8040","8040","401903206"
"401903207","9","8040","1","1","0","8040","1","401903207"
"401903208","9","8040","1","1","0","1","8040","401903208"
"401903301","9","1","8040","8040","0","1","1","401903301"
"401903305","9","1","8040","8040","0","1","1","401903305"
"401903306","9","1","1","1","0","8040","8040","401903306"
"401903307","9","8040","1","1","0","8040","1","401903307"
"401903308","9","8040","1","1","0","1","8040","401903308"
"401903401","9","1","8040","8040","0","1","1","401903401"
"401903405","9","1","8040","8040","0","1","1","401903405"
"401903406","9","1","1","1","0","8040","8040","401903406"
"401903407","9","8040","1","1","0","8040","1","401903407"
"401903408","9","8040","1","1","0","1","8040","401903408"
"401903501","9","1","8040","8040","0","1","1","401903501"
"401903505","9","1","8040","8040","0","1","1","401903505"
"401903506","9","1","1","1","0","8040","8040","401903506"
"401903507","9","8040","1","1","0","8040","1","401903507"
"401903508","9","8040","1","1","0","1","8040","401903508"
"401903601","9","1","8040","8040","0","1","1","401903601"
"401903605","9","1","8040","8040","0","1","1","401903605"
"401903606","9","1","1","1","0","8040","8040","401903606"
"401903607","9","8040","1","1","0","8040","1","401903607"
"401903608","9","8040","1","1","0","1","8040","401903608"
"401903701","9","1","8040","8040","0","1","1","401903701"
"401903705","9","1","8040","8040","0","1","1","401903705"
"401903706","9","1","1","1","0","8040","8040","401903706"
"401903707","9","8040","1","1","0","8040","1","401903707"
"401903708","9","8040","1","1","0","1","8040","401903708"
"410010101","70","8000","8010","8000","0","8000","8000","410010101"
"410010201","70","8010","8000","8000","0","8000","8000","410010201"
"410010301","70","8000","8000","8010","0","8000","8000","410010301"
"410010401","70","8000","8000","8000","0","8000","8010","410010401"
"410010501","70","8000","8000","8000","0","8000","8010","410010501"
"410010601","70","8000","8010","8000","0","8000","8000","410010601"
"410010701","70","8000","8000","8000","0","8010","8000","410010701"
"410010801","70","8000","8000","8010","0","8000","8000","410010801"
"410010901","70","8010","8000","8000","0","8000","8000","410010901"
