b956528effd754ea51b1113832d2d04d141e348e17854d80d7666d186c760d6c,65764801b3bfe152d6482fbecd379c9c80b545a2111caaceab2e2320475bbed7,0a343b3090e735ee00965f95a9777ebb4a9e2e6955d9127b7a517dfea182b9cd,2dbe513d82a1931d6fd87d1d715eeaf9a42a50a9f0bf40ddc79d1454c16dd9a8,9922060e2451b8f5665fc49688c7318b5bc465cb5e159e399b6aba87c5c3ff75,442f68842cd6d54a0aebbd9c8489b6e146bc7a5d238b7e408a5bb21c836e9287,0aa0818baac72739d29d647667d716f25cecd5327aa2b6a0bd66ba03d0efbfe3,ffaba290f6c65e003ca016129ad030c00b61c6259cf0428b3bb5fbffe8c54984,78a2e6863a7acef10b983bb7c4eda757c2d7cd1cc9b48011b535ce2e10deda86,396ad5f164e5874a35cf423d17f5e198e305513b74a2da15d475c6e9df1c8e80,50fb72e27cdf82b7e5fef3ff87d1eb3bb6ce45caf4c910bf66cddfca3e1bdfed,05cafb4a53c55d921f3bf92e7c59d457fff6a5be55f4f1d32f9f25a6e26bead4,962a6dbe8adaf598d0a09d8a2903fd0f67a79a5dfffa99b8670ded7dbc1c5e31,bcb6b50701d53d2429deb2f79664f45ebef5c3e97c4fb7226d4a35ba811809f4,79c2cc1c644d08a17445cb3cea13e76c8dd9992726e40f9125be6d9936ef50c2,bcd4f794634a1cd140178801f547f45bb255315a9cce2cca652ea9353d1f3d0a,712c1c9d1003430b645dfa086e6b54d86ed32a6f4e0a8788b2ba7009c57721c3,3930e2a21d0ac3b282c848b725c4f290b3b7c207b081668400e946f65110746c,6aab0f28aecd6af27ee346adad5162258d2ea140c1df1de00978f405c8a991f6
"2","1","0","30","0","invasion_reward_icon_connectpiece_1","40","0","25201","2","0","0","1001","0","25202","0","0","0","500000"
"2","2","0","15","0","invasion_reward_icon_connectpiece_2","40","0","25203","2","0","0","1001","0","25204","0","0","0","1000000"
"2","3","0","5","0","invasion_reward_icon_connectpiece_3","40","0","25205","2","0","0","1001","0","25206","0","0","0","2000000"
"4","4","0","50","0","invasion_reward_icon_jewel","50","0","150001","8","0","0","1001","0","91002","0","0","0","3000000"
"2","5","0","30","0","invasion_reward_icon_connectpiece_1","40","0","25201","2","0","0","1001","0","25202","0","0","0","4000000"
"2","6","0","15","0","invasion_reward_icon_connectpiece_2","40","0","25203","2","0","0","1001","0","25204","0","0","0","7000000"
"2","7","0","5","0","invasion_reward_icon_connectpiece_3","40","0","25205","2","0","0","1001","0","25206","0","0","0","10000000"
"4","8","0","50","0","invasion_reward_icon_jewel","50","0","150001","8","0","0","1001","0","91002","0","0","0","13000000"
"2","9","0","30","0","invasion_reward_icon_connectpiece_1","40","0","25201","2","0","0","1001","0","25202","0","0","0","16000000"
"2","10","0","15","0","invasion_reward_icon_connectpiece_2","40","0","25203","2","0","0","1001","0","25204","0","0","0","19000000"
"2","11","0","5","0","invasion_reward_icon_connectpiece_3","40","0","25205","2","0","0","1001","0","25206","0","0","0","25000000"
"4","12","0","100","0","invasion_reward_icon_jewel","50","0","150002","8","0","0","1001","0","91002","0","0","0","31000000"
"2","13","0","30","0","invasion_reward_icon_connectpiece_1","40","0","25201","2","0","0","1001","0","25202","0","0","0","37000000"
"2","14","0","15","0","invasion_reward_icon_connectpiece_2","40","0","25203","2","0","0","1001","0","25204","0","0","0","43000000"
"2","15","0","5","0","invasion_reward_icon_connectpiece_3","40","0","25205","2","0","0","1001","0","25206","0","0","0","49000000"
"4","16","0","100","0","invasion_reward_icon_jewel","50","0","150002","8","0","0","1001","0","91002","0","0","0","56000000"
"2","17","0","30","0","invasion_reward_icon_connectpiece_1","40","0","25201","2","0","0","1001","0","25202","0","0","0","63000000"
"2","18","0","15","0","invasion_reward_icon_connectpiece_2","40","0","25203","2","0","0","1001","0","25204","0","0","0","70000000"
