2f4a3c417352d6751676d81b252ebd039fb6de5eeba90a36e89665e1e89a2471,53d718cbb9de56758a158a0ba7681456f824b98c07f5a672418b97c678ef34d5,570d7f0c4b6b5e688922ea51aaf5ed58f502f7d0d3531ce6e373eb40067fd060,459a472788fad969ada4f2f7e75d51b3952f36ed2933802f6f9c411327e6f925,6cc18c3e3affe4148a122de0fac93d081d7150893571e7d6e0097044fdeb4051,215195c50dc3fe9bf6b4a40a00a70d87070f61f1fe6cab010a17bd5421544fda,f07bcc2b5f2f5fb0da2cfb6a6854abd45b639a6a8f8c87649eac413d60e30de1
"300900","100721","-10","31001","0","0.8","0.8"
"302300","100722","-40","31002","0","0.7","0.7"
"302400","100261","-40","31003","0","0.8","0.8"
"302500","100283","-20","31004","0","0.9","0.9"
"301700","101611","-10","31005","0","0.9","0.9"
"310100","102174","-40","31006","0","0.7","0.7"
"399800","102751","-60","31007","-80","0.3","0.3"
"314901","103001","20","31008","-20","0.9","0.9"
"318405","103232","-110","31009","30","0.7","0.7"
"320100","103371","-10","31010","0","1","1"
