382629724fe7230226bb84b89e0fa66d916417b94afe622e0236ad0b323756e5,46aeb6ecd2486408f628b263fdd43780d2d629078cb6f18cd27b07eb4f792848,ddb1f64aac6d22758f851626a52921a5cebc2f08c75dfb08ff45703491209d5b,bd5e7bc5cca929e7db32b86ee9d3e836d5da53a6ae978c3ff9b7923e4b93bff1
"78100101","1","1001","1"
"78100102","2","1001","2"
"78100103","3","1001","3"
"78100104","4","1001","4"
"78100105","5","1001","5"
"78100201","6","1002","1"
"78100202","7","1002","2"
"78100203","8","1002","3"
"78100204","9","1002","4"
"78100205","10","1002","5"
"78100301","11","1003","1"
"78100302","12","1003","2"
"78100303","13","1003","3"
"78100304","14","1003","4"
"78100305","15","1003","5"
"78100401","16","1004","1"
"78100402","17","1004","2"
"78100403","18","1004","3"
"78100404","19","1004","4"
"78100405","20","1004","5"
"78100501","21","1005","1"
"78100502","22","1005","2"
"78100503","23","1005","3"
"78100504","24","1005","4"
"78100505","25","1005","5"
