808bc574f998a3cf6ee90317dfc4a443d14c8851679fd6f5265995951602bc41,188bd0f7a47f61d591e35e0f077c46cf1cd1c7853f1e28ddb703b5d539d3fdf0,617ef3aa0c0caf753ece028c856af8eb4cc4a6e291d3570f7cfa3f988cd2adc6,10340d958a52bc92c23e29042ad31b71805b5f83b9b8d752bfa1ae08fbcead33,20075d6c6964b33bbe9f2023694ae40da15a28e6995b27a461a507b8f9dc3a79
"3000000","100101","12","94002","1"
"300","100101","2","20004","2"
"1000","100102","2","90008","3"
"6","100103","2","25001","4"
"1000000","100104","12","94002","5"
"300","100104","2","20004","6"
"1000","100105","2","90008","7"
"6","100106","2","25001","8"
"40","100107","8","91002","9"
"1000000","100107","12","94002","10"
"300","100107","2","20004","11"
"1000","100108","2","90008","12"
"1","100109","2","41000","13"
"7","100109","2","25001","14"
"1000000","100110","12","94002","15"
"400","100110","2","20004","16"
"1500","100111","2","90008","17"
"40","100112","8","91002","18"
"7","100112","2","25001","19"
"1000000","100113","12","94002","20"
"400","100113","2","20004","21"
"1500","100114","2","90008","22"
"1","100115","2","41000","23"
"7","100115","2","25001","24"
"1000000","100116","12","94002","25"
"500","100116","2","20004","26"
"40","100117","8","91002","27"
"1500","100117","2","90008","28"
"2000000","100118","12","94002","29"
"8","100118","2","25001","30"
"2000","100118","2","90008","31"
"3000000","100201","12","94002","32"
"300","100201","2","20004","33"
"1000","100202","2","90008","34"
"12","100203","2","25001","35"
"1000000","100204","12","94002","36"
"300","100204","2","20004","37"
"1000","100205","2","90008","38"
"10","100206","2","25001","39"
"40","100207","8","91002","40"
"1000000","100207","12","94002","41"
"300","100207","2","20004","42"
"1000","100208","2","90008","43"
"1","100209","2","41000","44"
"10","100209","2","25001","45"
"1000000","100210","12","94002","46"
"400","100210","2","20004","47"
"1500","100211","2","90008","48"
"40","100212","8","91002","49"
"9","100212","2","25001","50"
"1000000","100213","12","94002","51"
"400","100213","2","20004","52"
"1500","100214","2","90008","53"
"1","100215","2","41000","54"
"1000000","100216","12","94002","55"
"500","100216","2","20004","56"
"40","100217","8","91002","57"
"1500","100217","2","90008","58"
"2000000","100218","12","94002","59"
"2000","100218","2","90008","60"
"3000000","100301","12","94002","61"
"300","100301","2","20004","62"
"1000","100302","2","90008","63"
"12","100303","2","25001","64"
"1000000","100304","12","94002","65"
"300","100304","2","20004","66"
"1000","100305","2","90008","67"
"10","100306","2","25001","68"
"40","100307","8","91002","69"
"1000000","100307","12","94002","70"
"300","100307","2","20004","71"
"1000","100308","2","90008","72"
"1","100309","2","41000","73"
"10","100309","2","25001","74"
"1000000","100310","12","94002","75"
"400","100310","2","20004","76"
"1500","100311","2","90008","77"
"40","100312","8","91002","78"
"9","100312","2","25001","79"
"1000000","100313","12","94002","80"
"400","100313","2","20004","81"
"1500","100314","2","90008","82"
"1","100315","2","41000","83"
"1000000","100316","12","94002","84"
"500","100316","2","20004","85"
"40","100317","8","91002","86"
"1500","100317","2","90008","87"
"2000000","100318","12","94002","88"
"2000","100318","2","90008","89"
"3000000","100401","12","94002","90"
"300","100401","2","20004","91"
"1000","100402","2","90008","92"
"12","100403","2","25001","93"
"1000000","100404","12","94002","94"
"300","100404","2","20004","95"
"1000","100405","2","90008","96"
"10","100406","2","25001","97"
"40","100407","8","91002","98"
"1000000","100407","12","94002","99"
"300","100407","2","20004","100"
"1000","100408","2","90008","101"
"1","100409","2","41000","102"
"10","100409","2","25001","103"
"1000000","100410","12","94002","104"
"400","100410","2","20004","105"
"1500","100411","2","90008","106"
"40","100412","8","91002","107"
"9","100412","2","25001","108"
"1000000","100413","12","94002","109"
"400","100413","2","20004","110"
"1500","100414","2","90008","111"
"1","100415","2","41000","112"
"1000000","100416","12","94002","113"
"500","100416","2","20004","114"
"40","100417","8","91002","115"
"1500","100417","2","90008","116"
"2000000","100418","12","94002","117"
"2000","100418","2","90008","118"
"3000000","100501","12","94002","119"
"300","100501","2","20004","120"
"1000","100502","2","90008","121"
"12","100503","2","25001","122"
"1000000","100504","12","94002","123"
"300","100504","2","20004","124"
"1000","100505","2","90008","125"
"10","100506","2","25001","126"
"40","100507","8","91002","127"
"1000000","100507","12","94002","128"
"300","100507","2","20004","129"
"1000","100508","2","90008","130"
"1","100509","2","41000","131"
"10","100509","2","25001","132"
"1000000","100510","12","94002","133"
"400","100510","2","20004","134"
"1500","100511","2","90008","135"
"40","100512","8","91002","136"
"9","100512","2","25001","137"
"1000000","100513","12","94002","138"
"400","100513","2","20004","139"
"1500","100514","2","90008","140"
"1","100515","2","41000","141"
"1000000","100516","12","94002","142"
"500","100516","2","20004","143"
"40","100517","8","91002","144"
"1500","100517","2","90008","145"
"2000000","100518","12","94002","146"
"2000","100518","2","90008","147"
"3000000","100601","12","94002","148"
"300","100601","2","20004","149"
"1000","100602","2","90008","150"
"12","100603","2","25001","151"
"1000000","100604","12","94002","152"
"300","100604","2","20004","153"
"1000","100605","2","90008","154"
"10","100606","2","25001","155"
"40","100607","8","91002","156"
"1000000","100607","12","94002","157"
"300","100607","2","20004","158"
"1000","100608","2","90008","159"
"1","100609","2","41000","160"
"10","100609","2","25001","161"
"1000000","100610","12","94002","162"
"400","100610","2","20004","163"
"1500","100611","2","90008","164"
"40","100612","8","91002","165"
"9","100612","2","25001","166"
"1000000","100613","12","94002","167"
"400","100613","2","20004","168"
"1500","100614","2","90008","169"
"1","100615","2","41000","170"
"1000000","100616","12","94002","171"
"500","100616","2","20004","172"
"40","100617","8","91002","173"
"1500","100617","2","90008","174"
"2000000","100618","12","94002","175"
"2000","100618","2","90008","176"
"3000000","100701","12","94002","177"
"300","100701","2","20004","178"
"1000","100702","2","90008","179"
"12","100703","2","25001","180"
"1000000","100704","12","94002","181"
"300","100704","2","20004","182"
"1000","100705","2","90008","183"
"10","100706","2","25001","184"
"40","100707","8","91002","185"
"1000000","100707","12","94002","186"
"300","100707","2","20004","187"
"1000","100708","2","90008","188"
"1","100709","2","41000","189"
"10","100709","2","25001","190"
"1000000","100710","12","94002","191"
"400","100710","2","20004","192"
"1500","100711","2","90008","193"
"40","100712","8","91002","194"
"9","100712","2","25001","195"
"1000000","100713","12","94002","196"
"400","100713","2","20004","197"
"1500","100714","2","90008","198"
