f5899bd687a2b3f3f992fdddaae90bc915c20ebabb2d9c87b82161439e164829,9cfc8c9c048f1fe5c59375b0d619b7b2448335ca1f1c4b323cf43ca8c59397d4,49dd1da666e6a906c4ad2b1a9afd6fe2a81e4ee23b9049bb8f3dae2dd499521f,10e61d80294b0d61dc8c101d88b44a79f6be796bc8c973ffb5130870307930d6,5054eabf9868d807d7cd16707b8ad1274bd23f8af4d7fe24098d5487dd7fb999
"31000101","12","150000","94002","310001011"
"31000101","2","10","22003","310001012"
"31000102","12","500000","94002","310001021"
"31000102","2","10","22003","310001022"
"31000103","12","500000","94002","310001031"
"31000103","4","5","140001","310001032"
"31000103","2","5","25001","310001033"
"31000104","12","500000","94002","310001041"
"31000104","2","10","22003","310001042"
"31000105","12","500000","94002","310001051"
"31000105","4","5","140001","310001052"
"31000105","2","5","25001","310001053"
"31000106","12","500000","94002","310001061"
"31000106","2","10","22003","310001062"
"31000107","12","500000","94002","310001071"
"31000107","4","5","140001","310001072"
"31000107","2","5","25001","310001073"
"31000108","12","500000","94002","310001081"
"31000108","2","10","22003","310001082"
"31000109","12","500000","94002","310001091"
"31000109","4","5","140001","310001092"
"31000109","2","5","25001","310001093"
"31001101","12","150000","94002","310011011"
"31001101","2","5","22003","310011012"
"31001102","12","150000","94002","310011021"
"31001102","2","5","22003","310011022"
"31001103","12","150000","94002","310011031"
"31001103","2","5","22003","310011032"
"31001111","12","150000","94002","310011111"
"31001111","2","5","22003","310011112"
"31001112","12","200000","94002","310011121"
"31001112","2","5","22003","310011122"
"31001201","12","150000","94002","310012011"
"31001201","2","5","22003","310012012"
"31001202","12","150000","94002","310012021"
"31001202","2","5","22003","310012022"
"31001203","12","150000","94002","310012031"
"31001203","2","5","22003","310012032"
"31001211","12","150000","94002","310012111"
"31001211","2","5","22003","310012112"
"31001212","12","200000","94002","310012121"
"31001212","2","5","22003","310012122"
"31001301","12","150000","94002","310013011"
"31001301","2","5","22003","310013012"
"31001302","12","150000","94002","310013021"
"31001302","2","5","22003","310013022"
"31001303","12","150000","94002","310013031"
"31001303","2","5","22003","310013032"
"31001311","12","150000","94002","310013111"
"31001311","2","5","22003","310013112"
"31001312","12","200000","94002","310013121"
"31001312","2","5","22003","310013122"
"31001401","12","150000","94002","310014011"
"31001401","2","5","22003","310014012"
"31001402","12","150000","94002","310014021"
"31001402","2","5","22003","310014022"
"31001403","12","150000","94002","310014031"
"31001403","2","5","22003","310014032"
"31001411","12","150000","94002","310014111"
"31001411","2","5","22003","310014112"
"31001412","12","200000","94002","310014121"
"31001412","2","5","22003","310014122"
"31002101","12","150000","94002","310021011"
"31002101","2","5","22003","310021012"
"31002102","12","150000","94002","310021021"
"31002102","2","5","22003","310021022"
"31002103","12","150000","94002","310021031"
"31002103","2","5","22003","310021032"
"31002104","8","50","91002","310021041"
"31002111","12","150000","94002","310021111"
"31002111","2","5","22003","310021112"
"31002112","12","200000","94002","310021121"
"31002112","2","5","22003","310021122"
"31002113","8","100","91002","310021131"
"31003101","12","150000","94002","310031011"
"31003101","2","5","22003","310031012"
"31003102","12","150000","94002","310031021"
"31003102","2","5","22003","310031022"
"31003103","12","150000","94002","310031031"
"31003103","2","5","22003","310031032"
"31003104","8","50","91002","310031041"
"31003111","12","150000","94002","310031111"
"31003111","2","5","22003","310031112"
"31003112","12","200000","94002","310031121"
"31003112","2","5","22003","310031122"
"31003113","8","100","91002","310031131"
"31003201","12","150000","94002","310032011"
"31003201","2","5","22003","310032012"
"31003202","12","150000","94002","310032021"
"31003202","2","5","22003","310032022"
"31003203","12","150000","94002","310032031"
"31003203","2","5","22003","310032032"
"31003204","8","50","91002","310032041"
"31003211","12","150000","94002","310032111"
"31003211","2","5","22003","310032112"
"31003212","12","200000","94002","310032121"
"31003212","2","5","22003","310032122"
"31003213","8","100","91002","310032131"
