df5dec41397671a3fcdab7e3f57819b48090c11e0cac54387a6e912fef59c41b,a0fb802a829e79b26d56f2aa31c31922918de77c8d5bd1cbe9f16f3d88500e32,8fb0b55df0bec2b53a0897385f1e5c49d6b98c3dbc27953a6981b91d7434188f,bf4018761efe739a2c5dbb3a60de02f0e57007c1dcc8b95090c2ad1580daaccf,8e7be12edfcb756e3e24f0f8e3f7d8966d195c6c236c49486aac420825d533f8,1fd4c456b45ff05ef975e442e7c9852b4dd7c8da311d1c2afff215eb3f9c71ca,4ecf6aa4ffde1ca3345b354073fcf595c51a2da3a017ab979b3aeb029e305055
"2","1","105","105","105","3","1"
"2","1","120","105","120","3","2"
"2","1","100","100","120","3","3"
"2","1","120","105","120","3","4"
"2","1","105","105","120","3","5"
"2","1","100","100","105","3","6"
"2","1","100","120","105","3","7"
"2","1","100","100","105","3","8"
"2","1","120","105","120","3","9"
"2","1","100","120","105","3","10"
"2","1","105","100","100","3","11"
"2","1","120","105","120","3","12"
"2","1","105","105","105","3","13"
"2","1","120","105","105","3","14"
"2","1","120","120","120","3","15"
"2","1","100","100","100","3","16"
"2","1","105","120","120","3","17"
"2","1","120","120","105","3","18"
"2","1","105","105","100","3","19"
"2","1","105","100","105","3","20"
"2","1","105","100","100","3","21"
"2","1","120","120","120","3","22"
"2","1","100","105","100","3","23"
"2","1","120","120","120","3","24"
"2","1","105","105","120","3","25"
"2","1","100","100","100","3","26"
"2","1","100","100","100","3","27"
"2","1","100","100","100","3","28"
"2","1","120","120","120","3","29"
"2","1","120","105","105","3","30"
